onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.892	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
7.977	3.836	n/a	boundary	n/a	n/a	n/a
8.779	0.844	n/a	boundary	n/a	n/a	n/a
12.369	0.546	n/a	boundary	n/a	n/a	n/a
14.565	0.498	n/a	boundary	n/a	n/a	n/a
14.865	0.846	n/a	boundary	n/a	n/a	n/a
15.415	0.498	n/a	boundary	n/a	n/a	n/a
18.457	0.296	n/a	boundary	n/a	n/a	n/a
22.847	1.594	n/a	boundary	n/a	n/a	n/a
23.947	1.094	n/a	boundary	n/a	n/a	n/a
25.345	0.844	n/a	boundary	n/a	n/a	n/a
25.597	0.296	n/a	boundary	n/a	n/a	n/a
27.793	0.498	n/a	boundary	n/a	n/a	n/a
30.287	0.546	n/a	boundary	n/a	n/a	n/a
34.677	0.546	n/a	boundary	n/a	n/a	n/a
36.325	1.094	n/a	boundary	n/a	n/a	n/a
38.271	1.344	n/a	boundary	n/a	n/a	n/a
38.523	0.546	n/a	boundary	n/a	n/a	n/a
39.123	0.498	n/a	boundary	n/a	n/a	n/a
39.971	0.546	n/a	boundary	n/a	n/a	n/a
48.199	0.546	n/a	boundary	n/a	n/a	n/a
48.751	1.642	n/a	boundary	n/a	n/a	n/a
51.197	0.296	n/a	boundary	n/a	n/a	n/a
54.239	0.546	n/a	boundary	n/a	n/a	n/a
54.376	n/a	n/a	S 10	STATUS	n/a	n/a
54.376	n/a	n/a	R  6	STATUS	n/a	n/a
54.791	0.498	n/a	boundary	n/a	n/a	n/a
55.454	n/a	n/a	S  3	Left Button	n/a	n/a
55.454	n/a	n/a	R  6	STATUS	n/a	n/a
55.762	n/a	n/a	S  7	STATUS	n/a	n/a
55.762	n/a	n/a	R 12	STATUS	n/a	n/a
56.437	1.644	n/a	boundary	n/a	n/a	n/a
56.487	0.498	n/a	boundary	n/a	n/a	n/a
57.382	n/a	n/a	S  1	Fixation	n/a	n/a
58.194	n/a	n/a	S 10	STATUS	n/a	n/a
