onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.39	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
6.361	1.14	n/a	boundary	n/a	n/a	n/a
10.615	0.57	n/a	boundary	n/a	n/a	n/a
18.047	0.57	n/a	boundary	n/a	n/a	n/a
26.945	0.82	n/a	boundary	n/a	n/a	n/a
28.983	3.928	n/a	boundary	n/a	n/a	n/a
31.593	0.818	n/a	boundary	n/a	n/a	n/a
37.061	0.82	n/a	boundary	n/a	n/a	n/a
43.351	1.714	n/a	boundary	n/a	n/a	n/a
47.997	0.57	n/a	boundary	n/a	n/a	n/a
49.141	0.82	n/a	boundary	n/a	n/a	n/a
51.107	0.57	n/a	boundary	n/a	n/a	n/a
58.23	n/a	n/a	S  1	Fixation	n/a	n/a
58.948	n/a	n/a	S104	CUE: 231	n/a	n/a
60.536	n/a	n/a	S 99	No Response	n/a	n/a
60.82	n/a	n/a	S199	FB: No Resp	n/a	n/a
61.9	n/a	n/a	S  1	Fixation	n/a	n/a
62.67	n/a	n/a	S104	CUE: 231	n/a	n/a
63.182	n/a	n/a	S  2	Right Button	n/a	n/a
63.374	n/a	n/a	S200	FB: Loss	n/a	n/a
64.452	n/a	n/a	S  1	Fixation	n/a	n/a
65.152	n/a	n/a	S101	CUE: 123	n/a	n/a
65.726	n/a	n/a	S  3	Left Button	n/a	n/a
66.012	n/a	n/a	S201	FB: Win	n/a	n/a
67.088	n/a	n/a	S  1	Fixation	n/a	n/a
67.758	n/a	n/a	S105	CUE: 312	n/a	n/a
68.426	n/a	n/a	S  4	Up Button	n/a	n/a
68.58	n/a	n/a	S200	FB: Loss	n/a	n/a
69.656	n/a	n/a	S  1	Fixation	n/a	n/a
70.406	n/a	n/a	S104	CUE: 231	n/a	n/a
71.094	n/a	n/a	S  3	Left Button	n/a	n/a
71.258	n/a	n/a	S200	FB: Loss	n/a	n/a
72.331	0.818	n/a	boundary	n/a	n/a	n/a
72.334	n/a	n/a	S106	CUE: 321	n/a	n/a
72.948	n/a	n/a	S  4	Up Button	n/a	n/a
73.292	n/a	n/a	S201	FB: Win	n/a	n/a
73.727	0.32	n/a	boundary	n/a	n/a	n/a
74.056	n/a	n/a	S  1	Fixation	n/a	n/a
74.716	n/a	n/a	S104	CUE: 231	n/a	n/a
75.596	n/a	n/a	S  2	Right Button	n/a	n/a
75.86	n/a	n/a	S200	FB: Loss	n/a	n/a
76.94	n/a	n/a	S  1	Fixation	n/a	n/a
77.672	n/a	n/a	S106	CUE: 321	n/a	n/a
77.94	n/a	n/a	S  3	Left Button	n/a	n/a
78.184	n/a	n/a	S201	FB: Win	n/a	n/a
79.123	0.57	n/a	boundary	n/a	n/a	n/a
79.37	n/a	n/a	S105	CUE: 312	n/a	n/a
79.706	n/a	n/a	S  4	Up Button	n/a	n/a
79.93	n/a	n/a	S201	FB: Win	n/a	n/a
81.008	n/a	n/a	S  1	Fixation	n/a	n/a
81.698	n/a	n/a	S101	CUE: 123	n/a	n/a
82.23	n/a	n/a	S  2	Right Button	n/a	n/a
82.574	n/a	n/a	S200	FB: Loss	n/a	n/a
83.66	n/a	n/a	S  1	Fixation	n/a	n/a
83.697	0.57	n/a	boundary	n/a	n/a	n/a
83.76	n/a	n/a	S101	CUE: 123	n/a	n/a
84.076	n/a	n/a	S  3	Left Button	n/a	n/a
84.31	n/a	n/a	S200	FB: Loss	n/a	n/a
85.392	n/a	n/a	S  1	Fixation	n/a	n/a
86.152	n/a	n/a	S105	CUE: 312	n/a	n/a
86.408	n/a	n/a	S  2	Right Button	n/a	n/a
86.642	n/a	n/a	S201	FB: Win	n/a	n/a
87.451	0.57	n/a	boundary	n/a	n/a	n/a
87.878	n/a	n/a	S104	CUE: 231	n/a	n/a
88.122	n/a	n/a	S  4	Up Button	n/a	n/a
88.336	n/a	n/a	S201	FB: Win	n/a	n/a
89.408	n/a	n/a	S  1	Fixation	n/a	n/a
89.489	0.57	n/a	boundary	n/a	n/a	n/a
89.62	n/a	n/a	S101	CUE: 123	n/a	n/a
89.876	n/a	n/a	S  2	Right Button	n/a	n/a
90.06	n/a	n/a	S200	FB: Loss	n/a	n/a
91.14	n/a	n/a	S  1	Fixation	n/a	n/a
91.922	n/a	n/a	S101	CUE: 123	n/a	n/a
92.328	n/a	n/a	S  3	Left Button	n/a	n/a
92.482	n/a	n/a	S201	FB: Win	n/a	n/a
93.491	0.82	n/a	boundary	n/a	n/a	n/a
93.788	n/a	n/a	S  2	Right Button	n/a	n/a
94.072	n/a	n/a	S200	FB: Loss	n/a	n/a
94.887	0.568	n/a	boundary	n/a	n/a	n/a
95.26	n/a	n/a	S101	CUE: 123	n/a	n/a
95.54	n/a	n/a	S  3	Left Button	n/a	n/a
95.774	n/a	n/a	S200	FB: Loss	n/a	n/a
96.105	0.57	n/a	boundary	n/a	n/a	n/a
96.288	n/a	n/a	S  1	Fixation	n/a	n/a
96.357	0.568	n/a	boundary	n/a	n/a	n/a
96.39	n/a	n/a	S103	CUE: 213	n/a	n/a
96.722	n/a	n/a	S  4	Up Button	n/a	n/a
97.056	n/a	n/a	S201	FB: Win	n/a	n/a
98.075	0.57	n/a	boundary	n/a	n/a	n/a
