onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	2.63	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
1.055	0.774	n/a	boundary	n/a	n/a	n/a
3.967	0.774	n/a	boundary	n/a	n/a	n/a
4.245	6.568	n/a	boundary	n/a	n/a	n/a
4.523	0.776	n/a	boundary	n/a	n/a	n/a
5.327	1.052	n/a	boundary	n/a	n/a	n/a
5.605	5.238	n/a	boundary	n/a	n/a	n/a
5.883	1.302	n/a	boundary	n/a	n/a	n/a
6.439	1.024	n/a	boundary	n/a	n/a	n/a
9.351	0.774	n/a	boundary	n/a	n/a	n/a
12.013	7.62	n/a	boundary	n/a	n/a	n/a
12.819	0.774	n/a	boundary	n/a	n/a	n/a
15.205	0.498	n/a	boundary	n/a	n/a	n/a
15.759	0.776	n/a	boundary	n/a	n/a	n/a
16.813	0.774	n/a	boundary	n/a	n/a	n/a
18.423	0.498	n/a	boundary	n/a	n/a	n/a
21.611	0.498	n/a	boundary	n/a	n/a	n/a
26.905	2.078	n/a	boundary	n/a	n/a	n/a
30.093	5.764	n/a	boundary	n/a	n/a	n/a
30.649	0.498	n/a	boundary	n/a	n/a	n/a
31.731	0.498	n/a	boundary	n/a	n/a	n/a
34.919	2.354	n/a	boundary	n/a	n/a	n/a
35.699	0.524	n/a	boundary	n/a	n/a	n/a
44.929	1.828	n/a	boundary	n/a	n/a	n/a
45.735	0.774	n/a	boundary	n/a	n/a	n/a
48.121	1.05	n/a	boundary	n/a	n/a	n/a
51.811	0.774	n/a	boundary	n/a	n/a	n/a
53.419	5.764	n/a	boundary	n/a	n/a	n/a
61.597	1.052	n/a	boundary	n/a	n/a	n/a
61.875	2.078	n/a	boundary	n/a	n/a	n/a
62.162	n/a	n/a	S  3	Left Button	n/a	n/a
62.504	n/a	n/a	S200	FB: Loss	n/a	n/a
62.681	0.774	n/a	boundary	n/a	n/a	n/a
62.816	n/a	n/a	S  1	Fixation	n/a	n/a
63.486	n/a	n/a	S105	CUE: 312	n/a	n/a
64.852	n/a	n/a	S  4	Up Button	n/a	n/a
65.116	n/a	n/a	S200	FB: Loss	n/a	n/a
65.869	0.774	n/a	boundary	n/a	n/a	n/a
66.098	n/a	n/a	S104	CUE: 231	n/a	n/a
67.162	n/a	n/a	S  3	Left Button	n/a	n/a
67.448	n/a	n/a	S201	FB: Win	n/a	n/a
68.255	0.774	n/a	boundary	n/a	n/a	n/a
68.538	n/a	n/a	S101	CUE: 123	n/a	n/a
69.208	n/a	n/a	S  4	Up Button	n/a	n/a
69.552	n/a	n/a	S201	FB: Win	n/a	n/a
69.837	1.578	n/a	boundary	n/a	n/a	n/a
69.848	n/a	n/a	S104	CUE: 231	n/a	n/a
70.682	n/a	n/a	S  3	Left Button	n/a	n/a
71.016	n/a	n/a	S201	FB: Win	n/a	n/a
72.098	n/a	n/a	S  1	Fixation	n/a	n/a
72.86	n/a	n/a	S105	CUE: 312	n/a	n/a
74.416	n/a	n/a	S 99	No Response	n/a	n/a
74.716	n/a	n/a	S199	FB: No Resp	n/a	n/a
75.802	n/a	n/a	S  1	Fixation	n/a	n/a
75.909	0.774	n/a	boundary	n/a	n/a	n/a
77.378	n/a	n/a	S 99	No Response	n/a	n/a
77.722	n/a	n/a	S199	FB: No Resp	n/a	n/a
78.017	0.776	n/a	boundary	n/a	n/a	n/a
78.022	n/a	n/a	S  1	Fixation	n/a	n/a
78.872	n/a	n/a	S103	CUE: 213	n/a	n/a
79.448	n/a	n/a	S  3	Left Button	n/a	n/a
79.792	n/a	n/a	S200	FB: Loss	n/a	n/a
80.874	n/a	n/a	S  1	Fixation	n/a	n/a
80.927	0.776	n/a	boundary	n/a	n/a	n/a
82.314	n/a	n/a	S 99	No Response	n/a	n/a
82.498	n/a	n/a	S199	FB: No Resp	n/a	n/a
83.584	n/a	n/a	S  1	Fixation	n/a	n/a
84.384	n/a	n/a	S106	CUE: 321	n/a	n/a
85.128	n/a	n/a	S  4	Up Button	n/a	n/a
85.472	n/a	n/a	S201	FB: Win	n/a	n/a
85.695	0.524	n/a	boundary	n/a	n/a	n/a
85.947	0.774	n/a	boundary	n/a	n/a	n/a
85.956	n/a	n/a	S102	CUE: 132	n/a	n/a
86.738	n/a	n/a	S  3	Left Button	n/a	n/a
86.992	n/a	n/a	S201	FB: Win	n/a	n/a
88.074	n/a	n/a	S  1	Fixation	n/a	n/a
88.083	0.774	n/a	boundary	n/a	n/a	n/a
89.38	n/a	n/a	S  2	Right Button	n/a	n/a
89.624	n/a	n/a	S201	FB: Win	n/a	n/a
90.469	0.524	n/a	boundary	n/a	n/a	n/a
90.95	n/a	n/a	S105	CUE: 312	n/a	n/a
91.736	n/a	n/a	S  4	Up Button	n/a	n/a
92.03	n/a	n/a	S201	FB: Win	n/a	n/a
93.114	n/a	n/a	S  1	Fixation	n/a	n/a
93.884	n/a	n/a	S104	CUE: 231	n/a	n/a
94.768	n/a	n/a	S  2	Right Button	n/a	n/a
95.012	n/a	n/a	S201	FB: Win	n/a	n/a
95.737	0.774	n/a	boundary	n/a	n/a	n/a
96.056	n/a	n/a	S101	CUE: 123	n/a	n/a
97.022	n/a	n/a	S  4	Up Button	n/a	n/a
97.366	n/a	n/a	S201	FB: Win	n/a	n/a
98.097	0.8	n/a	boundary	n/a	n/a	n/a
98.366	n/a	n/a	S101	CUE: 123	n/a	n/a
99.074	n/a	n/a	S  3	Left Button	n/a	n/a
99.398	n/a	n/a	S201	FB: Win	n/a	n/a
100.48	n/a	n/a	S  1	Fixation	n/a	n/a
101.33	n/a	n/a	S101	CUE: 123	n/a	n/a
102.046	n/a	n/a	S  4	Up Button	n/a	n/a
102.36	n/a	n/a	S201	FB: Win	n/a	n/a
102.839	1.302	n/a	boundary	n/a	n/a	n/a
102.982	n/a	n/a	S105	CUE: 312	n/a	n/a
103.896	n/a	n/a	S  4	Up Button	n/a	n/a
104.15	n/a	n/a	S201	FB: Win	n/a	n/a
105.232	n/a	n/a	S  1	Fixation	n/a	n/a
106.004	n/a	n/a	S106	CUE: 321	n/a	n/a
106.656	n/a	n/a	S  3	Left Button	n/a	n/a
106.998	n/a	n/a	S200	FB: Loss	n/a	n/a
108.084	n/a	n/a	S  1	Fixation	n/a	n/a
108.133	0.498	n/a	boundary	n/a	n/a	n/a
108.428	n/a	n/a	S101	CUE: 123	n/a	n/a
109.274	n/a	n/a	S  4	Up Button	n/a	n/a
109.578	n/a	n/a	S200	FB: Loss	n/a	n/a
109.991	0.526	n/a	boundary	n/a	n/a	n/a
110.13	n/a	n/a	S  1	Fixation	n/a	n/a
110.269	0.524	n/a	boundary	n/a	n/a	n/a
110.296	n/a	n/a	S105	CUE: 312	n/a	n/a
111.072	n/a	n/a	S  3	Left Button	n/a	n/a
111.346	n/a	n/a	S201	FB: Win	n/a	n/a
112.424	n/a	n/a	S  1	Fixation	n/a	n/a
113.116	n/a	n/a	S105	CUE: 312	n/a	n/a
113.844	n/a	n/a	S  3	Left Button	n/a	n/a
114.168	n/a	n/a	S201	FB: Win	n/a	n/a
115.011	0.498	n/a	boundary	n/a	n/a	n/a
115.426	n/a	n/a	S103	CUE: 213	n/a	n/a
116.502	n/a	n/a	S  3	Left Button	n/a	n/a
116.806	n/a	n/a	S201	FB: Win	n/a	n/a
117.88	n/a	n/a	S  1	Fixation	n/a	n/a
118.642	n/a	n/a	S101	CUE: 123	n/a	n/a
120.03	n/a	n/a	S  2	Right Button	n/a	n/a
120.224	n/a	n/a	S201	FB: Win	n/a	n/a
121.3	n/a	n/a	S  1	Fixation	n/a	n/a
121.359	0.774	n/a	boundary	n/a	n/a	n/a
122.216	n/a	n/a	S  3	Left Button	n/a	n/a
122.428	n/a	n/a	S201	FB: Win	n/a	n/a
122.691	0.776	n/a	boundary	n/a	n/a	n/a
122.736	n/a	n/a	S  1	Fixation	n/a	n/a
123.588	n/a	n/a	S104	CUE: 231	n/a	n/a
124.264	n/a	n/a	S  4	Up Button	n/a	n/a
124.496	n/a	n/a	S201	FB: Win	n/a	n/a
124.798	n/a	n/a	S  1	Fixation	n/a	n/a
124.799	0.774	n/a	boundary	n/a	n/a	n/a
125.538	n/a	n/a	S106	CUE: 321	n/a	n/a
126.714	n/a	n/a	S  2	Right Button	n/a	n/a
126.866	n/a	n/a	S201	FB: Win	n/a	n/a
127.461	6.568	n/a	boundary	n/a	n/a	n/a
127.63	n/a	n/a	S104	CUE: 231	n/a	n/a
128.498	n/a	n/a	S  4	Up Button	n/a	n/a
128.72	n/a	n/a	S201	FB: Win	n/a	n/a
129.319	0.774	n/a	boundary	n/a	n/a	n/a
129.722	n/a	n/a	S101	CUE: 123	n/a	n/a
130.624	n/a	n/a	S  3	Left Button	n/a	n/a
130.936	n/a	n/a	S201	FB: Win	n/a	n/a
131.705	0.524	n/a	boundary	n/a	n/a	n/a
132.344	n/a	n/a	S102	CUE: 132	n/a	n/a
133.006	n/a	n/a	S  4	Up Button	n/a	n/a
133.36	n/a	n/a	S201	FB: Win	n/a	n/a
133.537	0.774	n/a	boundary	n/a	n/a	n/a
133.67	n/a	n/a	S  1	Fixation	n/a	n/a
134.422	n/a	n/a	S104	CUE: 231	n/a	n/a
135.14	n/a	n/a	S  2	Right Button	n/a	n/a
135.384	n/a	n/a	S201	FB: Win	n/a	n/a
135.923	0.524	n/a	boundary	n/a	n/a	n/a
135.932	n/a	n/a	S  1	Fixation	n/a	n/a
136.664	n/a	n/a	S103	CUE: 213	n/a	n/a
137.66	n/a	n/a	S  3	Left Button	n/a	n/a
137.974	n/a	n/a	S200	FB: Loss	n/a	n/a
138.309	1.55	n/a	boundary	n/a	n/a	n/a
138.986	n/a	n/a	S  4	Up Button	n/a	n/a
139.22	n/a	n/a	S200	FB: Loss	n/a	n/a
139.917	0.526	n/a	boundary	n/a	n/a	n/a
140.578	n/a	n/a	S104	CUE: 231	n/a	n/a
141.316	n/a	n/a	S  2	Right Button	n/a	n/a
141.56	n/a	n/a	S200	FB: Loss	n/a	n/a
142.025	1.302	n/a	boundary	n/a	n/a	n/a
143.078	n/a	n/a	S  3	Left Button	n/a	n/a
143.292	n/a	n/a	S200	FB: Loss	n/a	n/a
144.38	n/a	n/a	S  1	Fixation	n/a	n/a
144.409	0.774	n/a	boundary	n/a	n/a	n/a
145.144	n/a	n/a	S  3	Left Button	n/a	n/a
145.398	n/a	n/a	S200	FB: Loss	n/a	n/a
146.474	n/a	n/a	S  1	Fixation	n/a	n/a
146.519	0.524	n/a	boundary	n/a	n/a	n/a
146.622	n/a	n/a	S103	CUE: 213	n/a	n/a
147.604	n/a	n/a	S  2	Right Button	n/a	n/a
147.808	n/a	n/a	S200	FB: Loss	n/a	n/a
148.627	0.776	n/a	boundary	n/a	n/a	n/a
148.902	n/a	n/a	S105	CUE: 312	n/a	n/a
149.54	n/a	n/a	S  4	Up Button	n/a	n/a
149.704	n/a	n/a	S201	FB: Win	n/a	n/a
150.778	n/a	n/a	S  1	Fixation	n/a	n/a
151.57	n/a	n/a	S101	CUE: 123	n/a	n/a
152.344	n/a	n/a	S  4	Up Button	n/a	n/a
152.608	n/a	n/a	S200	FB: Loss	n/a	n/a
152.867	1.026	n/a	boundary	n/a	n/a	n/a
153.486	n/a	n/a	S106	CUE: 321	n/a	n/a
155.04	n/a	n/a	S 99	No Response	n/a	n/a
155.192	n/a	n/a	S199	FB: No Resp	n/a	n/a
156.055	1.024	n/a	boundary	n/a	n/a	n/a
156.934	n/a	n/a	S  2	Right Button	n/a	n/a
157.278	n/a	n/a	S201	FB: Win	n/a	n/a
157.663	1.302	n/a	boundary	n/a	n/a	n/a
157.842	n/a	n/a	S103	CUE: 213	n/a	n/a
158.58	n/a	n/a	S  4	Up Button	n/a	n/a
158.784	n/a	n/a	S200	FB: Loss	n/a	n/a
158.995	0.774	n/a	boundary	n/a	n/a	n/a
159.096	n/a	n/a	S  1	Fixation	n/a	n/a
159.798	n/a	n/a	S103	CUE: 213	n/a	n/a
160.278	n/a	n/a	S  2	Right Button	n/a	n/a
160.622	n/a	n/a	S200	FB: Loss	n/a	n/a
161.103	0.776	n/a	boundary	n/a	n/a	n/a
161.644	n/a	n/a	S103	CUE: 213	n/a	n/a
162.558	n/a	n/a	S  3	Left Button	n/a	n/a
162.752	n/a	n/a	S201	FB: Win	n/a	n/a
163.237	0.774	n/a	boundary	n/a	n/a	n/a
163.732	n/a	n/a	S106	CUE: 321	n/a	n/a
164.043	0.774	n/a	boundary	n/a	n/a	n/a
164.323	0.774	n/a	boundary	n/a	n/a	n/a
165.038	n/a	n/a	S103	CUE: 213	n/a	n/a
165.608	n/a	n/a	S  3	Left Button	n/a	n/a
165.922	n/a	n/a	S201	FB: Win	n/a	n/a
166.181	0.776	n/a	boundary	n/a	n/a	n/a
166.23	n/a	n/a	S  1	Fixation	n/a	n/a
166.962	n/a	n/a	S106	CUE: 321	n/a	n/a
167.58	n/a	n/a	S  2	Right Button	n/a	n/a
167.814	n/a	n/a	S200	FB: Loss	n/a	n/a
168.565	0.524	n/a	boundary	n/a	n/a	n/a
169.196	n/a	n/a	S104	CUE: 231	n/a	n/a
170.24	n/a	n/a	S  3	Left Button	n/a	n/a
170.544	n/a	n/a	S200	FB: Loss	n/a	n/a
171.628	n/a	n/a	S  1	Fixation	n/a	n/a
172.308	n/a	n/a	S106	CUE: 321	n/a	n/a
173.224	n/a	n/a	S  4	Up Button	n/a	n/a
173.428	n/a	n/a	S200	FB: Loss	n/a	n/a
174.514	n/a	n/a	S  1	Fixation	n/a	n/a
175.164	n/a	n/a	S101	CUE: 123	n/a	n/a
175.744	n/a	n/a	S  2	Right Button	n/a	n/a
176.048	n/a	n/a	S200	FB: Loss	n/a	n/a
176.717	0.524	n/a	boundary	n/a	n/a	n/a
177.28	n/a	n/a	S106	CUE: 321	n/a	n/a
178.688	n/a	n/a	S  2	Right Button	n/a	n/a
178.892	n/a	n/a	S200	FB: Loss	n/a	n/a
179.629	0.774	n/a	boundary	n/a	n/a	n/a
180.034	n/a	n/a	S103	CUE: 213	n/a	n/a
180.746	n/a	n/a	S  4	Up Button	n/a	n/a
181.03	n/a	n/a	S201	FB: Win	n/a	n/a
181.211	0.776	n/a	boundary	n/a	n/a	n/a
181.33	n/a	n/a	S  1	Fixation	n/a	n/a
182.06	n/a	n/a	S105	CUE: 312	n/a	n/a
182.778	n/a	n/a	S  2	Right Button	n/a	n/a
183.102	n/a	n/a	S200	FB: Loss	n/a	n/a
184.123	0.774	n/a	boundary	n/a	n/a	n/a
184.178	n/a	n/a	S101	CUE: 123	n/a	n/a
184.636	n/a	n/a	S  4	Up Button	n/a	n/a
184.85	n/a	n/a	S200	FB: Loss	n/a	n/a
185.205	0.498	n/a	boundary	n/a	n/a	n/a
185.428	n/a	n/a	S  1	Fixation	n/a	n/a
186.28	n/a	n/a	S106	CUE: 321	n/a	n/a
186.537	0.774	n/a	boundary	n/a	n/a	n/a
187.54	n/a	n/a	S  1	Fixation	n/a	n/a
188.31	n/a	n/a	S104	CUE: 231	n/a	n/a
189.38	n/a	n/a	S  2	Right Button	n/a	n/a
189.544	n/a	n/a	S201	FB: Win	n/a	n/a
190.626	n/a	n/a	S  1	Fixation	n/a	n/a
190.751	0.526	n/a	boundary	n/a	n/a	n/a
190.84	n/a	n/a	S103	CUE: 213	n/a	n/a
191.902	n/a	n/a	S  2	Right Button	n/a	n/a
192.196	n/a	n/a	S201	FB: Win	n/a	n/a
192.609	0.774	n/a	boundary	n/a	n/a	n/a
193.316	n/a	n/a	S104	CUE: 231	n/a	n/a
194.34	n/a	n/a	S  2	Right Button	n/a	n/a
194.574	n/a	n/a	S200	FB: Loss	n/a	n/a
195.271	0.498	n/a	boundary	n/a	n/a	n/a
195.95	n/a	n/a	S103	CUE: 213	n/a	n/a
196.538	n/a	n/a	S  4	Up Button	n/a	n/a
196.742	n/a	n/a	S201	FB: Win	n/a	n/a
197.129	0.526	n/a	boundary	n/a	n/a	n/a
197.292	n/a	n/a	S  1	Fixation	n/a	n/a
198.022	n/a	n/a	S106	CUE: 321	n/a	n/a
