onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.828	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
8.455	1.024	n/a	boundary	n/a	n/a	n/a
9.787	1.302	n/a	boundary	n/a	n/a	n/a
9.815	0.498	n/a	boundary	n/a	n/a	n/a
9.845	0.498	n/a	boundary	n/a	n/a	n/a
10.901	0.274	n/a	boundary	n/a	n/a	n/a
14.313	1.052	n/a	boundary	n/a	n/a	n/a
35.661	0.524	n/a	boundary	n/a	n/a	n/a
36.191	0.274	n/a	boundary	n/a	n/a	n/a
36.719	0.498	n/a	boundary	n/a	n/a	n/a
70.459	0.498	n/a	boundary	n/a	n/a	n/a
70.489	6.568	n/a	boundary	n/a	n/a	n/a
71.295	1.024	n/a	boundary	n/a	n/a	n/a
72.079	1.34	n/a	boundary	n/a	n/a	n/a
75.578	n/a	n/a	S  1	Fixation	n/a	n/a
76.282	n/a	n/a	S101	CUE: 123	n/a	n/a
77.858	n/a	n/a	S 99	No Response	n/a	n/a
78.074	n/a	n/a	S199	FB: No Resp	n/a	n/a
79.132	n/a	n/a	S  1	Fixation	n/a	n/a
79.864	n/a	n/a	S103	CUE: 213	n/a	n/a
81.418	n/a	n/a	S 99	No Response	n/a	n/a
81.642	n/a	n/a	S199	FB: No Resp	n/a	n/a
82.7	n/a	n/a	S  1	Fixation	n/a	n/a
83.402	n/a	n/a	S104	CUE: 231	n/a	n/a
84.954	n/a	n/a	S 99	No Response	n/a	n/a
85.106	n/a	n/a	S199	FB: No Resp	n/a	n/a
86.162	n/a	n/a	S  1	Fixation	n/a	n/a
86.844	n/a	n/a	S102	CUE: 132	n/a	n/a
87.862	n/a	n/a	S  4	Up Button	n/a	n/a
88.206	n/a	n/a	S201	FB: Win	n/a	n/a
89.264	n/a	n/a	S  1	Fixation	n/a	n/a
90.048	n/a	n/a	S106	CUE: 321	n/a	n/a
91.082	n/a	n/a	S  2	Right Button	n/a	n/a
91.324	n/a	n/a	S200	FB: Loss	n/a	n/a
92.382	n/a	n/a	S  1	Fixation	n/a	n/a
93.044	n/a	n/a	S103	CUE: 213	n/a	n/a
94.596	n/a	n/a	S 99	No Response	n/a	n/a
94.87	n/a	n/a	S199	FB: No Resp	n/a	n/a
95.926	n/a	n/a	S  1	Fixation	n/a	n/a
96.676	n/a	n/a	S105	CUE: 312	n/a	n/a
98.23	n/a	n/a	S 99	No Response	n/a	n/a
98.462	n/a	n/a	S199	FB: No Resp	n/a	n/a
99.518	n/a	n/a	S  1	Fixation	n/a	n/a
100.21	n/a	n/a	S104	CUE: 231	n/a	n/a
101.764	n/a	n/a	S 99	No Response	n/a	n/a
101.986	n/a	n/a	S199	FB: No Resp	n/a	n/a
103.042	n/a	n/a	S  1	Fixation	n/a	n/a
103.702	n/a	n/a	S106	CUE: 321	n/a	n/a
104.546	n/a	n/a	S  3	Left Button	n/a	n/a
104.828	n/a	n/a	S200	FB: Loss	n/a	n/a
105.884	n/a	n/a	S  1	Fixation	n/a	n/a
106.536	n/a	n/a	S103	CUE: 213	n/a	n/a
108.088	n/a	n/a	S 99	No Response	n/a	n/a
108.25	n/a	n/a	S199	FB: No Resp	n/a	n/a
109.306	n/a	n/a	S  1	Fixation	n/a	n/a
110.008	n/a	n/a	S104	CUE: 231	n/a	n/a
110.79	n/a	n/a	S  4	Up Button	n/a	n/a
110.992	n/a	n/a	S201	FB: Win	n/a	n/a
112.048	n/a	n/a	S  1	Fixation	n/a	n/a
112.72	n/a	n/a	S101	CUE: 123	n/a	n/a
113.85	n/a	n/a	S  2	Right Button	n/a	n/a
114.164	n/a	n/a	S201	FB: Win	n/a	n/a
114.229	0.776	n/a	boundary	n/a	n/a	n/a
114.444	n/a	n/a	S  1	Fixation	n/a	n/a
115.236	n/a	n/a	S104	CUE: 231	n/a	n/a
116.03	n/a	n/a	S  4	Up Button	n/a	n/a
116.18	n/a	n/a	S201	FB: Win	n/a	n/a
117.238	n/a	n/a	S  1	Fixation	n/a	n/a
118.008	n/a	n/a	S104	CUE: 231	n/a	n/a
118.568	n/a	n/a	S  4	Up Button	n/a	n/a
118.832	n/a	n/a	S201	FB: Win	n/a	n/a
119.888	n/a	n/a	S  1	Fixation	n/a	n/a
120.568	n/a	n/a	S102	CUE: 132	n/a	n/a
121.426	n/a	n/a	S  4	Up Button	n/a	n/a
121.728	n/a	n/a	S201	FB: Win	n/a	n/a
122.784	n/a	n/a	S  1	Fixation	n/a	n/a
123.514	n/a	n/a	S102	CUE: 132	n/a	n/a
124.228	n/a	n/a	S  3	Left Button	n/a	n/a
124.482	n/a	n/a	S200	FB: Loss	n/a	n/a
125.538	n/a	n/a	S  1	Fixation	n/a	n/a
126.388	n/a	n/a	S105	CUE: 312	n/a	n/a
127.786	n/a	n/a	S  3	Left Button	n/a	n/a
127.958	n/a	n/a	S201	FB: Win	n/a	n/a
129.014	n/a	n/a	S  1	Fixation	n/a	n/a
129.754	n/a	n/a	S103	CUE: 213	n/a	n/a
130.574	n/a	n/a	S  4	Up Button	n/a	n/a
130.834	n/a	n/a	S201	FB: Win	n/a	n/a
131.89	n/a	n/a	S  1	Fixation	n/a	n/a
132.562	n/a	n/a	S106	CUE: 321	n/a	n/a
133.9	n/a	n/a	S  4	Up Button	n/a	n/a
134.232	n/a	n/a	S201	FB: Win	n/a	n/a
135.288	n/a	n/a	S  1	Fixation	n/a	n/a
135.98	n/a	n/a	S103	CUE: 213	n/a	n/a
137.256	n/a	n/a	S  4	Up Button	n/a	n/a
137.538	n/a	n/a	S200	FB: Loss	n/a	n/a
138.594	n/a	n/a	S  1	Fixation	n/a	n/a
139.246	n/a	n/a	S103	CUE: 213	n/a	n/a
140.196	n/a	n/a	S  2	Right Button	n/a	n/a
140.388	n/a	n/a	S200	FB: Loss	n/a	n/a
141.444	n/a	n/a	S  1	Fixation	n/a	n/a
142.176	n/a	n/a	S105	CUE: 312	n/a	n/a
143.728	n/a	n/a	S 99	No Response	n/a	n/a
144.08	n/a	n/a	S199	FB: No Resp	n/a	n/a
145.136	n/a	n/a	S  1	Fixation	n/a	n/a
145.836	n/a	n/a	S105	CUE: 312	n/a	n/a
146.788	n/a	n/a	S  4	Up Button	n/a	n/a
147.07	n/a	n/a	S200	FB: Loss	n/a	n/a
