onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.826	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
9.231	1.302	n/a	boundary	n/a	n/a	n/a
9.259	0.498	n/a	boundary	n/a	n/a	n/a
9.813	1.552	n/a	boundary	n/a	n/a	n/a
21.427	1.828	n/a	boundary	n/a	n/a	n/a
23.459	1.34	n/a	boundary	n/a	n/a	n/a
24.303	2.104	n/a	boundary	n/a	n/a	n/a
24.555	1.578	n/a	boundary	n/a	n/a	n/a
37.471	1.578	n/a	boundary	n/a	n/a	n/a
59.591	0.524	n/a	boundary	n/a	n/a	n/a
59.859	1.68	n/a	boundary	n/a	n/a	n/a
78.701	1.328	n/a	boundary	n/a	n/a	n/a
89.638	n/a	n/a	S  1	Fixation	n/a	n/a
90.294	n/a	n/a	S102	CUE: 132	n/a	n/a
91.626	n/a	n/a	S  4	Up Button	n/a	n/a
91.938	n/a	n/a	S200	FB: Loss	n/a	n/a
93.024	n/a	n/a	S  1	Fixation	n/a	n/a
93.776	n/a	n/a	S102	CUE: 132	n/a	n/a
94.578	n/a	n/a	S  4	Up Button	n/a	n/a
94.914	n/a	n/a	S201	FB: Win	n/a	n/a
95.992	n/a	n/a	S  1	Fixation	n/a	n/a
96.754	n/a	n/a	S101	CUE: 123	n/a	n/a
98.31	n/a	n/a	S 99	No Response	n/a	n/a
98.642	n/a	n/a	S199	FB: No Resp	n/a	n/a
99.712	n/a	n/a	S  1	Fixation	n/a	n/a
100.464	n/a	n/a	S106	CUE: 321	n/a	n/a
101.842	n/a	n/a	S  2	Right Button	n/a	n/a
102.106	n/a	n/a	S201	FB: Win	n/a	n/a
103.182	n/a	n/a	S  1	Fixation	n/a	n/a
104.032	n/a	n/a	S106	CUE: 321	n/a	n/a
104.826	n/a	n/a	S  2	Right Button	n/a	n/a
105.16	n/a	n/a	S200	FB: Loss	n/a	n/a
106.234	n/a	n/a	S  1	Fixation	n/a	n/a
106.956	n/a	n/a	S102	CUE: 132	n/a	n/a
107.97	n/a	n/a	S  3	Left Button	n/a	n/a
108.124	n/a	n/a	S201	FB: Win	n/a	n/a
109.202	n/a	n/a	S  1	Fixation	n/a	n/a
109.904	n/a	n/a	S101	CUE: 123	n/a	n/a
110.81	n/a	n/a	S  4	Up Button	n/a	n/a
111.044	n/a	n/a	S201	FB: Win	n/a	n/a
112.122	n/a	n/a	S  1	Fixation	n/a	n/a
112.954	n/a	n/a	S106	CUE: 321	n/a	n/a
113.478	n/a	n/a	S  4	Up Button	n/a	n/a
113.632	n/a	n/a	S201	FB: Win	n/a	n/a
114.708	n/a	n/a	S  1	Fixation	n/a	n/a
115.458	n/a	n/a	S102	CUE: 132	n/a	n/a
116.414	n/a	n/a	S  3	Left Button	n/a	n/a
116.698	n/a	n/a	S201	FB: Win	n/a	n/a
117.776	n/a	n/a	S  1	Fixation	n/a	n/a
118.628	n/a	n/a	S103	CUE: 213	n/a	n/a
119.438	n/a	n/a	S  2	Right Button	n/a	n/a
119.732	n/a	n/a	S201	FB: Win	n/a	n/a
120.812	n/a	n/a	S  1	Fixation	n/a	n/a
121.504	n/a	n/a	S105	CUE: 312	n/a	n/a
122.67	n/a	n/a	S  4	Up Button	n/a	n/a
122.834	n/a	n/a	S201	FB: Win	n/a	n/a
123.914	n/a	n/a	S  1	Fixation	n/a	n/a
124.716	n/a	n/a	S106	CUE: 321	n/a	n/a
125.418	n/a	n/a	S  4	Up Button	n/a	n/a
125.672	n/a	n/a	S200	FB: Loss	n/a	n/a
126.75	n/a	n/a	S  1	Fixation	n/a	n/a
127.492	n/a	n/a	S101	CUE: 123	n/a	n/a
128.374	n/a	n/a	S  3	Left Button	n/a	n/a
128.568	n/a	n/a	S201	FB: Win	n/a	n/a
129.652	n/a	n/a	S  1	Fixation	n/a	n/a
130.484	n/a	n/a	S104	CUE: 231	n/a	n/a
131.19	n/a	n/a	S  2	Right Button	n/a	n/a
131.364	n/a	n/a	S200	FB: Loss	n/a	n/a
132.438	n/a	n/a	S  1	Fixation	n/a	n/a
133.108	n/a	n/a	S105	CUE: 312	n/a	n/a
133.662	n/a	n/a	S  3	Left Button	n/a	n/a
133.816	n/a	n/a	S200	FB: Loss	n/a	n/a
