onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	27.674	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.051	1.046	n/a	boundary	n/a	n/a	n/a
0.101	0.798	n/a	boundary	n/a	n/a	n/a
0.651	1.094	n/a	boundary	n/a	n/a	n/a
1.453	0.296	n/a	boundary	n/a	n/a	n/a
1.753	0.798	n/a	boundary	n/a	n/a	n/a
4.497	0.546	n/a	boundary	n/a	n/a	n/a
5.047	0.798	n/a	boundary	n/a	n/a	n/a
5.347	1.894	n/a	boundary	n/a	n/a	n/a
6.745	1.344	n/a	boundary	n/a	n/a	n/a
7.595	0.796	n/a	boundary	n/a	n/a	n/a
7.895	0.798	n/a	boundary	n/a	n/a	n/a
9.841	0.796	n/a	boundary	n/a	n/a	n/a
12.085	1.596	n/a	boundary	n/a	n/a	n/a
13.483	0.796	n/a	boundary	n/a	n/a	n/a
16.777	0.546	n/a	boundary	n/a	n/a	n/a
17.377	0.796	n/a	boundary	n/a	n/a	n/a
17.629	1.144	n/a	boundary	n/a	n/a	n/a
17.881	2.192	n/a	boundary	n/a	n/a	n/a
18.729	0.498	n/a	boundary	n/a	n/a	n/a
19.031	0.796	n/a	boundary	n/a	n/a	n/a
19.081	2.992	n/a	boundary	n/a	n/a	n/a
19.381	0.498	n/a	boundary	n/a	n/a	n/a
19.431	1.596	n/a	boundary	n/a	n/a	n/a
19.731	0.546	n/a	boundary	n/a	n/a	n/a
20.033	0.796	n/a	boundary	n/a	n/a	n/a
21.131	3.29	n/a	boundary	n/a	n/a	n/a
21.431	0.498	n/a	boundary	n/a	n/a	n/a
21.57	n/a	n/a	S  1	Fixation	n/a	n/a
22.376	n/a	n/a	S101	CUE: 123	n/a	n/a
23.927	1.344	n/a	boundary	n/a	n/a	n/a
24.664	n/a	n/a	S103	CUE: 213	n/a	n/a
25.075	0.498	n/a	boundary	n/a	n/a	n/a
25.182	n/a	n/a	S201	FB: Win	n/a	n/a
26.266	n/a	n/a	S  1	Fixation	n/a	n/a
26.978	n/a	n/a	S104	CUE: 231	n/a	n/a
27.832	n/a	n/a	S  3	Left Button	n/a	n/a
28.088	n/a	n/a	S201	FB: Win	n/a	n/a
28.417	0.498	n/a	boundary	n/a	n/a	n/a
28.67	n/a	n/a	S  1	Fixation	n/a	n/a
29.342	n/a	n/a	S101	CUE: 123	n/a	n/a
29.886	n/a	n/a	S  4	Up Button	n/a	n/a
30.19	n/a	n/a	S201	FB: Win	n/a	n/a
31.272	n/a	n/a	S  1	Fixation	n/a	n/a
32.074	n/a	n/a	S106	CUE: 321	n/a	n/a
32.854	n/a	n/a	S  3	Left Button	n/a	n/a
33.128	n/a	n/a	S201	FB: Win	n/a	n/a
34.208	n/a	n/a	S  1	Fixation	n/a	n/a
34.86	n/a	n/a	S101	CUE: 123	n/a	n/a
35.746	n/a	n/a	S  2	Right Button	n/a	n/a
36.042	n/a	n/a	S200	FB: Loss	n/a	n/a
37.126	n/a	n/a	S  1	Fixation	n/a	n/a
37.197	0.296	n/a	boundary	n/a	n/a	n/a
37.552	n/a	n/a	S104	CUE: 231	n/a	n/a
38.158	n/a	n/a	S  3	Left Button	n/a	n/a
38.352	n/a	n/a	S201	FB: Win	n/a	n/a
39.432	n/a	n/a	S  1	Fixation	n/a	n/a
40.164	n/a	n/a	S104	CUE: 231	n/a	n/a
40.814	n/a	n/a	S  2	Right Button	n/a	n/a
40.988	n/a	n/a	S200	FB: Loss	n/a	n/a
42.068	n/a	n/a	S  1	Fixation	n/a	n/a
42.89	n/a	n/a	S102	CUE: 132	n/a	n/a
44.022	n/a	n/a	S  2	Right Button	n/a	n/a
44.176	n/a	n/a	S201	FB: Win	n/a	n/a
45.254	n/a	n/a	S  1	Fixation	n/a	n/a
45.916	n/a	n/a	S105	CUE: 312	n/a	n/a
46.958	n/a	n/a	S  2	Right Button	n/a	n/a
47.222	n/a	n/a	S201	FB: Win	n/a	n/a
48.306	n/a	n/a	S  1	Fixation	n/a	n/a
49.018	n/a	n/a	S102	CUE: 132	n/a	n/a
49.626	n/a	n/a	S  2	Right Button	n/a	n/a
49.84	n/a	n/a	S200	FB: Loss	n/a	n/a
50.924	n/a	n/a	S  1	Fixation	n/a	n/a
51.716	n/a	n/a	S104	CUE: 231	n/a	n/a
52.698	n/a	n/a	S  2	Right Button	n/a	n/a
52.892	n/a	n/a	S200	FB: Loss	n/a	n/a
53.978	n/a	n/a	S  1	Fixation	n/a	n/a
54.668	n/a	n/a	S106	CUE: 321	n/a	n/a
55.362	n/a	n/a	S  3	Left Button	n/a	n/a
55.576	n/a	n/a	S200	FB: Loss	n/a	n/a
56.662	n/a	n/a	S  1	Fixation	n/a	n/a
57.424	n/a	n/a	S106	CUE: 321	n/a	n/a
58.046	n/a	n/a	S  2	Right Button	n/a	n/a
58.4	n/a	n/a	S201	FB: Win	n/a	n/a
59.482	n/a	n/a	S  1	Fixation	n/a	n/a
60.252	n/a	n/a	S103	CUE: 213	n/a	n/a
61.074	n/a	n/a	S  3	Left Button	n/a	n/a
