onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.344	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
1.147	0.498	n/a	boundary	n/a	n/a	n/a
4.489	0.498	n/a	boundary	n/a	n/a	n/a
4.789	0.546	n/a	boundary	n/a	n/a	n/a
7.285	0.498	n/a	boundary	n/a	n/a	n/a
13.321	0.546	n/a	boundary	n/a	n/a	n/a
15.017	0.798	n/a	boundary	n/a	n/a	n/a
22.699	0.546	n/a	boundary	n/a	n/a	n/a
22.951	0.296	n/a	boundary	n/a	n/a	n/a
24.599	0.796	n/a	boundary	n/a	n/a	n/a
35.323	1.096	n/a	boundary	n/a	n/a	n/a
38.067	0.796	n/a	boundary	n/a	n/a	n/a
45.714	n/a	n/a	S  1	Fixation	n/a	n/a
46.378	n/a	n/a	S106	CUE: 321	n/a	n/a
47.396	n/a	n/a	S  3	Left Button	n/a	n/a
47.722	n/a	n/a	S201	FB: Win	n/a	n/a
48.78	n/a	n/a	S  1	Fixation	n/a	n/a
49.492	n/a	n/a	S102	CUE: 132	n/a	n/a
50.208	n/a	n/a	S  2	Right Button	n/a	n/a
50.56	n/a	n/a	S200	FB: Loss	n/a	n/a
51.616	n/a	n/a	S  1	Fixation	n/a	n/a
52.408	n/a	n/a	S103	CUE: 213	n/a	n/a
53.7	n/a	n/a	S  3	Left Button	n/a	n/a
53.972	n/a	n/a	S200	FB: Loss	n/a	n/a
55.028	n/a	n/a	S  1	Fixation	n/a	n/a
55.72	n/a	n/a	S103	CUE: 213	n/a	n/a
56.148	n/a	n/a	S  4	Up Button	n/a	n/a
56.41	n/a	n/a	S201	FB: Win	n/a	n/a
57.468	n/a	n/a	S  1	Fixation	n/a	n/a
58.304	n/a	n/a	S101	CUE: 123	n/a	n/a
58.968	n/a	n/a	S  3	Left Button	n/a	n/a
59.142	n/a	n/a	S201	FB: Win	n/a	n/a
60.2	n/a	n/a	S  1	Fixation	n/a	n/a
61	n/a	n/a	S101	CUE: 123	n/a	n/a
61.534	n/a	n/a	S  3	Left Button	n/a	n/a
61.788	n/a	n/a	S200	FB: Loss	n/a	n/a
62.844	n/a	n/a	S  1	Fixation	n/a	n/a
63.596	n/a	n/a	S102	CUE: 132	n/a	n/a
64.194	n/a	n/a	S  2	Right Button	n/a	n/a
64.398	n/a	n/a	S201	FB: Win	n/a	n/a
65.452	n/a	n/a	S  1	Fixation	n/a	n/a
66.254	n/a	n/a	S104	CUE: 231	n/a	n/a
66.696	n/a	n/a	S  4	Up Button	n/a	n/a
