onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.712	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.893	0.82	n/a	boundary	n/a	n/a	n/a
3.503	0.82	n/a	boundary	n/a	n/a	n/a
4.969	0.82	n/a	boundary	n/a	n/a	n/a
7.257	1.142	n/a	boundary	n/a	n/a	n/a
7.579	0.82	n/a	boundary	n/a	n/a	n/a
9.867	0.82	n/a	boundary	n/a	n/a	n/a
13.369	0.57	n/a	boundary	n/a	n/a	n/a
14.515	0.82	n/a	boundary	n/a	n/a	n/a
16.553	0.818	n/a	boundary	n/a	n/a	n/a
19.163	0.82	n/a	boundary	n/a	n/a	n/a
20.309	0.818	n/a	boundary	n/a	n/a	n/a
26.671	0.818	n/a	boundary	n/a	n/a	n/a
28.961	0.568	n/a	boundary	n/a	n/a	n/a
31.571	0.82	n/a	boundary	n/a	n/a	n/a
34.181	0.57	n/a	boundary	n/a	n/a	n/a
37.611	0.82	n/a	boundary	n/a	n/a	n/a
41.935	0.82	n/a	boundary	n/a	n/a	n/a
48.545	0.57	n/a	boundary	n/a	n/a	n/a
50.761	0.57	n/a	boundary	n/a	n/a	n/a
54.765	0.568	n/a	boundary	n/a	n/a	n/a
58.197	0.57	n/a	boundary	n/a	n/a	n/a
59.985	0.82	n/a	boundary	n/a	n/a	n/a
63.415	0.82	n/a	boundary	n/a	n/a	n/a
63.989	0.64	n/a	boundary	n/a	n/a	n/a
66.272	n/a	n/a	S  1	Fixation	n/a	n/a
67.046	n/a	n/a	S102	CUE: 132	n/a	n/a
67.993	0.498	n/a	boundary	n/a	n/a	n/a
68.124	n/a	n/a	S 99	No Response	n/a	n/a
68.352	n/a	n/a	S199	FB: No Resp	n/a	n/a
69.41	n/a	n/a	S  1	Fixation	n/a	n/a
70.154	n/a	n/a	S103	CUE: 213	n/a	n/a
70.964	n/a	n/a	S  3	Left Button	n/a	n/a
71.148	n/a	n/a	S200	FB: Loss	n/a	n/a
72.204	n/a	n/a	S  1	Fixation	n/a	n/a
72.886	n/a	n/a	S102	CUE: 132	n/a	n/a
74.024	n/a	n/a	S  4	Up Button	n/a	n/a
74.236	n/a	n/a	S201	FB: Win	n/a	n/a
75.294	n/a	n/a	S  1	Fixation	n/a	n/a
76.116	n/a	n/a	S104	CUE: 231	n/a	n/a
76.756	n/a	n/a	S  4	Up Button	n/a	n/a
76.998	n/a	n/a	S201	FB: Win	n/a	n/a
78.056	n/a	n/a	S  1	Fixation	n/a	n/a
78.74	n/a	n/a	S102	CUE: 132	n/a	n/a
79.228	n/a	n/a	S  4	Up Button	n/a	n/a
79.55	n/a	n/a	S201	FB: Win	n/a	n/a
80.608	n/a	n/a	S  1	Fixation	n/a	n/a
81.43	n/a	n/a	S104	CUE: 231	n/a	n/a
81.936	n/a	n/a	S  4	Up Button	n/a	n/a
82.29	n/a	n/a	S200	FB: Loss	n/a	n/a
83.346	n/a	n/a	S  1	Fixation	n/a	n/a
84.028	n/a	n/a	S103	CUE: 213	n/a	n/a
84.508	n/a	n/a	S  3	Left Button	n/a	n/a
84.79	n/a	n/a	S201	FB: Win	n/a	n/a
85.846	n/a	n/a	S  1	Fixation	n/a	n/a
86.628	n/a	n/a	S102	CUE: 132	n/a	n/a
87.1	n/a	n/a	S  4	Up Button	n/a	n/a
87.392	n/a	n/a	S201	FB: Win	n/a	n/a
87.499	0.57	n/a	boundary	n/a	n/a	n/a
87.878	n/a	n/a	S  1	Fixation	n/a	n/a
88.59	n/a	n/a	S105	CUE: 312	n/a	n/a
89.034	n/a	n/a	S  3	Left Button	n/a	n/a
89.226	n/a	n/a	S201	FB: Win	n/a	n/a
90.28	n/a	n/a	S  1	Fixation	n/a	n/a
91.082	n/a	n/a	S102	CUE: 132	n/a	n/a
91.526	n/a	n/a	S  4	Up Button	n/a	n/a
91.736	n/a	n/a	S201	FB: Win	n/a	n/a
92.073	0.82	n/a	boundary	n/a	n/a	n/a
92.654	n/a	n/a	S104	CUE: 231	n/a	n/a
93.206	n/a	n/a	S  4	Up Button	n/a	n/a
93.406	n/a	n/a	S201	FB: Win	n/a	n/a
94.462	n/a	n/a	S  1	Fixation	n/a	n/a
95.154	n/a	n/a	S101	CUE: 123	n/a	n/a
95.818	n/a	n/a	S  2	Right Button	n/a	n/a
95.99	n/a	n/a	S201	FB: Win	n/a	n/a
97.044	n/a	n/a	S  1	Fixation	n/a	n/a
97.726	n/a	n/a	S103	CUE: 213	n/a	n/a
99.278	n/a	n/a	S 99	No Response	n/a	n/a
99.522	n/a	n/a	S199	FB: No Resp	n/a	n/a
100.077	0.818	n/a	boundary	n/a	n/a	n/a
100.53	n/a	n/a	S101	CUE: 123	n/a	n/a
101.904	n/a	n/a	S  4	Up Button	n/a	n/a
102.256	n/a	n/a	S200	FB: Loss	n/a	n/a
103.312	n/a	n/a	S  1	Fixation	n/a	n/a
104.024	n/a	n/a	S102	CUE: 132	n/a	n/a
104.632	n/a	n/a	S  3	Left Button	n/a	n/a
104.924	n/a	n/a	S201	FB: Win	n/a	n/a
105.98	n/a	n/a	S  1	Fixation	n/a	n/a
106.67	n/a	n/a	S106	CUE: 321	n/a	n/a
107.136	n/a	n/a	S  4	Up Button	n/a	n/a
107.326	n/a	n/a	S200	FB: Loss	n/a	n/a
108.382	n/a	n/a	S  1	Fixation	n/a	n/a
109.224	n/a	n/a	S103	CUE: 213	n/a	n/a
109.892	n/a	n/a	S  3	Left Button	n/a	n/a
110.174	n/a	n/a	S200	FB: Loss	n/a	n/a
111.23	n/a	n/a	S  1	Fixation	n/a	n/a
112	n/a	n/a	S106	CUE: 321	n/a	n/a
112.96	n/a	n/a	S  4	Up Button	n/a	n/a
113.172	n/a	n/a	S201	FB: Win	n/a	n/a
114.226	n/a	n/a	S  1	Fixation	n/a	n/a
114.958	n/a	n/a	S105	CUE: 312	n/a	n/a
115.386	n/a	n/a	S  4	Up Button	n/a	n/a
115.678	n/a	n/a	S200	FB: Loss	n/a	n/a
116.734	n/a	n/a	S  1	Fixation	n/a	n/a
117.456	n/a	n/a	S106	CUE: 321	n/a	n/a
118.074	n/a	n/a	S  4	Up Button	n/a	n/a
118.366	n/a	n/a	S201	FB: Win	n/a	n/a
118.691	0.82	n/a	boundary	n/a	n/a	n/a
119.294	n/a	n/a	S102	CUE: 132	n/a	n/a
119.742	n/a	n/a	S  4	Up Button	n/a	n/a
119.994	n/a	n/a	S200	FB: Loss	n/a	n/a
120.157	0.82	n/a	boundary	n/a	n/a	n/a
120.232	n/a	n/a	S  1	Fixation	n/a	n/a
121.042	n/a	n/a	S106	CUE: 321	n/a	n/a
121.97	n/a	n/a	S  4	Up Button	n/a	n/a
122.272	n/a	n/a	S200	FB: Loss	n/a	n/a
122.517	1.64	n/a	boundary	n/a	n/a	n/a
124.006	n/a	n/a	S  4	Up Button	n/a	n/a
124.338	n/a	n/a	S201	FB: Win	n/a	n/a
124.555	0.82	n/a	boundary	n/a	n/a	n/a
124.574	n/a	n/a	S  1	Fixation	n/a	n/a
125.316	n/a	n/a	S102	CUE: 132	n/a	n/a
