onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.866	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.339	2.022	n/a	boundary	n/a	n/a	n/a
2.185	0.466	n/a	boundary	n/a	n/a	n/a
48.209	2.334	n/a	boundary	n/a	n/a	n/a
52.885	2.586	n/a	boundary	n/a	n/a	n/a
53.571	1.868	n/a	boundary	n/a	n/a	n/a
62.921	1.4	n/a	boundary	n/a	n/a	n/a
67.379	1.618	n/a	boundary	n/a	n/a	n/a
69.967	0.932	n/a	boundary	n/a	n/a	n/a
78.838	n/a	n/a	S  1	Fixation	n/a	n/a
79.544	n/a	n/a	S104	CUE: 231	n/a	n/a
81.128	n/a	n/a	S 99	No Response	n/a	n/a
81.35	n/a	n/a	S199	FB: No Resp	n/a	n/a
82.339	0.466	n/a	boundary	n/a	n/a	n/a
82.628	n/a	n/a	S103	CUE: 213	n/a	n/a
83.82	n/a	n/a	S  3	Left Button	n/a	n/a
84.062	n/a	n/a	S201	FB: Win	n/a	n/a
85.144	n/a	n/a	S  1	Fixation	n/a	n/a
85.944	n/a	n/a	S104	CUE: 231	n/a	n/a
86.736	n/a	n/a	S  4	Up Button	n/a	n/a
87.022	n/a	n/a	S200	FB: Loss	n/a	n/a
88.096	n/a	n/a	S  1	Fixation	n/a	n/a
88.946	n/a	n/a	S101	CUE: 123	n/a	n/a
90.512	n/a	n/a	S 99	No Response	n/a	n/a
90.836	n/a	n/a	S199	FB: No Resp	n/a	n/a
91.914	n/a	n/a	S  1	Fixation	n/a	n/a
92.666	n/a	n/a	S104	CUE: 231	n/a	n/a
93.844	n/a	n/a	S  3	Left Button	n/a	n/a
93.998	n/a	n/a	S200	FB: Loss	n/a	n/a
95.084	n/a	n/a	S  1	Fixation	n/a	n/a
95.826	n/a	n/a	S104	CUE: 231	n/a	n/a
96.932	n/a	n/a	S  4	Up Button	n/a	n/a
97.086	n/a	n/a	S200	FB: Loss	n/a	n/a
98.17	n/a	n/a	S  1	Fixation	n/a	n/a
98.952	n/a	n/a	S101	CUE: 123	n/a	n/a
100.504	n/a	n/a	S 99	No Response	n/a	n/a
100.656	n/a	n/a	S199	FB: No Resp	n/a	n/a
101.74	n/a	n/a	S  1	Fixation	n/a	n/a
102.51	n/a	n/a	S101	CUE: 123	n/a	n/a
103.16	n/a	n/a	S  3	Left Button	n/a	n/a
103.444	n/a	n/a	S201	FB: Win	n/a	n/a
104.524	n/a	n/a	S  1	Fixation	n/a	n/a
