onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.826	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.555	0.498	n/a	boundary	n/a	n/a	n/a
3.467	0.524	n/a	boundary	n/a	n/a	n/a
3.995	0.776	n/a	boundary	n/a	n/a	n/a
5.327	1.578	n/a	boundary	n/a	n/a	n/a
9.291	2.078	n/a	boundary	n/a	n/a	n/a
11.675	0.802	n/a	boundary	n/a	n/a	n/a
12.203	0.776	n/a	boundary	n/a	n/a	n/a
13.535	0.774	n/a	boundary	n/a	n/a	n/a
13.813	0.776	n/a	boundary	n/a	n/a	n/a
19.607	0.774	n/a	boundary	n/a	n/a	n/a
19.635	1.302	n/a	boundary	n/a	n/a	n/a
21.743	1.302	n/a	boundary	n/a	n/a	n/a
29.143	1.026	n/a	boundary	n/a	n/a	n/a
29.947	0.526	n/a	boundary	n/a	n/a	n/a
33.359	2.104	n/a	boundary	n/a	n/a	n/a
33.387	0.498	n/a	boundary	n/a	n/a	n/a
35.245	1.052	n/a	boundary	n/a	n/a	n/a
35.773	0.776	n/a	boundary	n/a	n/a	n/a
35.801	0.498	n/a	boundary	n/a	n/a	n/a
36.079	2.104	n/a	boundary	n/a	n/a	n/a
36.359	1.024	n/a	boundary	n/a	n/a	n/a
37.165	0.774	n/a	boundary	n/a	n/a	n/a
37.719	3.408	n/a	boundary	n/a	n/a	n/a
40.355	0.524	n/a	boundary	n/a	n/a	n/a
41.687	0.774	n/a	boundary	n/a	n/a	n/a
42.743	2.104	n/a	boundary	n/a	n/a	n/a
43.549	0.498	n/a	boundary	n/a	n/a	n/a
44.077	0.524	n/a	boundary	n/a	n/a	n/a
47.239	0.276	n/a	boundary	n/a	n/a	n/a
48.293	1.578	n/a	boundary	n/a	n/a	n/a
48.412	n/a	n/a	S103	CUE: 213	n/a	n/a
48.545	0.274	n/a	boundary	n/a	n/a	n/a
49.718	n/a	n/a	S 99	No Response	n/a	n/a
50.068	n/a	n/a	S199	FB: No Resp	n/a	n/a
51.148	n/a	n/a	S  1	Fixation	n/a	n/a
51.89	n/a	n/a	S106	CUE: 321	n/a	n/a
52.536	n/a	n/a	S  3	Left Button	n/a	n/a
52.858	n/a	n/a	S201	FB: Win	n/a	n/a
53.813	0.776	n/a	boundary	n/a	n/a	n/a
53.978	n/a	n/a	S106	CUE: 321	n/a	n/a
54.998	n/a	n/a	S  3	Left Button	n/a	n/a
55.256	n/a	n/a	S200	FB: Loss	n/a	n/a
56.326	n/a	n/a	S  1	Fixation	n/a	n/a
56.475	0.498	n/a	boundary	n/a	n/a	n/a
56.6	n/a	n/a	S102	CUE: 132	n/a	n/a
57.96	n/a	n/a	S  2	Right Button	n/a	n/a
58.124	n/a	n/a	S200	FB: Loss	n/a	n/a
59.198	n/a	n/a	S  1	Fixation	n/a	n/a
59.918	n/a	n/a	S105	CUE: 312	n/a	n/a
61.064	n/a	n/a	S  2	Right Button	n/a	n/a
61.308	n/a	n/a	S200	FB: Loss	n/a	n/a
62.384	n/a	n/a	S  1	Fixation	n/a	n/a
62.795	0.526	n/a	boundary	n/a	n/a	n/a
63.518	n/a	n/a	S  4	Up Button	n/a	n/a
63.682	n/a	n/a	S200	FB: Loss	n/a	n/a
64.76	n/a	n/a	S  1	Fixation	n/a	n/a
64.929	0.774	n/a	boundary	n/a	n/a	n/a
65.544	n/a	n/a	S  2	Right Button	n/a	n/a
65.808	n/a	n/a	S200	FB: Loss	n/a	n/a
66.888	n/a	n/a	S  1	Fixation	n/a	n/a
67.6	n/a	n/a	S101	CUE: 123	n/a	n/a
68.192	n/a	n/a	S  4	Up Button	n/a	n/a
68.516	n/a	n/a	S201	FB: Win	n/a	n/a
69.421	0.774	n/a	boundary	n/a	n/a	n/a
69.648	n/a	n/a	S101	CUE: 123	n/a	n/a
70.878	n/a	n/a	S  4	Up Button	n/a	n/a
71.102	n/a	n/a	S200	FB: Loss	n/a	n/a
72.186	n/a	n/a	S  1	Fixation	n/a	n/a
72.906	n/a	n/a	S103	CUE: 213	n/a	n/a
74.198	n/a	n/a	S  4	Up Button	n/a	n/a
74.532	n/a	n/a	S201	FB: Win	n/a	n/a
75.493	0.774	n/a	boundary	n/a	n/a	n/a
