onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.438	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
6.557	0.594	n/a	boundary	n/a	n/a	n/a
9.537	0.594	n/a	boundary	n/a	n/a	n/a
11.673	0.844	n/a	boundary	n/a	n/a	n/a
11.771	0.594	n/a	boundary	n/a	n/a	n/a
25.383	0.69	n/a	boundary	n/a	n/a	n/a
25.981	0.498	n/a	boundary	n/a	n/a	n/a
26.673	1.44	n/a	boundary	n/a	n/a	n/a
26.925	0.69	n/a	boundary	n/a	n/a	n/a
27.523	0.498	n/a	boundary	n/a	n/a	n/a
28.217	1.44	n/a	boundary	n/a	n/a	n/a
29.411	1.44	n/a	boundary	n/a	n/a	n/a
30.009	0.594	n/a	boundary	n/a	n/a	n/a
36.661	0.594	n/a	boundary	n/a	n/a	n/a
37.163	0.594	n/a	boundary	n/a	n/a	n/a
39.299	0.592	n/a	boundary	n/a	n/a	n/a
39.551	0.344	n/a	boundary	n/a	n/a	n/a
40.149	0.594	n/a	boundary	n/a	n/a	n/a
45.515	0.594	n/a	boundary	n/a	n/a	n/a
48.151	0.592	n/a	boundary	n/a	n/a	n/a
51.825	0.498	n/a	boundary	n/a	n/a	n/a
53.115	0.498	n/a	boundary	n/a	n/a	n/a
56.193	1.688	n/a	boundary	n/a	n/a	n/a
61.059	0.594	n/a	boundary	n/a	n/a	n/a
65.964	n/a	n/a	S  1	Fixation	n/a	n/a
66.718	n/a	n/a	S106	CUE: 321	n/a	n/a
68.294	n/a	n/a	S 99	No Response	n/a	n/a
68.51	n/a	n/a	S199	FB: No Resp	n/a	n/a
69.568	n/a	n/a	S  1	Fixation	n/a	n/a
70.23	n/a	n/a	S106	CUE: 321	n/a	n/a
70.894	n/a	n/a	S  4	Up Button	n/a	n/a
71.188	n/a	n/a	S200	FB: Loss	n/a	n/a
72.246	n/a	n/a	S  1	Fixation	n/a	n/a
72.948	n/a	n/a	S103	CUE: 213	n/a	n/a
74.166	n/a	n/a	S  3	Left Button	n/a	n/a
74.48	n/a	n/a	S201	FB: Win	n/a	n/a
75.538	n/a	n/a	S  1	Fixation	n/a	n/a
75.611	0.594	n/a	boundary	n/a	n/a	n/a
75.726	n/a	n/a	S105	CUE: 312	n/a	n/a
76.336	n/a	n/a	S  3	Left Button	n/a	n/a
76.568	n/a	n/a	S201	FB: Win	n/a	n/a
77.626	n/a	n/a	S  1	Fixation	n/a	n/a
78.482	n/a	n/a	S104	CUE: 231	n/a	n/a
79.392	n/a	n/a	S  4	Up Button	n/a	n/a
79.654	n/a	n/a	S201	FB: Win	n/a	n/a
