onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.826	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.555	1.024	n/a	boundary	n/a	n/a	n/a
1.22	n/a	n/a	S101	CUE: 123	n/a	n/a
2.098	n/a	n/a	S  3	Left Button	n/a	n/a
2.408	n/a	n/a	S201	FB: Win	n/a	n/a
3.467	0.776	n/a	boundary	n/a	n/a	n/a
3.495	1.302	n/a	boundary	n/a	n/a	n/a
4.086	n/a	n/a	S  1	Fixation	n/a	n/a
4.928	n/a	n/a	S106	CUE: 321	n/a	n/a
5.732	n/a	n/a	S  4	Up Button	n/a	n/a
5.926	n/a	n/a	S200	FB: Loss	n/a	n/a
7.006	n/a	n/a	S  1	Fixation	n/a	n/a
7.836	n/a	n/a	S105	CUE: 312	n/a	n/a
8.268	n/a	n/a	S  4	Up Button	n/a	n/a
8.502	n/a	n/a	S201	FB: Win	n/a	n/a
9.574	n/a	n/a	S  1	Fixation	n/a	n/a
10.266	n/a	n/a	S102	CUE: 132	n/a	n/a
10.812	n/a	n/a	S  3	Left Button	n/a	n/a
11.076	n/a	n/a	S201	FB: Win	n/a	n/a
12.16	n/a	n/a	S  1	Fixation	n/a	n/a
13.01	n/a	n/a	S105	CUE: 312	n/a	n/a
13.464	n/a	n/a	S  4	Up Button	n/a	n/a
13.798	n/a	n/a	S200	FB: Loss	n/a	n/a
14.878	n/a	n/a	S  1	Fixation	n/a	n/a
15.54	n/a	n/a	S105	CUE: 312	n/a	n/a
15.92	n/a	n/a	S  4	Up Button	n/a	n/a
16.124	n/a	n/a	S200	FB: Loss	n/a	n/a
17.196	n/a	n/a	S  1	Fixation	n/a	n/a
17.898	n/a	n/a	S105	CUE: 312	n/a	n/a
18.292	n/a	n/a	S  4	Up Button	n/a	n/a
18.556	n/a	n/a	S200	FB: Loss	n/a	n/a
18.769	1.828	n/a	boundary	n/a	n/a	n/a
18.884	n/a	n/a	S  4	Up Button	n/a	n/a
19.188	n/a	n/a	S200	FB: Loss	n/a	n/a
20.272	n/a	n/a	S  1	Fixation	n/a	n/a
20.934	n/a	n/a	S105	CUE: 312	n/a	n/a
21.292	n/a	n/a	S  4	Up Button	n/a	n/a
21.466	n/a	n/a	S201	FB: Win	n/a	n/a
22.54	n/a	n/a	S  1	Fixation	n/a	n/a
23.332	n/a	n/a	S106	CUE: 321	n/a	n/a
24.1	n/a	n/a	S  2	Right Button	n/a	n/a
24.284	n/a	n/a	S201	FB: Win	n/a	n/a
25.36	n/a	n/a	S  1	Fixation	n/a	n/a
26.06	n/a	n/a	S106	CUE: 321	n/a	n/a
26.488	n/a	n/a	S  2	Right Button	n/a	n/a
26.702	n/a	n/a	S200	FB: Loss	n/a	n/a
27.778	n/a	n/a	S  1	Fixation	n/a	n/a
28.45	n/a	n/a	S103	CUE: 213	n/a	n/a
29.084	n/a	n/a	S  3	Left Button	n/a	n/a
29.378	n/a	n/a	S201	FB: Win	n/a	n/a
30.464	n/a	n/a	S  1	Fixation	n/a	n/a
31.274	n/a	n/a	S103	CUE: 213	n/a	n/a
31.704	n/a	n/a	S  3	Left Button	n/a	n/a
31.878	n/a	n/a	S201	FB: Win	n/a	n/a
32.948	n/a	n/a	S  1	Fixation	n/a	n/a
33.6	n/a	n/a	S102	CUE: 132	n/a	n/a
34.224	n/a	n/a	S  4	Up Button	n/a	n/a
34.508	n/a	n/a	S201	FB: Win	n/a	n/a
35.584	n/a	n/a	S  1	Fixation	n/a	n/a
36.286	n/a	n/a	S104	CUE: 231	n/a	n/a
36.716	n/a	n/a	S  4	Up Button	n/a	n/a
36.94	n/a	n/a	S200	FB: Loss	n/a	n/a
38.02	n/a	n/a	S  1	Fixation	n/a	n/a
38.87	n/a	n/a	S104	CUE: 231	n/a	n/a
39.252	n/a	n/a	S  4	Up Button	n/a	n/a
39.426	n/a	n/a	S201	FB: Win	n/a	n/a
40.504	n/a	n/a	S  1	Fixation	n/a	n/a
41.156	n/a	n/a	S102	CUE: 132	n/a	n/a
41.54	n/a	n/a	S  4	Up Button	n/a	n/a
41.764	n/a	n/a	S201	FB: Win	n/a	n/a
42.84	n/a	n/a	S  1	Fixation	n/a	n/a
43.59	n/a	n/a	S102	CUE: 132	n/a	n/a
