onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.514	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
8.095	0.754	n/a	boundary	n/a	n/a	n/a
18.725	1.51	n/a	boundary	n/a	n/a	n/a
24.297	2.27	n/a	boundary	n/a	n/a	n/a
26.323	1.516	n/a	boundary	n/a	n/a	n/a
34.923	0.754	n/a	boundary	n/a	n/a	n/a
38.217	0.504	n/a	boundary	n/a	n/a	n/a
38.473	0.754	n/a	boundary	n/a	n/a	n/a
53.907	1.51	n/a	boundary	n/a	n/a	n/a
64.281	2.02	n/a	boundary	n/a	n/a	n/a
71.365	1.01	n/a	boundary	n/a	n/a	n/a
78.57	n/a	n/a	S  1	Fixation	n/a	n/a
78.955	0.504	n/a	boundary	n/a	n/a	n/a
80.146	n/a	n/a	S  3	Left Button	n/a	n/a
80.38	n/a	n/a	S  8	STATUS	n/a	n/a
80.38	n/a	n/a	R 12	STATUS	n/a	n/a
81.438	n/a	n/a	S  1	Fixation	n/a	n/a
82.16	n/a	n/a	S  9	STATUS	n/a	n/a
82.16	n/a	n/a	R  6	STATUS	n/a	n/a
83.714	n/a	n/a	S  3	Left Button	n/a	n/a
83.714	n/a	n/a	R  6	STATUS	n/a	n/a
83.99	n/a	n/a	S  7	STATUS	n/a	n/a
83.99	n/a	n/a	R 12	STATUS	n/a	n/a
85.048	n/a	n/a	S  1	Fixation	n/a	n/a
85.533	0.502	n/a	boundary	n/a	n/a	n/a
85.842	n/a	n/a	S  3	Left Button	n/a	n/a
86.076	n/a	n/a	S  9	STATUS	n/a	n/a
86.076	n/a	n/a	R 12	STATUS	n/a	n/a
87.132	n/a	n/a	S  1	Fixation	n/a	n/a
87.964	n/a	n/a	S  8	STATUS	n/a	n/a
87.964	n/a	n/a	R  6	STATUS	n/a	n/a
88.538	n/a	n/a	S  2	Right Button	n/a	n/a
88.74	n/a	n/a	S  8	STATUS	n/a	n/a
88.74	n/a	n/a	R 12	STATUS	n/a	n/a
89.798	n/a	n/a	S  1	Fixation	n/a	n/a
90.584	n/a	n/a	S  9	STATUS	n/a	n/a
90.584	n/a	n/a	R  6	STATUS	n/a	n/a
91.158	n/a	n/a	S  4	Up Button	n/a	n/a
91.342	n/a	n/a	S  9	STATUS	n/a	n/a
91.342	n/a	n/a	R 12	STATUS	n/a	n/a
92.4	n/a	n/a	S  1	Fixation	n/a	n/a
92.617	0.504	n/a	boundary	n/a	n/a	n/a
93.346	n/a	n/a	S  4	Up Button	n/a	n/a
93.63	n/a	n/a	S  9	STATUS	n/a	n/a
93.63	n/a	n/a	R 12	STATUS	n/a	n/a
94.688	n/a	n/a	S  1	Fixation	n/a	n/a
95.518	n/a	n/a	S  5	STATUS	n/a	n/a
95.518	n/a	n/a	R  6	STATUS	n/a	n/a
96.25	n/a	n/a	S  3	Left Button	n/a	n/a
96.574	n/a	n/a	S  8	STATUS	n/a	n/a
96.574	n/a	n/a	R 12	STATUS	n/a	n/a
97.63	n/a	n/a	S  1	Fixation	n/a	n/a
97.677	0.504	n/a	boundary	n/a	n/a	n/a
97.776	n/a	n/a	S  7	STATUS	n/a	n/a
97.776	n/a	n/a	R  6	STATUS	n/a	n/a
99.022	n/a	n/a	S  2	Right Button	n/a	n/a
99.314	n/a	n/a	S  9	STATUS	n/a	n/a
99.314	n/a	n/a	R 12	STATUS	n/a	n/a
99.703	1.26	n/a	boundary	n/a	n/a	n/a
99.802	n/a	n/a	S  6	STATUS	n/a	n/a
99.802	n/a	n/a	R  6	STATUS	n/a	n/a
101.146	n/a	n/a	S  4	Up Button	n/a	n/a
101.348	n/a	n/a	S  9	STATUS	n/a	n/a
101.348	n/a	n/a	R 12	STATUS	n/a	n/a
101.983	0.754	n/a	boundary	n/a	n/a	n/a
102.472	n/a	n/a	S  9	STATUS	n/a	n/a
102.472	n/a	n/a	R  6	STATUS	n/a	n/a
103.676	n/a	n/a	S  4	Up Button	n/a	n/a
103.998	n/a	n/a	S  9	STATUS	n/a	n/a
103.998	n/a	n/a	R 12	STATUS	n/a	n/a
105.027	0.754	n/a	boundary	n/a	n/a	n/a
106.554	n/a	n/a	S  3	Left Button	n/a	n/a
