onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	2.27	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.513	0.498	n/a	boundary	n/a	n/a	n/a
1.533	1.26	n/a	boundary	n/a	n/a	n/a
1.791	1.51	n/a	boundary	n/a	n/a	n/a
2.811	0.498	n/a	boundary	n/a	n/a	n/a
3.069	1.26	n/a	boundary	n/a	n/a	n/a
4.843	0.754	n/a	boundary	n/a	n/a	n/a
25.087	1.766	n/a	boundary	n/a	n/a	n/a
25.345	4.546	n/a	boundary	n/a	n/a	n/a
28.637	3.034	n/a	boundary	n/a	n/a	n/a
33.955	7.33	n/a	boundary	n/a	n/a	n/a
34.463	3.284	n/a	boundary	n/a	n/a	n/a
35.987	0.754	n/a	boundary	n/a	n/a	n/a
37.507	1.766	n/a	boundary	n/a	n/a	n/a
37.765	2.778	n/a	boundary	n/a	n/a	n/a
39.795	5.564	n/a	boundary	n/a	n/a	n/a
40.553	2.022	n/a	boundary	n/a	n/a	n/a
41.376	n/a	n/a	S  1	Fixation	n/a	n/a
42.204	n/a	n/a	S102	CUE: 132	n/a	n/a
43.782	n/a	n/a	S 99	No Response	n/a	n/a
43.966	n/a	n/a	S199	FB: No Resp	n/a	n/a
44.095	1.26	n/a	boundary	n/a	n/a	n/a
44.353	1.772	n/a	boundary	n/a	n/a	n/a
45.25	n/a	n/a	S  1	Fixation	n/a	n/a
46.07	n/a	n/a	S104	CUE: 231	n/a	n/a
46.964	n/a	n/a	S  4	Up Button	n/a	n/a
47.148	n/a	n/a	S200	FB: Loss	n/a	n/a
48.236	n/a	n/a	S  1	Fixation	n/a	n/a
49.046	n/a	n/a	S104	CUE: 231	n/a	n/a
49.832	n/a	n/a	S  2	Right Button	n/a	n/a
50.126	n/a	n/a	S200	FB: Loss	n/a	n/a
51.204	n/a	n/a	S  1	Fixation	n/a	n/a
51.926	n/a	n/a	S102	CUE: 132	n/a	n/a
52.784	n/a	n/a	S  2	Right Button	n/a	n/a
53.1	n/a	n/a	S201	FB: Win	n/a	n/a
54.174	n/a	n/a	S  1	Fixation	n/a	n/a
54.844	n/a	n/a	S104	CUE: 231	n/a	n/a
55.9	n/a	n/a	S  3	Left Button	n/a	n/a
56.164	n/a	n/a	S201	FB: Win	n/a	n/a
57.003	0.754	n/a	boundary	n/a	n/a	n/a
57.24	n/a	n/a	S103	CUE: 213	n/a	n/a
58.806	n/a	n/a	S 99	No Response	n/a	n/a
59.108	n/a	n/a	S199	FB: No Resp	n/a	n/a
59.789	0.498	n/a	boundary	n/a	n/a	n/a
60.364	n/a	n/a	S102	CUE: 132	n/a	n/a
61.308	n/a	n/a	S  2	Right Button	n/a	n/a
61.539	1.838	n/a	boundary	n/a	n/a	n/a
61.666	n/a	n/a	S102	CUE: 132	n/a	n/a
62.166	n/a	n/a	S  2	Right Button	n/a	n/a
62.48	n/a	n/a	S201	FB: Win	n/a	n/a
63.019	1.26	n/a	boundary	n/a	n/a	n/a
63.12	n/a	n/a	S102	CUE: 132	n/a	n/a
63.886	n/a	n/a	S  2	Right Button	n/a	n/a
64.068	n/a	n/a	S201	FB: Win	n/a	n/a
65.152	n/a	n/a	S  1	Fixation	n/a	n/a
65.872	n/a	n/a	S101	CUE: 123	n/a	n/a
66.722	n/a	n/a	S  4	Up Button	n/a	n/a
66.926	n/a	n/a	S200	FB: Loss	n/a	n/a
68.004	n/a	n/a	S  1	Fixation	n/a	n/a
68.834	n/a	n/a	S101	CUE: 123	n/a	n/a
69.49	n/a	n/a	S  4	Up Button	n/a	n/a
69.644	n/a	n/a	S200	FB: Loss	n/a	n/a
70.722	n/a	n/a	S  1	Fixation	n/a	n/a
71.115	0.504	n/a	boundary	n/a	n/a	n/a
71.334	n/a	n/a	S  2	Right Button	n/a	n/a
71.506	n/a	n/a	S200	FB: Loss	n/a	n/a
72.586	n/a	n/a	S  1	Fixation	n/a	n/a
73.408	n/a	n/a	S105	CUE: 312	n/a	n/a
73.73	n/a	n/a	S  4	Up Button	n/a	n/a
74.044	n/a	n/a	S201	FB: Win	n/a	n/a
74.915	1.004	n/a	boundary	n/a	n/a	n/a
75.382	n/a	n/a	S  3	Left Button	n/a	n/a
75.626	n/a	n/a	S201	FB: Win	n/a	n/a
76.704	n/a	n/a	S  1	Fixation	n/a	n/a
77.374	n/a	n/a	S102	CUE: 132	n/a	n/a
77.962	n/a	n/a	S  3	Left Button	n/a	n/a
78.314	n/a	n/a	S200	FB: Loss	n/a	n/a
78.463	0.754	n/a	boundary	n/a	n/a	n/a
78.634	n/a	n/a	S  1	Fixation	n/a	n/a
78.721	0.754	n/a	boundary	n/a	n/a	n/a
79.538	n/a	n/a	S  4	Up Button	n/a	n/a
79.73	n/a	n/a	S201	FB: Win	n/a	n/a
80.497	1.26	n/a	boundary	n/a	n/a	n/a
81.022	n/a	n/a	S  3	Left Button	n/a	n/a
81.314	n/a	n/a	S201	FB: Win	n/a	n/a
82.273	3.788	n/a	boundary	n/a	n/a	n/a
82.406	n/a	n/a	S  3	Left Button	n/a	n/a
82.525	0.254	n/a	boundary	n/a	n/a	n/a
83.289	0.754	n/a	boundary	n/a	n/a	n/a
83.438	n/a	n/a	S106	CUE: 321	n/a	n/a
83.547	0.498	n/a	boundary	n/a	n/a	n/a
83.588	n/a	n/a	S  4	Up Button	n/a	n/a
83.77	n/a	n/a	S201	FB: Win	n/a	n/a
84.854	n/a	n/a	S  1	Fixation	n/a	n/a
85.616	n/a	n/a	S105	CUE: 312	n/a	n/a
86.008	n/a	n/a	S  4	Up Button	n/a	n/a
86.23	n/a	n/a	S200	FB: Loss	n/a	n/a
87.306	n/a	n/a	S  1	Fixation	n/a	n/a
88.138	n/a	n/a	S103	CUE: 213	n/a	n/a
88.812	n/a	n/a	S  4	Up Button	n/a	n/a
89.084	n/a	n/a	S200	FB: Loss	n/a	n/a
90.158	n/a	n/a	S  1	Fixation	n/a	n/a
90.99	n/a	n/a	S105	CUE: 312	n/a	n/a
91.564	n/a	n/a	S  4	Up Button	n/a	n/a
91.876	n/a	n/a	S201	FB: Win	n/a	n/a
92.911	0.754	n/a	boundary	n/a	n/a	n/a
92.968	n/a	n/a	S104	CUE: 231	n/a	n/a
94.022	n/a	n/a	S  2	Right Button	n/a	n/a
94.294	n/a	n/a	S201	FB: Win	n/a	n/a
95.193	0.754	n/a	boundary	n/a	n/a	n/a
