onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.462	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.251	0.82	n/a	boundary	n/a	n/a	n/a
32.021	0.818	n/a	boundary	n/a	n/a	n/a
33.489	0.57	n/a	boundary	n/a	n/a	n/a
37.243	0.498	n/a	boundary	n/a	n/a	n/a
40.175	0.498	n/a	boundary	n/a	n/a	n/a
40.821	1.392	n/a	boundary	n/a	n/a	n/a
41.073	0.32	n/a	boundary	n/a	n/a	n/a
42.539	0.498	n/a	boundary	n/a	n/a	n/a
51.761	1.07	n/a	boundary	n/a	n/a	n/a
52.335	2.034	n/a	boundary	n/a	n/a	n/a
60.913	0.32	n/a	boundary	n/a	n/a	n/a
61.582	n/a	n/a	S101	CUE: 123	n/a	n/a
62.61	n/a	n/a	S  4	Up Button	n/a	n/a
62.926	n/a	n/a	S201	FB: Win	n/a	n/a
63.984	n/a	n/a	S  1	Fixation	n/a	n/a
64.696	n/a	n/a	S102	CUE: 132	n/a	n/a
66.122	n/a	n/a	S  2	Right Button	n/a	n/a
66.304	n/a	n/a	S201	FB: Win	n/a	n/a
67.362	n/a	n/a	S  1	Fixation	n/a	n/a
68.094	n/a	n/a	S105	CUE: 312	n/a	n/a
68.914	n/a	n/a	S  2	Right Button	n/a	n/a
69.166	n/a	n/a	S201	FB: Win	n/a	n/a
70.222	n/a	n/a	S  1	Fixation	n/a	n/a
70.974	n/a	n/a	S102	CUE: 132	n/a	n/a
71.726	n/a	n/a	S  2	Right Button	n/a	n/a
72.078	n/a	n/a	S201	FB: Win	n/a	n/a
73.136	n/a	n/a	S  1	Fixation	n/a	n/a
73.892	n/a	n/a	S106	CUE: 321	n/a	n/a
74.61	n/a	n/a	S  3	Left Button	n/a	n/a
74.914	n/a	n/a	S201	FB: Win	n/a	n/a
75.972	n/a	n/a	S  1	Fixation	n/a	n/a
76.734	n/a	n/a	S103	CUE: 213	n/a	n/a
77.174	n/a	n/a	S  4	Up Button	n/a	n/a
77.394	n/a	n/a	S201	FB: Win	n/a	n/a
78.452	n/a	n/a	S  1	Fixation	n/a	n/a
79.192	n/a	n/a	S101	CUE: 123	n/a	n/a
79.606	n/a	n/a	S  4	Up Button	n/a	n/a
79.928	n/a	n/a	S200	FB: Loss	n/a	n/a
80.984	n/a	n/a	S  1	Fixation	n/a	n/a
81.656	n/a	n/a	S106	CUE: 321	n/a	n/a
82.118	n/a	n/a	S  3	Left Button	n/a	n/a
82.28	n/a	n/a	S201	FB: Win	n/a	n/a
83.336	n/a	n/a	S  1	Fixation	n/a	n/a
84.006	n/a	n/a	S106	CUE: 321	n/a	n/a
84.442	n/a	n/a	S  3	Left Button	n/a	n/a
84.742	n/a	n/a	S201	FB: Win	n/a	n/a
85.798	n/a	n/a	S  1	Fixation	n/a	n/a
86.52	n/a	n/a	S106	CUE: 321	n/a	n/a
86.942	n/a	n/a	S  3	Left Button	n/a	n/a
87.252	n/a	n/a	S201	FB: Win	n/a	n/a
88.308	n/a	n/a	S  1	Fixation	n/a	n/a
89.07	n/a	n/a	S106	CUE: 321	n/a	n/a
89.526	n/a	n/a	S  3	Left Button	n/a	n/a
89.878	n/a	n/a	S201	FB: Win	n/a	n/a
90.934	n/a	n/a	S  1	Fixation	n/a	n/a
91.674	n/a	n/a	S102	CUE: 132	n/a	n/a
92.282	n/a	n/a	S  2	Right Button	n/a	n/a
92.552	n/a	n/a	S201	FB: Win	n/a	n/a
93.608	n/a	n/a	S  1	Fixation	n/a	n/a
94.33	n/a	n/a	S106	CUE: 321	n/a	n/a
94.834	n/a	n/a	S  3	Left Button	n/a	n/a
95.054	n/a	n/a	S201	FB: Win	n/a	n/a
96.112	n/a	n/a	S  1	Fixation	n/a	n/a
96.892	n/a	n/a	S102	CUE: 132	n/a	n/a
97.482	n/a	n/a	S  2	Right Button	n/a	n/a
97.724	n/a	n/a	S201	FB: Win	n/a	n/a
98.78	n/a	n/a	S  1	Fixation	n/a	n/a
99.56	n/a	n/a	S105	CUE: 312	n/a	n/a
100.196	n/a	n/a	S  2	Right Button	n/a	n/a
100.388	n/a	n/a	S201	FB: Win	n/a	n/a
101.444	n/a	n/a	S  1	Fixation	n/a	n/a
102.226	n/a	n/a	S103	CUE: 213	n/a	n/a
102.71	n/a	n/a	S  4	Up Button	n/a	n/a
