onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.892	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
20.595	0.546	n/a	boundary	n/a	n/a	n/a
99.883	0.546	n/a	boundary	n/a	n/a	n/a
100.385	0.546	n/a	boundary	n/a	n/a	n/a
100.687	1.344	n/a	boundary	n/a	n/a	n/a
115.86	n/a	n/a	S  1	Fixation	n/a	n/a
116.582	n/a	n/a	S106	CUE: 321	n/a	n/a
118.158	n/a	n/a	S 99	No Response	n/a	n/a
118.444	n/a	n/a	S199	FB: No Resp	n/a	n/a
118.839	0.796	n/a	boundary	n/a	n/a	n/a
119.528	n/a	n/a	S104	CUE: 231	n/a	n/a
120.248	n/a	n/a	S  2	Right Button	n/a	n/a
120.442	n/a	n/a	S201	FB: Win	n/a	n/a
121.498	n/a	n/a	S  1	Fixation	n/a	n/a
122.27	n/a	n/a	S101	CUE: 123	n/a	n/a
123.75	n/a	n/a	S  3	Left Button	n/a	n/a
124.054	n/a	n/a	S200	FB: Loss	n/a	n/a
125.112	n/a	n/a	S  1	Fixation	n/a	n/a
125.774	n/a	n/a	S106	CUE: 321	n/a	n/a
126.694	n/a	n/a	S  4	Up Button	n/a	n/a
126.938	n/a	n/a	S201	FB: Win	n/a	n/a
127.996	n/a	n/a	S  1	Fixation	n/a	n/a
128.69	n/a	n/a	S103	CUE: 213	n/a	n/a
130.134	n/a	n/a	S  2	Right Button	n/a	n/a
130.398	n/a	n/a	S201	FB: Win	n/a	n/a
131.456	n/a	n/a	S  1	Fixation	n/a	n/a
132.136	n/a	n/a	S106	CUE: 321	n/a	n/a
133.69	n/a	n/a	S 99	No Response	n/a	n/a
133.872	n/a	n/a	S199	FB: No Resp	n/a	n/a
134.928	n/a	n/a	S  1	Fixation	n/a	n/a
135.708	n/a	n/a	S106	CUE: 321	n/a	n/a
136.27	n/a	n/a	S  2	Right Button	n/a	n/a
136.546	n/a	n/a	S200	FB: Loss	n/a	n/a
137.602	n/a	n/a	S  1	Fixation	n/a	n/a
