onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.828	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
14.499	0.524	n/a	boundary	n/a	n/a	n/a
20.045	0.498	n/a	boundary	n/a	n/a	n/a
24.813	0.776	n/a	boundary	n/a	n/a	n/a
25.619	0.774	n/a	boundary	n/a	n/a	n/a
27.727	0.776	n/a	boundary	n/a	n/a	n/a
30.111	2.106	n/a	boundary	n/a	n/a	n/a
30.639	0.526	n/a	boundary	n/a	n/a	n/a
36.185	0.774	n/a	boundary	n/a	n/a	n/a
47.775	1.302	n/a	boundary	n/a	n/a	n/a
52.017	0.774	n/a	boundary	n/a	n/a	n/a
56.509	0.776	n/a	boundary	n/a	n/a	n/a
57.037	0.774	n/a	boundary	n/a	n/a	n/a
59.951	0.524	n/a	boundary	n/a	n/a	n/a
62.904	n/a	n/a	S  1	Fixation	n/a	n/a
63.596	n/a	n/a	S105	CUE: 312	n/a	n/a
65.172	n/a	n/a	S 99	No Response	n/a	n/a
65.348	n/a	n/a	S199	FB: No Resp	n/a	n/a
66.023	0.776	n/a	boundary	n/a	n/a	n/a
66.292	n/a	n/a	S103	CUE: 213	n/a	n/a
67.108	n/a	n/a	S  4	Up Button	n/a	n/a
67.432	n/a	n/a	S201	FB: Win	n/a	n/a
68.49	n/a	n/a	S  1	Fixation	n/a	n/a
69.242	n/a	n/a	S104	CUE: 231	n/a	n/a
69.88	n/a	n/a	S  3	Left Button	n/a	n/a
70.192	n/a	n/a	S200	FB: Loss	n/a	n/a
71.248	n/a	n/a	S  1	Fixation	n/a	n/a
71.291	0.526	n/a	boundary	n/a	n/a	n/a
71.454	n/a	n/a	S102	CUE: 132	n/a	n/a
72.286	n/a	n/a	S  2	Right Button	n/a	n/a
72.608	n/a	n/a	S201	FB: Win	n/a	n/a
73.666	n/a	n/a	S  1	Fixation	n/a	n/a
73.675	0.776	n/a	boundary	n/a	n/a	n/a
74.346	n/a	n/a	S  2	Right Button	n/a	n/a
74.638	n/a	n/a	S200	FB: Loss	n/a	n/a
75.533	0.498	n/a	boundary	n/a	n/a	n/a
75.848	n/a	n/a	S101	CUE: 123	n/a	n/a
76.956	n/a	n/a	S  2	Right Button	n/a	n/a
77.29	n/a	n/a	S201	FB: Win	n/a	n/a
78.346	n/a	n/a	S  1	Fixation	n/a	n/a
79.058	n/a	n/a	S105	CUE: 312	n/a	n/a
79.896	n/a	n/a	S  3	Left Button	n/a	n/a
80.138	n/a	n/a	S201	FB: Win	n/a	n/a
81.079	0.774	n/a	boundary	n/a	n/a	n/a
81.08	n/a	n/a	S102	CUE: 132	n/a	n/a
82.236	n/a	n/a	S  4	Up Button	n/a	n/a
82.47	n/a	n/a	S201	FB: Win	n/a	n/a
83.465	0.776	n/a	boundary	n/a	n/a	n/a
84.982	n/a	n/a	S 99	No Response	n/a	n/a
85.216	n/a	n/a	S199	FB: No Resp	n/a	n/a
85.599	0.776	n/a	boundary	n/a	n/a	n/a
86.166	n/a	n/a	S104	CUE: 231	n/a	n/a
87.064	n/a	n/a	S  4	Up Button	n/a	n/a
87.416	n/a	n/a	S201	FB: Win	n/a	n/a
88.472	n/a	n/a	S  1	Fixation	n/a	n/a
89.144	n/a	n/a	S102	CUE: 132	n/a	n/a
89.964	n/a	n/a	S  4	Up Button	n/a	n/a
90.258	n/a	n/a	S200	FB: Loss	n/a	n/a
91.314	n/a	n/a	S  1	Fixation	n/a	n/a
92.166	n/a	n/a	S106	CUE: 321	n/a	n/a
92.766	n/a	n/a	S  4	Up Button	n/a	n/a
93.038	n/a	n/a	S201	FB: Win	n/a	n/a
94.027	0.776	n/a	boundary	n/a	n/a	n/a
94.762	n/a	n/a	S  4	Up Button	n/a	n/a
94.912	n/a	n/a	S200	FB: Loss	n/a	n/a
95.635	1.026	n/a	boundary	n/a	n/a	n/a
96.246	n/a	n/a	S  3	Left Button	n/a	n/a
96.478	n/a	n/a	S200	FB: Loss	n/a	n/a
97.493	0.774	n/a	boundary	n/a	n/a	n/a
97.562	n/a	n/a	S102	CUE: 132	n/a	n/a
98.052	n/a	n/a	S  4	Up Button	n/a	n/a
98.394	n/a	n/a	S201	FB: Win	n/a	n/a
99.353	0.524	n/a	boundary	n/a	n/a	n/a
99.638	n/a	n/a	S106	CUE: 321	n/a	n/a
100.804	n/a	n/a	S  2	Right Button	n/a	n/a
101.096	n/a	n/a	S200	FB: Loss	n/a	n/a
101.989	0.774	n/a	boundary	n/a	n/a	n/a
102.15	n/a	n/a	S103	CUE: 213	n/a	n/a
102.94	n/a	n/a	S  2	Right Button	n/a	n/a
103.232	n/a	n/a	S200	FB: Loss	n/a	n/a
104.099	0.8	n/a	boundary	n/a	n/a	n/a
104.278	n/a	n/a	S105	CUE: 312	n/a	n/a
104.854	n/a	n/a	S  3	Left Button	n/a	n/a
105.056	n/a	n/a	S200	FB: Loss	n/a	n/a
105.959	0.774	n/a	boundary	n/a	n/a	n/a
106.02	n/a	n/a	S103	CUE: 213	n/a	n/a
106.536	n/a	n/a	S  4	Up Button	n/a	n/a
106.708	n/a	n/a	S200	FB: Loss	n/a	n/a
107.541	0.526	n/a	boundary	n/a	n/a	n/a
108.06	n/a	n/a	S104	CUE: 231	n/a	n/a
108.798	n/a	n/a	S  4	Up Button	n/a	n/a
109.03	n/a	n/a	S200	FB: Loss	n/a	n/a
110.086	n/a	n/a	S  1	Fixation	n/a	n/a
110.938	n/a	n/a	S104	CUE: 231	n/a	n/a
111.874	n/a	n/a	S  4	Up Button	n/a	n/a
112.096	n/a	n/a	S200	FB: Loss	n/a	n/a
113.087	0.774	n/a	boundary	n/a	n/a	n/a
113.14	n/a	n/a	S104	CUE: 231	n/a	n/a
113.854	n/a	n/a	S  3	Left Button	n/a	n/a
114.056	n/a	n/a	S200	FB: Loss	n/a	n/a
115.112	n/a	n/a	S  1	Fixation	n/a	n/a
115.852	n/a	n/a	S102	CUE: 132	n/a	n/a
116.896	n/a	n/a	S  2	Right Button	n/a	n/a
117.168	n/a	n/a	S200	FB: Loss	n/a	n/a
118.107	0.498	n/a	boundary	n/a	n/a	n/a
118.548	n/a	n/a	S102	CUE: 132	n/a	n/a
119.03	n/a	n/a	S  4	Up Button	n/a	n/a
119.202	n/a	n/a	S201	FB: Win	n/a	n/a
