onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	2.74	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
3.541	0.298	n/a	boundary	n/a	n/a	n/a
30.967	0.546	n/a	boundary	n/a	n/a	n/a
31.519	0.546	n/a	boundary	n/a	n/a	n/a
33.465	0.796	n/a	boundary	n/a	n/a	n/a
33.765	0.498	n/a	boundary	n/a	n/a	n/a
38.205	2.74	n/a	boundary	n/a	n/a	n/a
38.707	0.296	n/a	boundary	n/a	n/a	n/a
39.557	2.142	n/a	boundary	n/a	n/a	n/a
40.109	0.546	n/a	boundary	n/a	n/a	n/a
43.701	1.344	n/a	boundary	n/a	n/a	n/a
46.745	0.796	n/a	boundary	n/a	n/a	n/a
48.441	1.046	n/a	boundary	n/a	n/a	n/a
48.741	0.798	n/a	boundary	n/a	n/a	n/a
48.791	1.046	n/a	boundary	n/a	n/a	n/a
48.841	1.346	n/a	boundary	n/a	n/a	n/a
55.675	0.296	n/a	boundary	n/a	n/a	n/a
56.225	0.548	n/a	boundary	n/a	n/a	n/a
56.525	0.498	n/a	boundary	n/a	n/a	n/a
57.123	0.548	n/a	boundary	n/a	n/a	n/a
58.482	n/a	n/a	S  1	Fixation	n/a	n/a
59.244	n/a	n/a	S105	CUE: 312	n/a	n/a
60.82	n/a	n/a	S 99	No Response	n/a	n/a
61.03	n/a	n/a	S199	FB: No Resp	n/a	n/a
62.088	n/a	n/a	S  1	Fixation	n/a	n/a
62.75	n/a	n/a	S105	CUE: 312	n/a	n/a
64.296	n/a	n/a	S  4	Up Button	n/a	n/a
64.452	n/a	n/a	S201	FB: Win	n/a	n/a
64.755	0.546	n/a	boundary	n/a	n/a	n/a
64.962	n/a	n/a	S  1	Fixation	n/a	n/a
65.634	n/a	n/a	S105	CUE: 312	n/a	n/a
66.153	0.546	n/a	boundary	n/a	n/a	n/a
66.396	n/a	n/a	S201	FB: Win	n/a	n/a
67.452	n/a	n/a	S  1	Fixation	n/a	n/a
68.274	n/a	n/a	S104	CUE: 231	n/a	n/a
69.826	n/a	n/a	S 99	No Response	n/a	n/a
69.995	0.546	n/a	boundary	n/a	n/a	n/a
70.632	n/a	n/a	S  1	Fixation	n/a	n/a
71.336	n/a	n/a	S104	CUE: 231	n/a	n/a
72.086	n/a	n/a	S  3	Left Button	n/a	n/a
72.258	n/a	n/a	S201	FB: Win	n/a	n/a
73.316	n/a	n/a	S  1	Fixation	n/a	n/a
74.048	n/a	n/a	S102	CUE: 132	n/a	n/a
74.087	0.296	n/a	boundary	n/a	n/a	n/a
75.187	0.796	n/a	boundary	n/a	n/a	n/a
75.776	n/a	n/a	S  1	Fixation	n/a	n/a
76.618	n/a	n/a	S101	CUE: 123	n/a	n/a
77.774	n/a	n/a	S  2	Right Button	n/a	n/a
78.056	n/a	n/a	S201	FB: Win	n/a	n/a
79.112	n/a	n/a	S  1	Fixation	n/a	n/a
79.814	n/a	n/a	S106	CUE: 321	n/a	n/a
81.366	n/a	n/a	S 99	No Response	n/a	n/a
81.718	n/a	n/a	S199	FB: No Resp	n/a	n/a
81.771	0.296	n/a	boundary	n/a	n/a	n/a
82.478	n/a	n/a	S  1	Fixation	n/a	n/a
83.318	n/a	n/a	S101	CUE: 123	n/a	n/a
84.546	n/a	n/a	S  3	Left Button	n/a	n/a
84.75	n/a	n/a	S201	FB: Win	n/a	n/a
85.806	n/a	n/a	S  1	Fixation	n/a	n/a
86.658	n/a	n/a	S102	CUE: 132	n/a	n/a
87.379	1.68	n/a	boundary	n/a	n/a	n/a
87.452	n/a	n/a	S  1	Fixation	n/a	n/a
88.264	n/a	n/a	S105	CUE: 312	n/a	n/a
89.726	n/a	n/a	S  2	Right Button	n/a	n/a
89.948	n/a	n/a	S200	FB: Loss	n/a	n/a
91.004	n/a	n/a	S  1	Fixation	n/a	n/a
91.846	n/a	n/a	S102	CUE: 132	n/a	n/a
92.79	n/a	n/a	S  3	Left Button	n/a	n/a
93.142	n/a	n/a	S201	FB: Win	n/a	n/a
94.196	n/a	n/a	S  1	Fixation	n/a	n/a
94.938	n/a	n/a	S101	CUE: 123	n/a	n/a
95.834	n/a	n/a	S  3	Left Button	n/a	n/a
96.146	n/a	n/a	S201	FB: Win	n/a	n/a
97.097	0.546	n/a	boundary	n/a	n/a	n/a
97.456	n/a	n/a	S105	CUE: 312	n/a	n/a
98.596	n/a	n/a	S  4	Up Button	n/a	n/a
98.876	n/a	n/a	S201	FB: Win	n/a	n/a
99.932	n/a	n/a	S  1	Fixation	n/a	n/a
100.754	n/a	n/a	S104	CUE: 231	n/a	n/a
102.016	n/a	n/a	S  2	Right Button	n/a	n/a
102.226	n/a	n/a	S201	FB: Win	n/a	n/a
103.282	n/a	n/a	S  1	Fixation	n/a	n/a
104.084	n/a	n/a	S101	CUE: 123	n/a	n/a
105.056	n/a	n/a	S  3	Left Button	n/a	n/a
105.228	n/a	n/a	S201	FB: Win	n/a	n/a
106.282	n/a	n/a	S  1	Fixation	n/a	n/a
107.044	n/a	n/a	S106	CUE: 321	n/a	n/a
107.836	n/a	n/a	S  4	Up Button	n/a	n/a
108.096	n/a	n/a	S201	FB: Win	n/a	n/a
109.152	n/a	n/a	S  1	Fixation	n/a	n/a
109.984	n/a	n/a	S105	CUE: 312	n/a	n/a
110.804	n/a	n/a	S  4	Up Button	n/a	n/a
111.076	n/a	n/a	S201	FB: Win	n/a	n/a
112.13	n/a	n/a	S  1	Fixation	n/a	n/a
112.782	n/a	n/a	S105	CUE: 312	n/a	n/a
113.464	n/a	n/a	S  4	Up Button	n/a	n/a
113.724	n/a	n/a	S201	FB: Win	n/a	n/a
114.78	n/a	n/a	S  1	Fixation	n/a	n/a
115.482	n/a	n/a	S106	CUE: 321	n/a	n/a
116.098	n/a	n/a	S  4	Up Button	n/a	n/a
116.38	n/a	n/a	S201	FB: Win	n/a	n/a
117.436	n/a	n/a	S  1	Fixation	n/a	n/a
118.158	n/a	n/a	S104	CUE: 231	n/a	n/a
119.222	n/a	n/a	S  2	Right Button	n/a	n/a
119.416	n/a	n/a	S200	FB: Loss	n/a	n/a
