onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.576	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
1.581	1.302	n/a	boundary	n/a	n/a	n/a
5.545	0.524	n/a	boundary	n/a	n/a	n/a
6.601	0.774	n/a	boundary	n/a	n/a	n/a
8.461	0.774	n/a	boundary	n/a	n/a	n/a
10.043	0.524	n/a	boundary	n/a	n/a	n/a
13.231	0.774	n/a	boundary	n/a	n/a	n/a
14.563	0.776	n/a	boundary	n/a	n/a	n/a
16.421	0.774	n/a	boundary	n/a	n/a	n/a
19.055	0.526	n/a	boundary	n/a	n/a	n/a
22.217	0.524	n/a	boundary	n/a	n/a	n/a
28.815	1.024	n/a	boundary	n/a	n/a	n/a
34.885	1.052	n/a	boundary	n/a	n/a	n/a
44.643	0.498	n/a	boundary	n/a	n/a	n/a
46.251	0.498	n/a	boundary	n/a	n/a	n/a
49.163	0.774	n/a	boundary	n/a	n/a	n/a
50.245	1.024	n/a	boundary	n/a	n/a	n/a
51.853	1.052	n/a	boundary	n/a	n/a	n/a
52.631	0.774	n/a	boundary	n/a	n/a	n/a
60.809	0.774	n/a	boundary	n/a	n/a	n/a
60.839	1.024	n/a	boundary	n/a	n/a	n/a
64.027	1.024	n/a	boundary	n/a	n/a	n/a
67.432	n/a	n/a	S  1	Fixation	n/a	n/a
67.993	0.774	n/a	boundary	n/a	n/a	n/a
69.058	n/a	n/a	S 99	No Response	n/a	n/a
69.318	n/a	n/a	S199	FB: No Resp	n/a	n/a
69.601	0.774	n/a	boundary	n/a	n/a	n/a
69.606	n/a	n/a	S  1	Fixation	n/a	n/a
70.338	n/a	n/a	S104	CUE: 231	n/a	n/a
71.184	n/a	n/a	S  4	Up Button	n/a	n/a
71.54	n/a	n/a	S200	FB: Loss	n/a	n/a
72.598	n/a	n/a	S  1	Fixation	n/a	n/a
73.38	n/a	n/a	S103	CUE: 213	n/a	n/a
74.188	n/a	n/a	S  4	Up Button	n/a	n/a
74.47	n/a	n/a	S200	FB: Loss	n/a	n/a
75.528	n/a	n/a	S  1	Fixation	n/a	n/a
76.35	n/a	n/a	S102	CUE: 132	n/a	n/a
77.748	n/a	n/a	S  3	Left Button	n/a	n/a
77.902	n/a	n/a	S201	FB: Win	n/a	n/a
78.962	n/a	n/a	S  1	Fixation	n/a	n/a
79.083	0.524	n/a	boundary	n/a	n/a	n/a
79.292	n/a	n/a	S101	CUE: 123	n/a	n/a
79.988	n/a	n/a	S  3	Left Button	n/a	n/a
80.25	n/a	n/a	S201	FB: Win	n/a	n/a
80.415	0.498	n/a	boundary	n/a	n/a	n/a
80.81	n/a	n/a	S  1	Fixation	n/a	n/a
81.542	n/a	n/a	S103	CUE: 213	n/a	n/a
82.302	n/a	n/a	S  2	Right Button	n/a	n/a
82.536	n/a	n/a	S200	FB: Loss	n/a	n/a
83.594	n/a	n/a	S  1	Fixation	n/a	n/a
83.603	0.524	n/a	boundary	n/a	n/a	n/a
83.892	n/a	n/a	S106	CUE: 321	n/a	n/a
84.41	n/a	n/a	S  4	Up Button	n/a	n/a
84.572	n/a	n/a	S200	FB: Loss	n/a	n/a
85.628	n/a	n/a	S  1	Fixation	n/a	n/a
86.43	n/a	n/a	S102	CUE: 132	n/a	n/a
86.966	n/a	n/a	S  3	Left Button	n/a	n/a
87.228	n/a	n/a	S200	FB: Loss	n/a	n/a
88.284	n/a	n/a	S  1	Fixation	n/a	n/a
88.976	n/a	n/a	S106	CUE: 321	n/a	n/a
89.302	n/a	n/a	S  2	Right Button	n/a	n/a
89.514	n/a	n/a	S200	FB: Loss	n/a	n/a
90.57	n/a	n/a	S  1	Fixation	n/a	n/a
91.37	n/a	n/a	S102	CUE: 132	n/a	n/a
91.858	n/a	n/a	S  4	Up Button	n/a	n/a
92.14	n/a	n/a	S200	FB: Loss	n/a	n/a
