onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.3	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.555	0.774	n/a	boundary	n/a	n/a	n/a
2.415	0.774	n/a	boundary	n/a	n/a	n/a
2.943	0.776	n/a	boundary	n/a	n/a	n/a
6.131	0.774	n/a	boundary	n/a	n/a	n/a
6.661	6.318	n/a	boundary	n/a	n/a	n/a
9.573	0.774	n/a	boundary	n/a	n/a	n/a
11.431	1.578	n/a	boundary	n/a	n/a	n/a
12.487	10.254	n/a	boundary	n/a	n/a	n/a
14.319	6.068	n/a	boundary	n/a	n/a	n/a
19.061	1.052	n/a	boundary	n/a	n/a	n/a
19.339	4.186	n/a	boundary	n/a	n/a	n/a
22.777	0.774	n/a	boundary	n/a	n/a	n/a
28.599	0.776	n/a	boundary	n/a	n/a	n/a
29.653	0.776	n/a	boundary	n/a	n/a	n/a
33.895	0.774	n/a	boundary	n/a	n/a	n/a
37.583	1.052	n/a	boundary	n/a	n/a	n/a
38.915	1.302	n/a	boundary	n/a	n/a	n/a
39.443	1.052	n/a	boundary	n/a	n/a	n/a
42.355	5.764	n/a	boundary	n/a	n/a	n/a
43.224	n/a	n/a	S  4	Up Button	n/a	n/a
43.458	n/a	n/a	S200	FB: Loss	n/a	n/a
44.516	n/a	n/a	S  1	Fixation	n/a	n/a
45.188	n/a	n/a	S106	CUE: 321	n/a	n/a
46.102	n/a	n/a	S  4	Up Button	n/a	n/a
46.436	n/a	n/a	S200	FB: Loss	n/a	n/a
46.597	0.774	n/a	boundary	n/a	n/a	n/a
46.718	n/a	n/a	S  1	Fixation	n/a	n/a
47.54	n/a	n/a	S102	CUE: 132	n/a	n/a
47.903	0.274	n/a	boundary	n/a	n/a	n/a
47.99	n/a	n/a	S  2	Right Button	n/a	n/a
48.284	n/a	n/a	S201	FB: Win	n/a	n/a
49.34	n/a	n/a	S  1	Fixation	n/a	n/a
50.012	n/a	n/a	S102	CUE: 132	n/a	n/a
50.539	0.774	n/a	boundary	n/a	n/a	n/a
51.568	n/a	n/a	S  1	Fixation	n/a	n/a
52.282	n/a	n/a	S102	CUE: 132	n/a	n/a
52.612	n/a	n/a	S  3	Left Button	n/a	n/a
52.838	n/a	n/a	S200	FB: Loss	n/a	n/a
53.729	1.3	n/a	boundary	n/a	n/a	n/a
53.894	n/a	n/a	S200	FB: Loss	n/a	n/a
54.785	0.774	n/a	boundary	n/a	n/a	n/a
55.008	n/a	n/a	S101	CUE: 123	n/a	n/a
55.866	n/a	n/a	S  4	Up Button	n/a	n/a
56.12	n/a	n/a	S201	FB: Win	n/a	n/a
57.171	0.774	n/a	boundary	n/a	n/a	n/a
57.202	n/a	n/a	S103	CUE: 213	n/a	n/a
58.174	n/a	n/a	S  4	Up Button	n/a	n/a
58.416	n/a	n/a	S201	FB: Win	n/a	n/a
59.307	0.774	n/a	boundary	n/a	n/a	n/a
59.488	n/a	n/a	S105	CUE: 312	n/a	n/a
60.554	n/a	n/a	S  2	Right Button	n/a	n/a
60.886	n/a	n/a	S200	FB: Loss	n/a	n/a
61.942	n/a	n/a	S  1	Fixation	n/a	n/a
61.943	0.774	n/a	boundary	n/a	n/a	n/a
62.708	n/a	n/a	S  3	Left Button	n/a	n/a
62.99	n/a	n/a	S201	FB: Win	n/a	n/a
64.046	n/a	n/a	S  1	Fixation	n/a	n/a
64.079	0.774	n/a	boundary	n/a	n/a	n/a
65.398	n/a	n/a	S  2	Right Button	n/a	n/a
65.69	n/a	n/a	S201	FB: Win	n/a	n/a
66.748	n/a	n/a	S  1	Fixation	n/a	n/a
67.578	n/a	n/a	S105	CUE: 312	n/a	n/a
69.052	n/a	n/a	S  2	Right Button	n/a	n/a
69.324	n/a	n/a	S200	FB: Loss	n/a	n/a
69.625	0.774	n/a	boundary	n/a	n/a	n/a
70.436	n/a	n/a	S106	CUE: 321	n/a	n/a
71.38	n/a	n/a	S  4	Up Button	n/a	n/a
71.702	n/a	n/a	S201	FB: Win	n/a	n/a
71.735	0.774	n/a	boundary	n/a	n/a	n/a
71.984	n/a	n/a	S  1	Fixation	n/a	n/a
72.013	0.776	n/a	boundary	n/a	n/a	n/a
72.522	n/a	n/a	S  3	Left Button	n/a	n/a
72.834	n/a	n/a	S201	FB: Win	n/a	n/a
73.871	0.774	n/a	boundary	n/a	n/a	n/a
73.956	n/a	n/a	S106	CUE: 321	n/a	n/a
75.228	n/a	n/a	S  4	Up Button	n/a	n/a
75.54	n/a	n/a	S201	FB: Win	n/a	n/a
75.731	0.774	n/a	boundary	n/a	n/a	n/a
75.822	n/a	n/a	S  1	Fixation	n/a	n/a
76.009	0.776	n/a	boundary	n/a	n/a	n/a
76.65	n/a	n/a	S  4	Up Button	n/a	n/a
76.982	n/a	n/a	S200	FB: Loss	n/a	n/a
77.867	0.774	n/a	boundary	n/a	n/a	n/a
78.054	n/a	n/a	S103	CUE: 213	n/a	n/a
79.06	n/a	n/a	S  2	Right Button	n/a	n/a
79.232	n/a	n/a	S201	FB: Win	n/a	n/a
80.288	n/a	n/a	S  1	Fixation	n/a	n/a
80.503	0.524	n/a	boundary	n/a	n/a	n/a
80.544	n/a	n/a	S101	CUE: 123	n/a	n/a
81.344	n/a	n/a	S  3	Left Button	n/a	n/a
81.596	n/a	n/a	S200	FB: Loss	n/a	n/a
82.639	0.774	n/a	boundary	n/a	n/a	n/a
82.708	n/a	n/a	S102	CUE: 132	n/a	n/a
84.154	n/a	n/a	S  3	Left Button	n/a	n/a
84.446	n/a	n/a	S201	FB: Win	n/a	n/a
84.749	0.774	n/a	boundary	n/a	n/a	n/a
85.43	n/a	n/a	S106	CUE: 321	n/a	n/a
86.392	n/a	n/a	S  4	Up Button	n/a	n/a
86.704	n/a	n/a	S201	FB: Win	n/a	n/a
86.885	0.774	n/a	boundary	n/a	n/a	n/a
86.984	n/a	n/a	S  1	Fixation	n/a	n/a
87.163	0.776	n/a	boundary	n/a	n/a	n/a
87.822	n/a	n/a	S  2	Right Button	n/a	n/a
88.074	n/a	n/a	S201	FB: Win	n/a	n/a
89.021	0.774	n/a	boundary	n/a	n/a	n/a
89.176	n/a	n/a	S106	CUE: 321	n/a	n/a
90.3	n/a	n/a	S  4	Up Button	n/a	n/a
90.582	n/a	n/a	S200	FB: Loss	n/a	n/a
90.881	0.498	n/a	boundary	n/a	n/a	n/a
91.14	n/a	n/a	S  1	Fixation	n/a	n/a
91.88	n/a	n/a	S101	CUE: 123	n/a	n/a
92.958	n/a	n/a	S  3	Left Button	n/a	n/a
93.12	n/a	n/a	S201	FB: Win	n/a	n/a
94.069	0.774	n/a	boundary	n/a	n/a	n/a
94.204	n/a	n/a	S105	CUE: 312	n/a	n/a
95.401	0.498	n/a	boundary	n/a	n/a	n/a
95.44	n/a	n/a	S201	FB: Win	n/a	n/a
96.483	0.776	n/a	boundary	n/a	n/a	n/a
97.558	n/a	n/a	S  3	Left Button	n/a	n/a
97.87	n/a	n/a	S201	FB: Win	n/a	n/a
98.065	0.774	n/a	boundary	n/a	n/a	n/a
98.152	n/a	n/a	S  1	Fixation	n/a	n/a
98.882	n/a	n/a	S104	CUE: 231	n/a	n/a
99.884	n/a	n/a	S  2	Right Button	n/a	n/a
100.196	n/a	n/a	S201	FB: Win	n/a	n/a
100.201	0.774	n/a	boundary	n/a	n/a	n/a
100.478	n/a	n/a	S  1	Fixation	n/a	n/a
100.479	0.776	n/a	boundary	n/a	n/a	n/a
101.794	n/a	n/a	S  3	Left Button	n/a	n/a
101.956	n/a	n/a	S201	FB: Win	n/a	n/a
102.863	0.776	n/a	boundary	n/a	n/a	n/a
103.036	n/a	n/a	S105	CUE: 312	n/a	n/a
104.354	n/a	n/a	S  4	Up Button	n/a	n/a
104.676	n/a	n/a	S201	FB: Win	n/a	n/a
104.721	0.774	n/a	boundary	n/a	n/a	n/a
104.956	n/a	n/a	S  1	Fixation	n/a	n/a
105.001	0.774	n/a	boundary	n/a	n/a	n/a
105.59	n/a	n/a	S  2	Right Button	n/a	n/a
105.862	n/a	n/a	S200	FB: Loss	n/a	n/a
106.859	0.776	n/a	boundary	n/a	n/a	n/a
106.972	n/a	n/a	S103	CUE: 213	n/a	n/a
108.142	n/a	n/a	S  2	Right Button	n/a	n/a
108.384	n/a	n/a	S201	FB: Win	n/a	n/a
109.44	n/a	n/a	S  1	Fixation	n/a	n/a
109.493	0.776	n/a	boundary	n/a	n/a	n/a
110.938	n/a	n/a	S  2	Right Button	n/a	n/a
111.12	n/a	n/a	S201	FB: Win	n/a	n/a
111.351	0.774	n/a	boundary	n/a	n/a	n/a
111.381	0.774	n/a	boundary	n/a	n/a	n/a
112.642	n/a	n/a	S  3	Left Button	n/a	n/a
112.852	n/a	n/a	S201	FB: Win	n/a	n/a
113.767	0.774	n/a	boundary	n/a	n/a	n/a
113.946	n/a	n/a	S102	CUE: 132	n/a	n/a
115.498	n/a	n/a	S 99	No Response	n/a	n/a
115.766	n/a	n/a	S199	FB: No Resp	n/a	n/a
116.679	0.774	n/a	boundary	n/a	n/a	n/a
116.82	n/a	n/a	S103	CUE: 213	n/a	n/a
117.87	n/a	n/a	S  2	Right Button	n/a	n/a
118.072	n/a	n/a	S201	FB: Win	n/a	n/a
119.065	0.774	n/a	boundary	n/a	n/a	n/a
119.184	n/a	n/a	S105	CUE: 312	n/a	n/a
120.236	n/a	n/a	S  4	Up Button	n/a	n/a
120.588	n/a	n/a	S201	FB: Win	n/a	n/a
120.647	0.776	n/a	boundary	n/a	n/a	n/a
120.866	n/a	n/a	S  1	Fixation	n/a	n/a
121.598	n/a	n/a	S105	CUE: 312	n/a	n/a
122.22	n/a	n/a	S  4	Up Button	n/a	n/a
122.505	1.052	n/a	boundary	n/a	n/a	n/a
122.574	n/a	n/a	S  1	Fixation	n/a	n/a
123.406	n/a	n/a	S105	CUE: 312	n/a	n/a
123.872	n/a	n/a	S  4	Up Button	n/a	n/a
124.172	n/a	n/a	S201	FB: Win	n/a	n/a
124.363	0.498	n/a	boundary	n/a	n/a	n/a
124.73	n/a	n/a	S  1	Fixation	n/a	n/a
125.482	n/a	n/a	S103	CUE: 213	n/a	n/a
126.282	n/a	n/a	S  2	Right Button	n/a	n/a
126.562	n/a	n/a	S201	FB: Win	n/a	n/a
127.551	0.776	n/a	boundary	n/a	n/a	n/a
127.624	n/a	n/a	S102	CUE: 132	n/a	n/a
128.605	0.776	n/a	boundary	n/a	n/a	n/a
128.672	n/a	n/a	S201	FB: Win	n/a	n/a
129.687	0.774	n/a	boundary	n/a	n/a	n/a
129.716	n/a	n/a	S105	CUE: 312	n/a	n/a
130.388	n/a	n/a	S  4	Up Button	n/a	n/a
130.68	n/a	n/a	S200	FB: Loss	n/a	n/a
131.019	0.498	n/a	boundary	n/a	n/a	n/a
131.238	n/a	n/a	S  1	Fixation	n/a	n/a
131.297	0.776	n/a	boundary	n/a	n/a	n/a
132.478	n/a	n/a	S  4	Up Button	n/a	n/a
132.68	n/a	n/a	S201	FB: Win	n/a	n/a
133.681	0.776	n/a	boundary	n/a	n/a	n/a
133.69	n/a	n/a	S103	CUE: 213	n/a	n/a
134.41	n/a	n/a	S  2	Right Button	n/a	n/a
134.73	n/a	n/a	S201	FB: Win	n/a	n/a
135.539	0.774	n/a	boundary	n/a	n/a	n/a
135.744	n/a	n/a	S104	CUE: 231	n/a	n/a
136.244	n/a	n/a	S  2	Right Button	n/a	n/a
136.414	n/a	n/a	S201	FB: Win	n/a	n/a
137.149	1.024	n/a	boundary	n/a	n/a	n/a
137.238	n/a	n/a	S103	CUE: 213	n/a	n/a
