onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.892	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
7.729	0.796	n/a	boundary	n/a	n/a	n/a
11.273	1.644	n/a	boundary	n/a	n/a	n/a
11.323	1.046	n/a	boundary	n/a	n/a	n/a
11.923	0.796	n/a	boundary	n/a	n/a	n/a
16.611	0.796	n/a	boundary	n/a	n/a	n/a
16.863	0.298	n/a	boundary	n/a	n/a	n/a
18.259	0.498	n/a	boundary	n/a	n/a	n/a
23.247	0.498	n/a	boundary	n/a	n/a	n/a
27.637	0.546	n/a	boundary	n/a	n/a	n/a
32.027	0.298	n/a	boundary	n/a	n/a	n/a
42.449	1.346	n/a	boundary	n/a	n/a	n/a
44.145	1.046	n/a	boundary	n/a	n/a	n/a
44.195	0.798	n/a	boundary	n/a	n/a	n/a
44.745	0.296	n/a	boundary	n/a	n/a	n/a
44.997	0.296	n/a	boundary	n/a	n/a	n/a
53.727	0.548	n/a	boundary	n/a	n/a	n/a
56.769	0.546	n/a	boundary	n/a	n/a	n/a
57.619	1.344	n/a	boundary	n/a	n/a	n/a
66.697	1.046	n/a	boundary	n/a	n/a	n/a
72.183	0.298	n/a	boundary	n/a	n/a	n/a
72.776	n/a	n/a	S  1	Fixation	n/a	n/a
73.608	n/a	n/a	S104	CUE: 231	n/a	n/a
74.079	0.298	n/a	boundary	n/a	n/a	n/a
74.629	0.796	n/a	boundary	n/a	n/a	n/a
74.929	1.346	n/a	boundary	n/a	n/a	n/a
74.979	0.498	n/a	boundary	n/a	n/a	n/a
75.17	n/a	n/a	S  4	Up Button	n/a	n/a
75.356	n/a	n/a	S200	FB: Loss	n/a	n/a
76.412	n/a	n/a	S  1	Fixation	n/a	n/a
77.264	n/a	n/a	S106	CUE: 321	n/a	n/a
78.422	n/a	n/a	S  3	Left Button	n/a	n/a
78.726	n/a	n/a	S201	FB: Win	n/a	n/a
79.782	n/a	n/a	S  1	Fixation	n/a	n/a
80.574	n/a	n/a	S105	CUE: 312	n/a	n/a
