onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.576	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
1.055	6.318	n/a	boundary	n/a	n/a	n/a
1.583	0.774	n/a	boundary	n/a	n/a	n/a
5.023	0.524	n/a	boundary	n/a	n/a	n/a
8.989	0.774	n/a	boundary	n/a	n/a	n/a
12.677	0.524	n/a	boundary	n/a	n/a	n/a
15.313	0.774	n/a	boundary	n/a	n/a	n/a
24.295	1.552	n/a	boundary	n/a	n/a	n/a
28.535	0.776	n/a	boundary	n/a	n/a	n/a
31.169	0.776	n/a	boundary	n/a	n/a	n/a
33.831	1.55	n/a	boundary	n/a	n/a	n/a
35.939	0.802	n/a	boundary	n/a	n/a	n/a
40.681	0.774	n/a	boundary	n/a	n/a	n/a
42.013	0.774	n/a	boundary	n/a	n/a	n/a
49.388	n/a	n/a	S  1	Fixation	n/a	n/a
50.084	n/a	n/a	S106	CUE: 321	n/a	n/a
51.676	n/a	n/a	S 99	No Response	n/a	n/a
51.948	n/a	n/a	S199	FB: No Resp	n/a	n/a
53.024	n/a	n/a	S  1	Fixation	n/a	n/a
53.684	n/a	n/a	S102	CUE: 132	n/a	n/a
54.976	n/a	n/a	S  4	Up Button	n/a	n/a
55.188	n/a	n/a	S200	FB: Loss	n/a	n/a
56.276	n/a	n/a	S  1	Fixation	n/a	n/a
57.038	n/a	n/a	S106	CUE: 321	n/a	n/a
58.452	n/a	n/a	S  2	Right Button	n/a	n/a
58.786	n/a	n/a	S200	FB: Loss	n/a	n/a
59.862	n/a	n/a	S  1	Fixation	n/a	n/a
60.654	n/a	n/a	S104	CUE: 231	n/a	n/a
61.98	n/a	n/a	S  3	Left Button	n/a	n/a
62.156	n/a	n/a	S201	FB: Win	n/a	n/a
62.831	0.524	n/a	boundary	n/a	n/a	n/a
63.478	n/a	n/a	S104	CUE: 231	n/a	n/a
63.994	n/a	n/a	S  3	Left Button	n/a	n/a
64.258	n/a	n/a	S200	FB: Loss	n/a	n/a
65.342	n/a	n/a	S  1	Fixation	n/a	n/a
65.467	0.774	n/a	boundary	n/a	n/a	n/a
66.348	n/a	n/a	S  4	Up Button	n/a	n/a
66.632	n/a	n/a	S201	FB: Win	n/a	n/a
67.704	n/a	n/a	S  1	Fixation	n/a	n/a
68.476	n/a	n/a	S104	CUE: 231	n/a	n/a
69.588	n/a	n/a	S  4	Up Button	n/a	n/a
69.772	n/a	n/a	S201	FB: Win	n/a	n/a
70.856	n/a	n/a	S  1	Fixation	n/a	n/a
71.628	n/a	n/a	S106	CUE: 321	n/a	n/a
72.996	n/a	n/a	S  4	Up Button	n/a	n/a
73.25	n/a	n/a	S200	FB: Loss	n/a	n/a
74.173	0.774	n/a	boundary	n/a	n/a	n/a
74.274	n/a	n/a	S103	CUE: 213	n/a	n/a
75.505	0.774	n/a	boundary	n/a	n/a	n/a
76.414	n/a	n/a	S  1	Fixation	n/a	n/a
77.146	n/a	n/a	S101	CUE: 123	n/a	n/a
78.66	n/a	n/a	S  2	Right Button	n/a	n/a
79.004	n/a	n/a	S201	FB: Win	n/a	n/a
80.084	n/a	n/a	S  1	Fixation	n/a	n/a
80.273	0.776	n/a	boundary	n/a	n/a	n/a
80.48	n/a	n/a	S  4	Up Button	n/a	n/a
80.634	n/a	n/a	S200	FB: Loss	n/a	n/a
81.71	n/a	n/a	S  1	Fixation	n/a	n/a
81.855	0.774	n/a	boundary	n/a	n/a	n/a
82.91	n/a	n/a	S  3	Left Button	n/a	n/a
83.074	n/a	n/a	S201	FB: Win	n/a	n/a
84.154	n/a	n/a	S  1	Fixation	n/a	n/a
84.916	n/a	n/a	S103	CUE: 213	n/a	n/a
85.558	n/a	n/a	S  3	Left Button	n/a	n/a
85.852	n/a	n/a	S201	FB: Win	n/a	n/a
