onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.892	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.849	15.36	n/a	boundary	n/a	n/a	n/a
1.101	0.846	n/a	boundary	n/a	n/a	n/a
1.401	6.534	n/a	boundary	n/a	n/a	n/a
1.451	2.444	n/a	boundary	n/a	n/a	n/a
10.529	1.096	n/a	boundary	n/a	n/a	n/a
10.781	0.796	n/a	boundary	n/a	n/a	n/a
11.631	4.088	n/a	boundary	n/a	n/a	n/a
12.231	2.144	n/a	boundary	n/a	n/a	n/a
25.399	1.096	n/a	boundary	n/a	n/a	n/a
25.949	2.194	n/a	boundary	n/a	n/a	n/a
29.239	1	n/a	boundary	n/a	n/a	n/a
46.44	n/a	n/a	S  1	Fixation	n/a	n/a
47.254	n/a	n/a	S106	CUE: 321	n/a	n/a
48.83	n/a	n/a	S 99	No Response	n/a	n/a
49.01	n/a	n/a	S199	FB: No Resp	n/a	n/a
50.066	n/a	n/a	S  1	Fixation	n/a	n/a
50.898	n/a	n/a	S104	CUE: 231	n/a	n/a
51.748	n/a	n/a	S  3	Left Button	n/a	n/a
52.072	n/a	n/a	S201	FB: Win	n/a	n/a
53.13	n/a	n/a	S  1	Fixation	n/a	n/a
53.862	n/a	n/a	S103	CUE: 213	n/a	n/a
54.628	n/a	n/a	S  4	Up Button	n/a	n/a
54.89	n/a	n/a	S200	FB: Loss	n/a	n/a
55.948	n/a	n/a	S  1	Fixation	n/a	n/a
56.738	n/a	n/a	S103	CUE: 213	n/a	n/a
57.264	n/a	n/a	S  3	Left Button	n/a	n/a
57.536	n/a	n/a	S201	FB: Win	n/a	n/a
58.594	n/a	n/a	S  1	Fixation	n/a	n/a
59.25	n/a	n/a	S106	CUE: 321	n/a	n/a
60.136	n/a	n/a	S  3	Left Button	n/a	n/a
60.448	n/a	n/a	S201	FB: Win	n/a	n/a
61.506	n/a	n/a	S  1	Fixation	n/a	n/a
62.328	n/a	n/a	S103	CUE: 213	n/a	n/a
63.06	n/a	n/a	S  4	Up Button	n/a	n/a
