onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	2.44	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.051	12.562	n/a	boundary	n/a	n/a	n/a
0.603	0.594	n/a	boundary	n/a	n/a	n/a
1.653	0.296	n/a	boundary	n/a	n/a	n/a
2.205	1.344	n/a	boundary	n/a	n/a	n/a
43.937	0.498	n/a	boundary	n/a	n/a	n/a
44.487	1.096	n/a	boundary	n/a	n/a	n/a
55.016	n/a	n/a	S  1	Fixation	n/a	n/a
55.692	n/a	n/a	S104	CUE: 231	n/a	n/a
57.272	n/a	n/a	S 99	No Response	n/a	n/a
57.574	n/a	n/a	S199	FB: No Resp	n/a	n/a
58.652	n/a	n/a	S  1	Fixation	n/a	n/a
59.492	n/a	n/a	S102	CUE: 132	n/a	n/a
60.602	n/a	n/a	S  2	Right Button	n/a	n/a
60.878	n/a	n/a	S200	FB: Loss	n/a	n/a
61.954	n/a	n/a	S  1	Fixation	n/a	n/a
62.806	n/a	n/a	S101	CUE: 123	n/a	n/a
63.498	n/a	n/a	S  3	Left Button	n/a	n/a
63.832	n/a	n/a	S200	FB: Loss	n/a	n/a
64.906	n/a	n/a	S  1	Fixation	n/a	n/a
65.718	n/a	n/a	S102	CUE: 132	n/a	n/a
66.582	n/a	n/a	S  4	Up Button	n/a	n/a
66.856	n/a	n/a	S200	FB: Loss	n/a	n/a
67.942	n/a	n/a	S  1	Fixation	n/a	n/a
68.634	n/a	n/a	S106	CUE: 321	n/a	n/a
69.922	n/a	n/a	S  3	Left Button	n/a	n/a
70.156	n/a	n/a	S200	FB: Loss	n/a	n/a
71.228	n/a	n/a	S  1	Fixation	n/a	n/a
71.98	n/a	n/a	S101	CUE: 123	n/a	n/a
72.698	n/a	n/a	S  2	Right Button	n/a	n/a
72.884	n/a	n/a	S201	FB: Win	n/a	n/a
73.964	n/a	n/a	S  1	Fixation	n/a	n/a
74.774	n/a	n/a	S106	CUE: 321	n/a	n/a
76.326	n/a	n/a	S  2	Right Button	n/a	n/a
76.49	n/a	n/a	S200	FB: Loss	n/a	n/a
77.566	n/a	n/a	S  1	Fixation	n/a	n/a
78.308	n/a	n/a	S104	CUE: 231	n/a	n/a
79.186	n/a	n/a	S  4	Up Button	n/a	n/a
79.4	n/a	n/a	S200	FB: Loss	n/a	n/a
80.484	n/a	n/a	S  1	Fixation	n/a	n/a
81.236	n/a	n/a	S101	CUE: 123	n/a	n/a
81.858	n/a	n/a	S  3	Left Button	n/a	n/a
82.112	n/a	n/a	S200	FB: Loss	n/a	n/a
83.188	n/a	n/a	S  1	Fixation	n/a	n/a
83.868	n/a	n/a	S101	CUE: 123	n/a	n/a
84.458	n/a	n/a	S  4	Up Button	n/a	n/a
84.702	n/a	n/a	S201	FB: Win	n/a	n/a
85.79	n/a	n/a	S  1	Fixation	n/a	n/a
86.54	n/a	n/a	S103	CUE: 213	n/a	n/a
87.646	n/a	n/a	S  4	Up Button	n/a	n/a
87.99	n/a	n/a	S201	FB: Win	n/a	n/a
89.074	n/a	n/a	S  1	Fixation	n/a	n/a
89.736	n/a	n/a	S103	CUE: 213	n/a	n/a
91.292	n/a	n/a	S 99	No Response	n/a	n/a
91.636	n/a	n/a	S199	FB: No Resp	n/a	n/a
92.71	n/a	n/a	S  1	Fixation	n/a	n/a
93.392	n/a	n/a	S105	CUE: 312	n/a	n/a
94.522	n/a	n/a	S  3	Left Button	n/a	n/a
94.676	n/a	n/a	S200	FB: Loss	n/a	n/a
95.746	n/a	n/a	S  1	Fixation	n/a	n/a
96.588	n/a	n/a	S104	CUE: 231	n/a	n/a
97.778	n/a	n/a	S  3	Left Button	n/a	n/a
98.062	n/a	n/a	S200	FB: Loss	n/a	n/a
99.132	n/a	n/a	S  1	Fixation	n/a	n/a
99.974	n/a	n/a	S104	CUE: 231	n/a	n/a
100.454	n/a	n/a	S  4	Up Button	n/a	n/a
100.608	n/a	n/a	S200	FB: Loss	n/a	n/a
101.684	n/a	n/a	S  1	Fixation	n/a	n/a
102.336	n/a	n/a	S104	CUE: 231	n/a	n/a
103.106	n/a	n/a	S  2	Right Button	n/a	n/a
103.388	n/a	n/a	S201	FB: Win	n/a	n/a
104.47	n/a	n/a	S  1	Fixation	n/a	n/a
105.182	n/a	n/a	S102	CUE: 132	n/a	n/a
106.278	n/a	n/a	S  3	Left Button	n/a	n/a
106.462	n/a	n/a	S200	FB: Loss	n/a	n/a
107.538	n/a	n/a	S  1	Fixation	n/a	n/a
108.38	n/a	n/a	S106	CUE: 321	n/a	n/a
109.802	n/a	n/a	S  4	Up Button	n/a	n/a
110.046	n/a	n/a	S200	FB: Loss	n/a	n/a
111.126	n/a	n/a	S  1	Fixation	n/a	n/a
111.966	n/a	n/a	S102	CUE: 132	n/a	n/a
113.226	n/a	n/a	S  4	Up Button	n/a	n/a
113.46	n/a	n/a	S201	FB: Win	n/a	n/a
114.544	n/a	n/a	S  1	Fixation	n/a	n/a
115.386	n/a	n/a	S104	CUE: 231	n/a	n/a
116.17	n/a	n/a	S  4	Up Button	n/a	n/a
116.422	n/a	n/a	S201	FB: Win	n/a	n/a
117.496	n/a	n/a	S  1	Fixation	n/a	n/a
118.188	n/a	n/a	S103	CUE: 213	n/a	n/a
119.062	n/a	n/a	S  3	Left Button	n/a	n/a
119.384	n/a	n/a	S200	FB: Loss	n/a	n/a
120.466	n/a	n/a	S  1	Fixation	n/a	n/a
121.236	n/a	n/a	S102	CUE: 132	n/a	n/a
122.286	n/a	n/a	S  3	Left Button	n/a	n/a
122.64	n/a	n/a	S201	FB: Win	n/a	n/a
123.718	n/a	n/a	S  1	Fixation	n/a	n/a
124.56	n/a	n/a	S104	CUE: 231	n/a	n/a
125.338	n/a	n/a	S  2	Right Button	n/a	n/a
125.51	n/a	n/a	S200	FB: Loss	n/a	n/a
126.586	n/a	n/a	S  1	Fixation	n/a	n/a
127.318	n/a	n/a	S105	CUE: 312	n/a	n/a
128.262	n/a	n/a	S  4	Up Button	n/a	n/a
128.574	n/a	n/a	S200	FB: Loss	n/a	n/a
129.656	n/a	n/a	S  1	Fixation	n/a	n/a
130.398	n/a	n/a	S102	CUE: 132	n/a	n/a
131.082	n/a	n/a	S  4	Up Button	n/a	n/a
131.326	n/a	n/a	S200	FB: Loss	n/a	n/a
132.408	n/a	n/a	S  1	Fixation	n/a	n/a
133.09	n/a	n/a	S104	CUE: 231	n/a	n/a
134.066	n/a	n/a	S  3	Left Button	n/a	n/a
134.388	n/a	n/a	S201	FB: Win	n/a	n/a
135.46	n/a	n/a	S  1	Fixation	n/a	n/a
136.252	n/a	n/a	S101	CUE: 123	n/a	n/a
137.402	n/a	n/a	S  4	Up Button	n/a	n/a
137.744	n/a	n/a	S201	FB: Win	n/a	n/a
138.83	n/a	n/a	S  1	Fixation	n/a	n/a
139.502	n/a	n/a	S102	CUE: 132	n/a	n/a
140.286	n/a	n/a	S  2	Right Button	n/a	n/a
140.498	n/a	n/a	S201	FB: Win	n/a	n/a
141.582	n/a	n/a	S  1	Fixation	n/a	n/a
142.304	n/a	n/a	S104	CUE: 231	n/a	n/a
143.23	n/a	n/a	S  3	Left Button	n/a	n/a
143.572	n/a	n/a	S201	FB: Win	n/a	n/a
144.65	n/a	n/a	S  1	Fixation	n/a	n/a
145.312	n/a	n/a	S101	CUE: 123	n/a	n/a
145.906	n/a	n/a	S  4	Up Button	n/a	n/a
146.058	n/a	n/a	S200	FB: Loss	n/a	n/a
147.136	n/a	n/a	S  1	Fixation	n/a	n/a
147.938	n/a	n/a	S106	CUE: 321	n/a	n/a
148.872	n/a	n/a	S  4	Up Button	n/a	n/a
149.086	n/a	n/a	S201	FB: Win	n/a	n/a
150.172	n/a	n/a	S  1	Fixation	n/a	n/a
150.942	n/a	n/a	S103	CUE: 213	n/a	n/a
151.74	n/a	n/a	S  2	Right Button	n/a	n/a
151.934	n/a	n/a	S201	FB: Win	n/a	n/a
153.008	n/a	n/a	S  1	Fixation	n/a	n/a
