onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	2.534	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.073	0.818	n/a	boundary	n/a	n/a	n/a
0.397	2.534	n/a	boundary	n/a	n/a	n/a
1.865	0.57	n/a	boundary	n/a	n/a	n/a
2.437	0.82	n/a	boundary	n/a	n/a	n/a
4.725	0.82	n/a	boundary	n/a	n/a	n/a
7.907	0.57	n/a	boundary	n/a	n/a	n/a
9.373	1.964	n/a	boundary	n/a	n/a	n/a
10.517	0.892	n/a	boundary	n/a	n/a	n/a
11.091	1.39	n/a	boundary	n/a	n/a	n/a
12.487	1.14	n/a	boundary	n/a	n/a	n/a
13.955	1.712	n/a	boundary	n/a	n/a	n/a
14.851	2.784	n/a	boundary	n/a	n/a	n/a
14.925	1.07	n/a	boundary	n/a	n/a	n/a
14.997	0.498	n/a	boundary	n/a	n/a	n/a
15.643	0.57	n/a	boundary	n/a	n/a	n/a
16.217	1.068	n/a	boundary	n/a	n/a	n/a
17.935	0.89	n/a	boundary	n/a	n/a	n/a
18.831	0.57	n/a	boundary	n/a	n/a	n/a
20.547	1.714	n/a	boundary	n/a	n/a	n/a
22.513	0.32	n/a	boundary	n/a	n/a	n/a
23.337	0.818	n/a	boundary	n/a	n/a	n/a
23.411	0.82	n/a	boundary	n/a	n/a	n/a
23.735	2.534	n/a	boundary	n/a	n/a	n/a
24.631	1.39	n/a	boundary	n/a	n/a	n/a
24.955	0.498	n/a	boundary	n/a	n/a	n/a
29.529	0.32	n/a	boundary	n/a	n/a	n/a
33.283	2.212	n/a	boundary	n/a	n/a	n/a
33.929	0.82	n/a	boundary	n/a	n/a	n/a
38.23	n/a	n/a	S  1	Fixation	n/a	n/a
38.914	n/a	n/a	S102	CUE: 132	n/a	n/a
40.49	n/a	n/a	S 99	No Response	n/a	n/a
40.788	n/a	n/a	S199	FB: No Resp	n/a	n/a
41.85	n/a	n/a	S  1	Fixation	n/a	n/a
42.542	n/a	n/a	S106	CUE: 321	n/a	n/a
43.336	n/a	n/a	S  3	Left Button	n/a	n/a
43.49	n/a	n/a	S201	FB: Win	n/a	n/a
44.548	n/a	n/a	S  1	Fixation	n/a	n/a
45.26	n/a	n/a	S106	CUE: 321	n/a	n/a
46.24	n/a	n/a	S  3	Left Button	n/a	n/a
46.582	n/a	n/a	S201	FB: Win	n/a	n/a
47.638	n/a	n/a	S  1	Fixation	n/a	n/a
48.45	n/a	n/a	S104	CUE: 231	n/a	n/a
49.66	n/a	n/a	S  3	Left Button	n/a	n/a
49.912	n/a	n/a	S201	FB: Win	n/a	n/a
50.185	0.32	n/a	boundary	n/a	n/a	n/a
50.652	n/a	n/a	S  1	Fixation	n/a	n/a
51.436	n/a	n/a	S106	CUE: 321	n/a	n/a
52.99	n/a	n/a	S 99	No Response	n/a	n/a
53.214	n/a	n/a	S199	FB: No Resp	n/a	n/a
54.27	n/a	n/a	S  1	Fixation	n/a	n/a
55.102	n/a	n/a	S103	CUE: 213	n/a	n/a
55.668	n/a	n/a	S  2	Right Button	n/a	n/a
55.93	n/a	n/a	S200	FB: Loss	n/a	n/a
56.988	n/a	n/a	S  1	Fixation	n/a	n/a
57.828	n/a	n/a	S105	CUE: 312	n/a	n/a
59.024	n/a	n/a	S  3	Left Button	n/a	n/a
59.298	n/a	n/a	S200	FB: Loss	n/a	n/a
60.354	n/a	n/a	S  1	Fixation	n/a	n/a
61.186	n/a	n/a	S101	CUE: 123	n/a	n/a
62.738	n/a	n/a	S 99	No Response	n/a	n/a
63.05	n/a	n/a	S199	FB: No Resp	n/a	n/a
63.905	0.82	n/a	boundary	n/a	n/a	n/a
64.018	n/a	n/a	S103	CUE: 213	n/a	n/a
65.57	n/a	n/a	S 99	No Response	n/a	n/a
65.812	n/a	n/a	S199	FB: No Resp	n/a	n/a
66.265	0.498	n/a	boundary	n/a	n/a	n/a
66.37	n/a	n/a	S  1	Fixation	n/a	n/a
67.022	n/a	n/a	S103	CUE: 213	n/a	n/a
68.574	n/a	n/a	S 99	No Response	n/a	n/a
68.848	n/a	n/a	S199	FB: No Resp	n/a	n/a
69.904	n/a	n/a	S  1	Fixation	n/a	n/a
70.019	0.568	n/a	boundary	n/a	n/a	n/a
70.038	n/a	n/a	S101	CUE: 123	n/a	n/a
70.902	n/a	n/a	S  4	Up Button	n/a	n/a
71.064	n/a	n/a	S200	FB: Loss	n/a	n/a
72.12	n/a	n/a	S  1	Fixation	n/a	n/a
72.93	n/a	n/a	S101	CUE: 123	n/a	n/a
73.964	n/a	n/a	S  4	Up Button	n/a	n/a
74.316	n/a	n/a	S200	FB: Loss	n/a	n/a
75.372	n/a	n/a	S  1	Fixation	n/a	n/a
76.184	n/a	n/a	S103	CUE: 213	n/a	n/a
76.644	n/a	n/a	S  2	Right Button	n/a	n/a
76.898	n/a	n/a	S201	FB: Win	n/a	n/a
77.519	1	n/a	boundary	n/a	n/a	n/a
77.716	n/a	n/a	S103	CUE: 213	n/a	n/a
78.426	n/a	n/a	S  3	Left Button	n/a	n/a
78.678	n/a	n/a	S200	FB: Loss	n/a	n/a
79.734	n/a	n/a	S  1	Fixation	n/a	n/a
80.414	n/a	n/a	S104	CUE: 231	n/a	n/a
81.148	n/a	n/a	S  2	Right Button	n/a	n/a
81.3	n/a	n/a	S200	FB: Loss	n/a	n/a
82.356	n/a	n/a	S  1	Fixation	n/a	n/a
82.741	0.318	n/a	boundary	n/a	n/a	n/a
83.65	n/a	n/a	S  2	Right Button	n/a	n/a
83.942	n/a	n/a	S200	FB: Loss	n/a	n/a
84.998	n/a	n/a	S  1	Fixation	n/a	n/a
85.8	n/a	n/a	S105	CUE: 312	n/a	n/a
86.398	n/a	n/a	S  4	Up Button	n/a	n/a
86.56	n/a	n/a	S200	FB: Loss	n/a	n/a
87.616	n/a	n/a	S  1	Fixation	n/a	n/a
88.338	n/a	n/a	S102	CUE: 132	n/a	n/a
89.892	n/a	n/a	S 99	No Response	n/a	n/a
90.244	n/a	n/a	S199	FB: No Resp	n/a	n/a
91.298	n/a	n/a	S  1	Fixation	n/a	n/a
92.06	n/a	n/a	S105	CUE: 312	n/a	n/a
92.82	n/a	n/a	S  2	Right Button	n/a	n/a
92.982	n/a	n/a	S201	FB: Win	n/a	n/a
94.038	n/a	n/a	S  1	Fixation	n/a	n/a
94.69	n/a	n/a	S101	CUE: 123	n/a	n/a
95.31	n/a	n/a	S  4	Up Button	n/a	n/a
95.662	n/a	n/a	S201	FB: Win	n/a	n/a
96.718	n/a	n/a	S  1	Fixation	n/a	n/a
97.47	n/a	n/a	S105	CUE: 312	n/a	n/a
98.27	n/a	n/a	S  2	Right Button	n/a	n/a
98.452	n/a	n/a	S200	FB: Loss	n/a	n/a
99.508	n/a	n/a	S  1	Fixation	n/a	n/a
99.571	0.57	n/a	boundary	n/a	n/a	n/a
99.62	n/a	n/a	S104	CUE: 231	n/a	n/a
100.244	n/a	n/a	S  3	Left Button	n/a	n/a
100.506	n/a	n/a	S201	FB: Win	n/a	n/a
101.564	n/a	n/a	S  1	Fixation	n/a	n/a
102.274	n/a	n/a	S104	CUE: 231	n/a	n/a
102.812	n/a	n/a	S  3	Left Button	n/a	n/a
103.004	n/a	n/a	S200	FB: Loss	n/a	n/a
104.06	n/a	n/a	S  1	Fixation	n/a	n/a
104.902	n/a	n/a	S106	CUE: 321	n/a	n/a
105.419	1.68	n/a	boundary	n/a	n/a	n/a
105.842	n/a	n/a	S104	CUE: 231	n/a	n/a
106.32	n/a	n/a	S  3	Left Button	n/a	n/a
106.662	n/a	n/a	S200	FB: Loss	n/a	n/a
107.718	n/a	n/a	S  1	Fixation	n/a	n/a
107.859	0.57	n/a	boundary	n/a	n/a	n/a
107.95	n/a	n/a	S106	CUE: 321	n/a	n/a
109.502	n/a	n/a	S 99	No Response	n/a	n/a
109.764	n/a	n/a	S199	FB: No Resp	n/a	n/a
110.469	0.82	n/a	boundary	n/a	n/a	n/a
110.702	n/a	n/a	S104	CUE: 231	n/a	n/a
111.13	n/a	n/a	S  3	Left Button	n/a	n/a
111.312	n/a	n/a	S200	FB: Loss	n/a	n/a
112.368	n/a	n/a	S  1	Fixation	n/a	n/a
113.148	n/a	n/a	S106	CUE: 321	n/a	n/a
114.242	n/a	n/a	S  3	Left Button	n/a	n/a
114.424	n/a	n/a	S200	FB: Loss	n/a	n/a
115.48	n/a	n/a	S  1	Fixation	n/a	n/a
116.13	n/a	n/a	S104	CUE: 231	n/a	n/a
116.932	n/a	n/a	S  4	Up Button	n/a	n/a
117.254	n/a	n/a	S201	FB: Win	n/a	n/a
118.31	n/a	n/a	S  1	Fixation	n/a	n/a
119.07	n/a	n/a	S101	CUE: 123	n/a	n/a
119.754	n/a	n/a	S  2	Right Button	n/a	n/a
120.006	n/a	n/a	S201	FB: Win	n/a	n/a
121.062	n/a	n/a	S  1	Fixation	n/a	n/a
121.814	n/a	n/a	S101	CUE: 123	n/a	n/a
122.362	n/a	n/a	S  2	Right Button	n/a	n/a
122.574	n/a	n/a	S201	FB: Win	n/a	n/a
122.779	1	n/a	boundary	n/a	n/a	n/a
