onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.498	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
8.077	0.748	n/a	boundary	n/a	n/a	n/a
19.221	0.562	n/a	boundary	n/a	n/a	n/a
22.039	1.064	n/a	boundary	n/a	n/a	n/a
29.051	0.498	n/a	boundary	n/a	n/a	n/a
29.869	0.998	n/a	boundary	n/a	n/a	n/a
35.067	0.498	n/a	boundary	n/a	n/a	n/a
35.883	0.748	n/a	boundary	n/a	n/a	n/a
41.479	1	n/a	boundary	n/a	n/a	n/a
42.147	0.498	n/a	boundary	n/a	n/a	n/a
91.078	n/a	n/a	S  1	Fixation	n/a	n/a
91.936	n/a	n/a	S102	CUE: 132	n/a	n/a
91.977	0.498	n/a	boundary	n/a	n/a	n/a
93.02	n/a	n/a	S 99	No Response	n/a	n/a
93.392	n/a	n/a	S199	FB: No Resp	n/a	n/a
94.468	n/a	n/a	S  1	Fixation	n/a	n/a
95.118	n/a	n/a	S102	CUE: 132	n/a	n/a
96.344	n/a	n/a	S  4	Up Button	n/a	n/a
96.554	n/a	n/a	S201	FB: Win	n/a	n/a
97.636	n/a	n/a	S  1	Fixation	n/a	n/a
98.428	n/a	n/a	S105	CUE: 312	n/a	n/a
99.248	n/a	n/a	S  2	Right Button	n/a	n/a
99.532	n/a	n/a	S201	FB: Win	n/a	n/a
100.606	n/a	n/a	S  1	Fixation	n/a	n/a
101.426	n/a	n/a	S103	CUE: 213	n/a	n/a
102.124	n/a	n/a	S  3	Left Button	n/a	n/a
102.418	n/a	n/a	S201	FB: Win	n/a	n/a
103.371	0.814	n/a	boundary	n/a	n/a	n/a
103.448	n/a	n/a	S104	CUE: 231	n/a	n/a
104.318	n/a	n/a	S  4	Up Button	n/a	n/a
104.58	n/a	n/a	S201	FB: Win	n/a	n/a
105.662	n/a	n/a	S  1	Fixation	n/a	n/a
106.324	n/a	n/a	S103	CUE: 213	n/a	n/a
106.954	n/a	n/a	S  3	Left Button	n/a	n/a
107.2	n/a	n/a	S200	FB: Loss	n/a	n/a
108.28	n/a	n/a	S  1	Fixation	n/a	n/a
109.052	n/a	n/a	S101	CUE: 123	n/a	n/a
109.778	n/a	n/a	S  4	Up Button	n/a	n/a
110.08	n/a	n/a	S201	FB: Win	n/a	n/a
111.166	n/a	n/a	S  1	Fixation	n/a	n/a
111.938	n/a	n/a	S102	CUE: 132	n/a	n/a
112.614	n/a	n/a	S  4	Up Button	n/a	n/a
112.946	n/a	n/a	S200	FB: Loss	n/a	n/a
114.018	n/a	n/a	S  1	Fixation	n/a	n/a
114.87	n/a	n/a	S104	CUE: 231	n/a	n/a
115.265	0.562	n/a	boundary	n/a	n/a	n/a
115.34	n/a	n/a	S  3	Left Button	n/a	n/a
115.602	n/a	n/a	S201	FB: Win	n/a	n/a
116.676	n/a	n/a	S  1	Fixation	n/a	n/a
117.418	n/a	n/a	S101	CUE: 123	n/a	n/a
117.972	n/a	n/a	S  4	Up Button	n/a	n/a
118.314	n/a	n/a	S200	FB: Loss	n/a	n/a
119.394	n/a	n/a	S  1	Fixation	n/a	n/a
119.399	0.748	n/a	boundary	n/a	n/a	n/a
119.498	n/a	n/a	S101	CUE: 123	n/a	n/a
120.098	n/a	n/a	S  2	Right Button	n/a	n/a
120.262	n/a	n/a	S200	FB: Loss	n/a	n/a
121.348	n/a	n/a	S  1	Fixation	n/a	n/a
122.16	n/a	n/a	S102	CUE: 132	n/a	n/a
122.79	n/a	n/a	S  4	Up Button	n/a	n/a
123.074	n/a	n/a	S201	FB: Win	n/a	n/a
124.15	n/a	n/a	S  1	Fixation	n/a	n/a
124.972	n/a	n/a	S101	CUE: 123	n/a	n/a
125.558	n/a	n/a	S  4	Up Button	n/a	n/a
125.832	n/a	n/a	S200	FB: Loss	n/a	n/a
126.92	n/a	n/a	S  1	Fixation	n/a	n/a
127.69	n/a	n/a	S104	CUE: 231	n/a	n/a
128.606	n/a	n/a	S  3	Left Button	n/a	n/a
128.82	n/a	n/a	S201	FB: Win	n/a	n/a
129.906	n/a	n/a	S  1	Fixation	n/a	n/a
130.041	0.498	n/a	boundary	n/a	n/a	n/a
130.188	n/a	n/a	S101	CUE: 123	n/a	n/a
130.776	n/a	n/a	S  4	Up Button	n/a	n/a
131	n/a	n/a	S201	FB: Win	n/a	n/a
132.076	n/a	n/a	S  1	Fixation	n/a	n/a
132.175	0.498	n/a	boundary	n/a	n/a	n/a
132.38	n/a	n/a	S106	CUE: 321	n/a	n/a
132.902	n/a	n/a	S  3	Left Button	n/a	n/a
133.106	n/a	n/a	S201	FB: Win	n/a	n/a
134.18	n/a	n/a	S  1	Fixation	n/a	n/a
134.241	0.498	n/a	boundary	n/a	n/a	n/a
134.534	n/a	n/a	S101	CUE: 123	n/a	n/a
135.1	n/a	n/a	S  4	Up Button	n/a	n/a
135.264	n/a	n/a	S201	FB: Win	n/a	n/a
136.35	n/a	n/a	S  1	Fixation	n/a	n/a
136.359	1	n/a	boundary	n/a	n/a	n/a
136.8	n/a	n/a	S  2	Right Button	n/a	n/a
137.094	n/a	n/a	S200	FB: Loss	n/a	n/a
138.17	n/a	n/a	S  1	Fixation	n/a	n/a
138.85	n/a	n/a	S104	CUE: 231	n/a	n/a
139.476	n/a	n/a	S  4	Up Button	n/a	n/a
