onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.786	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
16.441	0.844	n/a	boundary	n/a	n/a	n/a
24.537	1.094	n/a	boundary	n/a	n/a	n/a
73.169	0.844	n/a	boundary	n/a	n/a	n/a
73.267	0.844	n/a	boundary	n/a	n/a	n/a
83.92	n/a	n/a	S  1	Fixation	n/a	n/a
84.582	n/a	n/a	S101	CUE: 123	n/a	n/a
86.158	n/a	n/a	S 99	No Response	n/a	n/a
86.424	n/a	n/a	S199	FB: No Resp	n/a	n/a
87.486	n/a	n/a	S  1	Fixation	n/a	n/a
88.208	n/a	n/a	S101	CUE: 123	n/a	n/a
89.128	n/a	n/a	S  3	Left Button	n/a	n/a
89.404	n/a	n/a	S201	FB: Win	n/a	n/a
90.462	n/a	n/a	S  1	Fixation	n/a	n/a
91.224	n/a	n/a	S102	CUE: 132	n/a	n/a
91.92	n/a	n/a	S  3	Left Button	n/a	n/a
92.102	n/a	n/a	S200	FB: Loss	n/a	n/a
93.16	n/a	n/a	S  1	Fixation	n/a	n/a
93.83	n/a	n/a	S105	CUE: 312	n/a	n/a
94.916	n/a	n/a	S  4	Up Button	n/a	n/a
95.238	n/a	n/a	S200	FB: Loss	n/a	n/a
96.296	n/a	n/a	S  1	Fixation	n/a	n/a
97.042	n/a	n/a	S106	CUE: 321	n/a	n/a
97.672	n/a	n/a	S  4	Up Button	n/a	n/a
97.954	n/a	n/a	S200	FB: Loss	n/a	n/a
99.012	n/a	n/a	S  1	Fixation	n/a	n/a
99.664	n/a	n/a	S103	CUE: 213	n/a	n/a
101.216	n/a	n/a	S 99	No Response	n/a	n/a
101.408	n/a	n/a	S199	FB: No Resp	n/a	n/a
102.464	n/a	n/a	S  1	Fixation	n/a	n/a
103.166	n/a	n/a	S103	CUE: 213	n/a	n/a
103.816	n/a	n/a	S  2	Right Button	n/a	n/a
104.03	n/a	n/a	S201	FB: Win	n/a	n/a
105.088	n/a	n/a	S  1	Fixation	n/a	n/a
105.788	n/a	n/a	S105	CUE: 312	n/a	n/a
106.492	n/a	n/a	S  4	Up Button	n/a	n/a
106.744	n/a	n/a	S200	FB: Loss	n/a	n/a
107.802	n/a	n/a	S  1	Fixation	n/a	n/a
108.642	n/a	n/a	S102	CUE: 132	n/a	n/a
109.5	n/a	n/a	S  3	Left Button	n/a	n/a
109.712	n/a	n/a	S200	FB: Loss	n/a	n/a
110.768	n/a	n/a	S  1	Fixation	n/a	n/a
