onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.78	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
1.179	0.426	n/a	boundary	n/a	n/a	n/a
3.463	1.104	n/a	boundary	n/a	n/a	n/a
5.249	0.498	n/a	boundary	n/a	n/a	n/a
6.459	1	n/a	boundary	n/a	n/a	n/a
12.939	1	n/a	boundary	n/a	n/a	n/a
23.331	0.426	n/a	boundary	n/a	n/a	n/a
28.939	1.34	n/a	boundary	n/a	n/a	n/a
45.285	0.926	n/a	boundary	n/a	n/a	n/a
45.713	0.676	n/a	boundary	n/a	n/a	n/a
46.143	0.926	n/a	boundary	n/a	n/a	n/a
47.501	0.676	n/a	boundary	n/a	n/a	n/a
51.968	n/a	n/a	S  1	Fixation	n/a	n/a
52.746	n/a	n/a	S102	CUE: 132	n/a	n/a
53.351	0.676	n/a	boundary	n/a	n/a	n/a
53.603	0.676	n/a	boundary	n/a	n/a	n/a
54.304	n/a	n/a	S  1	Fixation	n/a	n/a
55.054	n/a	n/a	S101	CUE: 123	n/a	n/a
56.62	n/a	n/a	S 99	No Response	n/a	n/a
56.954	n/a	n/a	S199	FB: No Resp	n/a	n/a
58.04	n/a	n/a	S  1	Fixation	n/a	n/a
58.86	n/a	n/a	S103	CUE: 213	n/a	n/a
60.424	n/a	n/a	S 99	No Response	n/a	n/a
60.576	n/a	n/a	S199	FB: No Resp	n/a	n/a
61.658	n/a	n/a	S  1	Fixation	n/a	n/a
62.38	n/a	n/a	S102	CUE: 132	n/a	n/a
63.406	n/a	n/a	S  4	Up Button	n/a	n/a
63.728	n/a	n/a	S200	FB: Loss	n/a	n/a
64.812	n/a	n/a	S  1	Fixation	n/a	n/a
65.582	n/a	n/a	S103	CUE: 213	n/a	n/a
66.546	n/a	n/a	S  3	Left Button	n/a	n/a
66.73	n/a	n/a	S200	FB: Loss	n/a	n/a
67.814	n/a	n/a	S  1	Fixation	n/a	n/a
68.574	n/a	n/a	S102	CUE: 132	n/a	n/a
69.786	n/a	n/a	S  4	Up Button	n/a	n/a
70.068	n/a	n/a	S200	FB: Loss	n/a	n/a
