onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.962	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
3.431	0.32	n/a	boundary	n/a	n/a	n/a
5.149	0.318	n/a	boundary	n/a	n/a	n/a
5.779	3.642	n/a	boundary	n/a	n/a	n/a
6.083	2.536	n/a	boundary	n/a	n/a	n/a
8.943	0.82	n/a	boundary	n/a	n/a	n/a
9.015	0.82	n/a	boundary	n/a	n/a	n/a
12.197	0.82	n/a	boundary	n/a	n/a	n/a
13.665	1.07	n/a	boundary	n/a	n/a	n/a
13.737	2.286	n/a	boundary	n/a	n/a	n/a
18.563	0.818	n/a	boundary	n/a	n/a	n/a
24.033	0.57	n/a	boundary	n/a	n/a	n/a
26.893	2.284	n/a	boundary	n/a	n/a	n/a
29.755	1.14	n/a	boundary	n/a	n/a	n/a
32.937	0.82	n/a	boundary	n/a	n/a	n/a
33.189	1.464	n/a	boundary	n/a	n/a	n/a
34.655	0.498	n/a	boundary	n/a	n/a	n/a
34.979	0.82	n/a	boundary	n/a	n/a	n/a
35.625	0.57	n/a	boundary	n/a	n/a	n/a
35.719	2.482	n/a	boundary	n/a	n/a	n/a
36.003	2.534	n/a	boundary	n/a	n/a	n/a
38.863	0.57	n/a	boundary	n/a	n/a	n/a
40.358	n/a	n/a	S  1	Fixation	n/a	n/a
41.082	n/a	n/a	S103	CUE: 213	n/a	n/a
41.153	0.57	n/a	boundary	n/a	n/a	n/a
41.475	0.82	n/a	boundary	n/a	n/a	n/a
42.36	n/a	n/a	S  1	Fixation	n/a	n/a
43.032	n/a	n/a	S102	CUE: 132	n/a	n/a
44.372	n/a	n/a	S  2	Right Button	n/a	n/a
44.626	n/a	n/a	S201	FB: Win	n/a	n/a
45.684	n/a	n/a	S  1	Fixation	n/a	n/a
45.729	0.57	n/a	boundary	n/a	n/a	n/a
45.896	n/a	n/a	S104	CUE: 231	n/a	n/a
47.434	n/a	n/a	S  3	Left Button	n/a	n/a
47.646	n/a	n/a	S201	FB: Win	n/a	n/a
48.702	n/a	n/a	S  1	Fixation	n/a	n/a
49.404	n/a	n/a	S104	CUE: 231	n/a	n/a
49.94	n/a	n/a	S  3	Left Button	n/a	n/a
50.134	n/a	n/a	S200	FB: Loss	n/a	n/a
51.19	n/a	n/a	S  1	Fixation	n/a	n/a
52.026	n/a	n/a	S106	CUE: 321	n/a	n/a
52.658	n/a	n/a	S  3	Left Button	n/a	n/a
52.852	n/a	n/a	S201	FB: Win	n/a	n/a
53.91	n/a	n/a	S  1	Fixation	n/a	n/a
54.592	n/a	n/a	S104	CUE: 231	n/a	n/a
55.492	n/a	n/a	S  3	Left Button	n/a	n/a
55.686	n/a	n/a	S200	FB: Loss	n/a	n/a
56.021	0.32	n/a	boundary	n/a	n/a	n/a
56.422	n/a	n/a	S  1	Fixation	n/a	n/a
57.154	n/a	n/a	S105	CUE: 312	n/a	n/a
58.706	n/a	n/a	S 99	No Response	n/a	n/a
59.056	n/a	n/a	S199	FB: No Resp	n/a	n/a
60.112	n/a	n/a	S  1	Fixation	n/a	n/a
60.347	0.82	n/a	boundary	n/a	n/a	n/a
60.38	n/a	n/a	S  4	Up Button	n/a	n/a
60.704	n/a	n/a	S200	FB: Loss	n/a	n/a
61.76	n/a	n/a	S  1	Fixation	n/a	n/a
62.6	n/a	n/a	S105	CUE: 312	n/a	n/a
62.956	n/a	n/a	S  2	Right Button	n/a	n/a
63.108	n/a	n/a	S200	FB: Loss	n/a	n/a
64.164	n/a	n/a	S  1	Fixation	n/a	n/a
64.876	n/a	n/a	S102	CUE: 132	n/a	n/a
65.242	n/a	n/a	S  3	Left Button	n/a	n/a
65.424	n/a	n/a	S201	FB: Win	n/a	n/a
66.48	n/a	n/a	S  1	Fixation	n/a	n/a
67.222	n/a	n/a	S101	CUE: 123	n/a	n/a
