name	x	y	z
Fp1	80.780000	26.130000	-4.000000
Fz	60.740000	-0.000000	59.460000
F3	57.550000	48.200000	39.870000
F7	49.870000	68.420000	-7.490000
FC1	32.440000	32.350000	71.600000
C3	0.000000	63.170000	56.870000
T7	0.000000	84.540000	-8.850000
CP1	-32.440000	32.350000	71.600000
Pz	-60.740000	-0.000000	59.460000
P3	-57.550000	48.200000	39.870000
P7	-49.870000	68.420000	-7.490000
O1	-80.780000	26.130000	-4.000000
Oz	-84.980000	-0.000000	-1.790000
O2	-80.780000	-26.130000	-4.000000
P4	-57.580000	-48.140000	39.890000
P8	-49.930000	-68.380000	-7.490000
CP6	-28.760000	-76.250000	24.170000
CP2	-32.440000	-32.350000	71.600000
Cz	0.000000	0.000000	85.000000
C4	0.000000	-63.170000	56.880000
FC6	28.760000	-76.250000	24.170000
FC2	32.440000	-32.350000	71.600000
F4	57.580000	-48.140000	39.890000
F8	49.930000	-68.380000	-7.490000
Fp2	80.780000	-26.130000	-4.000000
AF7	68.690000	49.710000	-5.960000
AF3	76.150000	31.480000	20.850000
AFz	79.030000	-0.000000	31.300000
F1	59.910000	26.040000	54.380000
F5	54.040000	63.060000	18.130000
FT7	26.210000	80.410000	-8.510000
FC3	30.960000	59.270000	52.470000
FCz	32.930000	-0.000000	78.360000
C1	0.000000	34.540000	77.670000
C5	0.000000	80.830000	26.290000
TP7	-26.210000	80.410000	-8.510000
CP3	-30.960000	59.270000	52.470000
P1	-59.910000	26.040000	54.380000
P5	-54.040000	63.060000	18.130000
PO7	-68.690000	49.710000	-5.960000
PO3	-76.150000	31.480000	20.850000
POz	-79.030000	-0.000000	31.300000
PO4	-76.150000	-31.480000	20.850000
PO8	-68.720000	-49.670000	-5.950000
P6	-54.030000	-63.040000	18.210000
P2	-59.870000	-26.030000	54.430000
CP4	-30.960000	-59.270000	52.470000
TP8	-26.280000	-80.390000	-8.510000
C6	0.000000	-80.830000	26.290000
C2	0.000000	-34.610000	77.640000
FC4	30.960000	-59.270000	52.470000
FT8	26.210000	-80.410000	-8.510000
F6	54.030000	-63.040000	18.210000
F2	59.870000	-26.030000	54.430000
AF4	76.150000	-31.480000	20.850000
AF8	68.720000	-49.670000	-5.950000
