onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	2.034	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
1.071	0.892	n/a	boundary	n/a	n/a	n/a
4.253	1.14	n/a	boundary	n/a	n/a	n/a
7.113	0.82	n/a	boundary	n/a	n/a	n/a
20.011	0.818	n/a	boundary	n/a	n/a	n/a
22.621	0.82	n/a	boundary	n/a	n/a	n/a
28.898	n/a	n/a	S  1	Fixation	n/a	n/a
29.75	n/a	n/a	S106	CUE: 321	n/a	n/a
31.326	n/a	n/a	S 99	No Response	n/a	n/a
31.584	n/a	n/a	S199	FB: No Resp	n/a	n/a
32.64	n/a	n/a	S  1	Fixation	n/a	n/a
32.911	0.57	n/a	boundary	n/a	n/a	n/a
34.042	n/a	n/a	S  3	Left Button	n/a	n/a
34.216	n/a	n/a	S200	FB: Loss	n/a	n/a
35.274	n/a	n/a	S  1	Fixation	n/a	n/a
36.046	n/a	n/a	S105	CUE: 312	n/a	n/a
37.094	n/a	n/a	S  2	Right Button	n/a	n/a
37.256	n/a	n/a	S200	FB: Loss	n/a	n/a
38.314	n/a	n/a	S  1	Fixation	n/a	n/a
39.006	n/a	n/a	S101	CUE: 123	n/a	n/a
40.558	n/a	n/a	S 99	No Response	n/a	n/a
40.752	n/a	n/a	S199	FB: No Resp	n/a	n/a
41.235	0.57	n/a	boundary	n/a	n/a	n/a
41.238	n/a	n/a	S  1	Fixation	n/a	n/a
41.982	n/a	n/a	S105	CUE: 312	n/a	n/a
43.212	n/a	n/a	S  2	Right Button	n/a	n/a
43.494	n/a	n/a	S200	FB: Loss	n/a	n/a
44.552	n/a	n/a	S  1	Fixation	n/a	n/a
45.252	n/a	n/a	S101	CUE: 123	n/a	n/a
46.736	n/a	n/a	S  3	Left Button	n/a	n/a
47.008	n/a	n/a	S201	FB: Win	n/a	n/a
48.064	n/a	n/a	S  1	Fixation	n/a	n/a
48.886	n/a	n/a	S101	CUE: 123	n/a	n/a
49.684	n/a	n/a	S  3	Left Button	n/a	n/a
49.898	n/a	n/a	S201	FB: Win	n/a	n/a
50.954	n/a	n/a	S  1	Fixation	n/a	n/a
