onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	7.382	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.151	0.498	n/a	boundary	n/a	n/a	n/a
0.301	0.498	n/a	boundary	n/a	n/a	n/a
0.951	0.398	n/a	boundary	n/a	n/a	n/a
1.601	2.194	n/a	boundary	n/a	n/a	n/a
2.253	0.396	n/a	boundary	n/a	n/a	n/a
2.505	2.742	n/a	boundary	n/a	n/a	n/a
4.053	0.398	n/a	boundary	n/a	n/a	n/a
6.001	0.896	n/a	boundary	n/a	n/a	n/a
6.459	1.68	n/a	boundary	n/a	n/a	n/a
6.819	4.124	n/a	boundary	n/a	n/a	n/a
7.335	0.646	n/a	boundary	n/a	n/a	n/a
7.519	4.816	n/a	boundary	n/a	n/a	n/a
9.259	0.646	n/a	boundary	n/a	n/a	n/a
9.661	0.646	n/a	boundary	n/a	n/a	n/a
10.961	0.396	n/a	boundary	n/a	n/a	n/a
11.463	1.296	n/a	boundary	n/a	n/a	n/a
11.863	0.896	n/a	boundary	n/a	n/a	n/a
12.515	0.794	n/a	boundary	n/a	n/a	n/a
15.761	1.546	n/a	boundary	n/a	n/a	n/a
16.161	0.898	n/a	boundary	n/a	n/a	n/a
16.413	0.646	n/a	boundary	n/a	n/a	n/a
16.563	0.498	n/a	boundary	n/a	n/a	n/a
18.911	0.896	n/a	boundary	n/a	n/a	n/a
19.711	0.498	n/a	boundary	n/a	n/a	n/a
19.861	3.094	n/a	boundary	n/a	n/a	n/a
20.011	0.498	n/a	boundary	n/a	n/a	n/a
20.661	1.296	n/a	boundary	n/a	n/a	n/a
21.061	0.648	n/a	boundary	n/a	n/a	n/a
21.961	0.646	n/a	boundary	n/a	n/a	n/a
25.046	n/a	n/a	S  1	Fixation	n/a	n/a
25.207	2.594	n/a	boundary	n/a	n/a	n/a
25.357	6.336	n/a	boundary	n/a	n/a	n/a
26.007	0.796	n/a	boundary	n/a	n/a	n/a
26.096	n/a	n/a	S102	CUE: 132	n/a	n/a
26.259	0.396	n/a	boundary	n/a	n/a	n/a
26.446	n/a	n/a	S  4	Up Button	n/a	n/a
26.511	1.296	n/a	boundary	n/a	n/a	n/a
26.572	n/a	n/a	S  1	Fixation	n/a	n/a
27.272	n/a	n/a	S106	CUE: 321	n/a	n/a
28.061	0.396	n/a	boundary	n/a	n/a	n/a
28.126	n/a	n/a	S200	FB: Loss	n/a	n/a
29.212	n/a	n/a	S  1	Fixation	n/a	n/a
30.012	n/a	n/a	S101	CUE: 123	n/a	n/a
30.974	n/a	n/a	S  4	Up Button	n/a	n/a
31.278	n/a	n/a	S201	FB: Win	n/a	n/a
32.364	n/a	n/a	S  1	Fixation	n/a	n/a
33.003	0.646	n/a	boundary	n/a	n/a	n/a
33.356	n/a	n/a	S  4	Up Button	n/a	n/a
33.54	n/a	n/a	S200	FB: Loss	n/a	n/a
34.62	n/a	n/a	S  1	Fixation	n/a	n/a
35.452	n/a	n/a	S104	CUE: 231	n/a	n/a
36.164	n/a	n/a	S  3	Left Button	n/a	n/a
36.358	n/a	n/a	S201	FB: Win	n/a	n/a
37.438	n/a	n/a	S  1	Fixation	n/a	n/a
38.26	n/a	n/a	S104	CUE: 231	n/a	n/a
38.836	n/a	n/a	S  2	Right Button	n/a	n/a
39.11	n/a	n/a	S200	FB: Loss	n/a	n/a
40.19	n/a	n/a	S  1	Fixation	n/a	n/a
41.022	n/a	n/a	S106	CUE: 321	n/a	n/a
41.524	n/a	n/a	S  3	Left Button	n/a	n/a
41.868	n/a	n/a	S201	FB: Win	n/a	n/a
42.737	0.498	n/a	boundary	n/a	n/a	n/a
43.106	n/a	n/a	S105	CUE: 312	n/a	n/a
