onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	8.848	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.257	2.528	n/a	boundary	n/a	n/a	n/a
1.021	1.766	n/a	boundary	n/a	n/a	n/a
2.541	0.504	n/a	boundary	n/a	n/a	n/a
4.061	1.01	n/a	boundary	n/a	n/a	n/a
4.317	0.754	n/a	boundary	n/a	n/a	n/a
6.093	0.754	n/a	boundary	n/a	n/a	n/a
7.107	0.754	n/a	boundary	n/a	n/a	n/a
8.633	0.754	n/a	boundary	n/a	n/a	n/a
11.421	1.004	n/a	boundary	n/a	n/a	n/a
12.441	1.004	n/a	boundary	n/a	n/a	n/a
12.949	0.504	n/a	boundary	n/a	n/a	n/a
14.219	0.754	n/a	boundary	n/a	n/a	n/a
23.583	0.754	n/a	boundary	n/a	n/a	n/a
42.561	0.754	n/a	boundary	n/a	n/a	n/a
55.973	5.308	n/a	boundary	n/a	n/a	n/a
57.499	0.754	n/a	boundary	n/a	n/a	n/a
59.019	0.754	n/a	boundary	n/a	n/a	n/a
64.843	0.754	n/a	boundary	n/a	n/a	n/a
65.861	1.004	n/a	boundary	n/a	n/a	n/a
73.709	0.754	n/a	boundary	n/a	n/a	n/a
74.228	n/a	n/a	S106	CUE: 321	n/a	n/a
75.332	n/a	n/a	S  2	Right Button	n/a	n/a
75.684	n/a	n/a	S201	FB: Win	n/a	n/a
76.77	n/a	n/a	S  1	Fixation	n/a	n/a
77.462	n/a	n/a	S105	CUE: 312	n/a	n/a
78.336	n/a	n/a	S  3	Left Button	n/a	n/a
78.622	n/a	n/a	S200	FB: Loss	n/a	n/a
79.706	n/a	n/a	S  1	Fixation	n/a	n/a
80.446	n/a	n/a	S106	CUE: 321	n/a	n/a
81.268	n/a	n/a	S  4	Up Button	n/a	n/a
81.542	n/a	n/a	S200	FB: Loss	n/a	n/a
82.624	n/a	n/a	S  1	Fixation	n/a	n/a
82.823	1.004	n/a	boundary	n/a	n/a	n/a
83.552	n/a	n/a	S  4	Up Button	n/a	n/a
83.796	n/a	n/a	S200	FB: Loss	n/a	n/a
84.855	0.754	n/a	boundary	n/a	n/a	n/a
85.55	n/a	n/a	S  3	Left Button	n/a	n/a
85.724	n/a	n/a	S201	FB: Win	n/a	n/a
86.625	0.254	n/a	boundary	n/a	n/a	n/a
87.312	n/a	n/a	S106	CUE: 321	n/a	n/a
87.952	n/a	n/a	S  3	Left Button	n/a	n/a
88.116	n/a	n/a	S200	FB: Loss	n/a	n/a
88.145	0.504	n/a	boundary	n/a	n/a	n/a
88.698	n/a	n/a	S  1	Fixation	n/a	n/a
89.5	n/a	n/a	S102	CUE: 132	n/a	n/a
90.444	n/a	n/a	S  4	Up Button	n/a	n/a
90.708	n/a	n/a	S200	FB: Loss	n/a	n/a
91.784	n/a	n/a	S  1	Fixation	n/a	n/a
92.546	n/a	n/a	S103	CUE: 213	n/a	n/a
93.496	n/a	n/a	S  4	Up Button	n/a	n/a
93.76	n/a	n/a	S201	FB: Win	n/a	n/a
94.725	0.754	n/a	boundary	n/a	n/a	n/a
94.764	n/a	n/a	S102	CUE: 132	n/a	n/a
95.362	n/a	n/a	S  2	Right Button	n/a	n/a
95.586	n/a	n/a	S201	FB: Win	n/a	n/a
96.668	n/a	n/a	S  1	Fixation	n/a	n/a
97.518	n/a	n/a	S102	CUE: 132	n/a	n/a
98.134	n/a	n/a	S  2	Right Button	n/a	n/a
98.358	n/a	n/a	S201	FB: Win	n/a	n/a
99.436	n/a	n/a	S  1	Fixation	n/a	n/a
100.248	n/a	n/a	S105	CUE: 312	n/a	n/a
100.77	n/a	n/a	S  2	Right Button	n/a	n/a
100.934	n/a	n/a	S201	FB: Win	n/a	n/a
101.053	1.516	n/a	boundary	n/a	n/a	n/a
101.34	n/a	n/a	S105	CUE: 312	n/a	n/a
102.63	n/a	n/a	S  2	Right Button	n/a	n/a
102.844	n/a	n/a	S200	FB: Loss	n/a	n/a
103.926	n/a	n/a	S  1	Fixation	n/a	n/a
104.726	n/a	n/a	S101	CUE: 123	n/a	n/a
106.174	n/a	n/a	S  4	Up Button	n/a	n/a
106.438	n/a	n/a	S200	FB: Loss	n/a	n/a
107.512	n/a	n/a	S  1	Fixation	n/a	n/a
108.342	n/a	n/a	S102	CUE: 132	n/a	n/a
109.142	n/a	n/a	S  4	Up Button	n/a	n/a
109.466	n/a	n/a	S200	FB: Loss	n/a	n/a
