onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	7.996	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.097	2.286	n/a	boundary	n/a	n/a	n/a
0.445	1.786	n/a	boundary	n/a	n/a	n/a
0.697	0.346	n/a	boundary	n/a	n/a	n/a
2.487	3.324	n/a	boundary	n/a	n/a	n/a
2.739	8.94	n/a	boundary	n/a	n/a	n/a
3.683	16.342	n/a	boundary	n/a	n/a	n/a
3.935	23.592	n/a	boundary	n/a	n/a	n/a
4.187	13.708	n/a	boundary	n/a	n/a	n/a
4.285	8.594	n/a	boundary	n/a	n/a	n/a
4.633	0.844	n/a	boundary	n/a	n/a	n/a
5.436	n/a	n/a	S 99	No Response	n/a	n/a
5.608	n/a	n/a	S199	FB: No Resp	n/a	n/a
5.827	0.344	n/a	boundary	n/a	n/a	n/a
6.079	0.344	n/a	boundary	n/a	n/a	n/a
6.798	n/a	n/a	S104	CUE: 231	n/a	n/a
6.927	0.594	n/a	boundary	n/a	n/a	n/a
7.179	0.94	n/a	boundary	n/a	n/a	n/a
7.527	0.498	n/a	boundary	n/a	n/a	n/a
7.984	n/a	n/a	S102	CUE: 132	n/a	n/a
8.721	0.344	n/a	boundary	n/a	n/a	n/a
9.02	n/a	n/a	S  2	Right Button	n/a	n/a
9.069	1.192	n/a	boundary	n/a	n/a	n/a
9.704	n/a	n/a	S101	CUE: 123	n/a	n/a
10.763	0.344	n/a	boundary	n/a	n/a	n/a
10.914	n/a	n/a	S 99	No Response	n/a	n/a
11.096	n/a	n/a	S199	FB: No Resp	n/a	n/a
11.361	0.344	n/a	boundary	n/a	n/a	n/a
11.81	n/a	n/a	S  1	Fixation	n/a	n/a
12.612	n/a	n/a	S101	CUE: 123	n/a	n/a
13.336	n/a	n/a	S  3	Left Button	n/a	n/a
13.401	1.536	n/a	boundary	n/a	n/a	n/a
13.96	n/a	n/a	S106	CUE: 321	n/a	n/a
14.595	1.094	n/a	boundary	n/a	n/a	n/a
14.943	0.94	n/a	boundary	n/a	n/a	n/a
16.042	n/a	n/a	S  4	Up Button	n/a	n/a
16.338	n/a	n/a	S200	FB: Loss	n/a	n/a
17.329	0.846	n/a	boundary	n/a	n/a	n/a
17.37	n/a	n/a	S105	CUE: 312	n/a	n/a
18.568	n/a	n/a	S  3	Left Button	n/a	n/a
18.86	n/a	n/a	S201	FB: Win	n/a	n/a
19.916	n/a	n/a	S  1	Fixation	n/a	n/a
