onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	10.87	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.513	4.546	n/a	boundary	n/a	n/a	n/a
1.027	2.272	n/a	boundary	n/a	n/a	n/a
3.307	0.754	n/a	boundary	n/a	n/a	n/a
4.577	0.754	n/a	boundary	n/a	n/a	n/a
10.145	1.514	n/a	boundary	n/a	n/a	n/a
10.403	0.754	n/a	boundary	n/a	n/a	n/a
10.661	1.004	n/a	boundary	n/a	n/a	n/a
11.175	0.754	n/a	boundary	n/a	n/a	n/a
11.683	10.622	n/a	boundary	n/a	n/a	n/a
11.941	1.51	n/a	boundary	n/a	n/a	n/a
12.199	0.754	n/a	boundary	n/a	n/a	n/a
12.713	1.26	n/a	boundary	n/a	n/a	n/a
13.727	0.752	n/a	boundary	n/a	n/a	n/a
13.985	1.266	n/a	boundary	n/a	n/a	n/a
15.505	1.004	n/a	boundary	n/a	n/a	n/a
15.763	0.504	n/a	boundary	n/a	n/a	n/a
16.021	1.51	n/a	boundary	n/a	n/a	n/a
18.559	1.258	n/a	boundary	n/a	n/a	n/a
19.573	0.754	n/a	boundary	n/a	n/a	n/a
20.843	1.01	n/a	boundary	n/a	n/a	n/a
21.095	0.76	n/a	boundary	n/a	n/a	n/a
22.615	30.352	n/a	boundary	n/a	n/a	n/a
22.873	5.306	n/a	boundary	n/a	n/a	n/a
23.131	2.778	n/a	boundary	n/a	n/a	n/a
23.826	n/a	n/a	S  3	Left Button	n/a	n/a
24.14	n/a	n/a	S200	FB: Loss	n/a	n/a
24.145	3.034	n/a	boundary	n/a	n/a	n/a
24.403	10.11	n/a	boundary	n/a	n/a	n/a
24.661	8.342	n/a	boundary	n/a	n/a	n/a
24.919	2.526	n/a	boundary	n/a	n/a	n/a
25.177	6.826	n/a	boundary	n/a	n/a	n/a
25.685	2.526	n/a	boundary	n/a	n/a	n/a
25.943	4.546	n/a	boundary	n/a	n/a	n/a
26.201	2.778	n/a	boundary	n/a	n/a	n/a
26.459	2.27	n/a	boundary	n/a	n/a	n/a
26.973	3.79	n/a	boundary	n/a	n/a	n/a
27.18	n/a	n/a	S  1	Fixation	n/a	n/a
27.231	1.26	n/a	boundary	n/a	n/a	n/a
27.334	n/a	n/a	S  2	Right Button	n/a	n/a
27.676	n/a	n/a	S201	FB: Win	n/a	n/a
27.995	6.824	n/a	boundary	n/a	n/a	n/a
28.422	n/a	n/a	S  2	Right Button	n/a	n/a
28.503	8.598	n/a	boundary	n/a	n/a	n/a
28.761	1.004	n/a	boundary	n/a	n/a	n/a
29.019	0.754	n/a	boundary	n/a	n/a	n/a
29.533	5.052	n/a	boundary	n/a	n/a	n/a
30.045	3.534	n/a	boundary	n/a	n/a	n/a
30.184	n/a	n/a	S105	CUE: 312	n/a	n/a
30.559	0.504	n/a	boundary	n/a	n/a	n/a
30.624	n/a	n/a	S201	FB: Win	n/a	n/a
31.573	1.766	n/a	boundary	n/a	n/a	n/a
32.081	0.754	n/a	boundary	n/a	n/a	n/a
32.584	n/a	n/a	S105	CUE: 312	n/a	n/a
33.126	n/a	n/a	S  2	Right Button	n/a	n/a
33.29	n/a	n/a	S201	FB: Win	n/a	n/a
34.111	2.016	n/a	boundary	n/a	n/a	n/a
34.342	n/a	n/a	S  3	Left Button	n/a	n/a
34.576	n/a	n/a	S201	FB: Win	n/a	n/a
34.875	1.516	n/a	boundary	n/a	n/a	n/a
34.966	n/a	n/a	S104	CUE: 231	n/a	n/a
35.133	0.754	n/a	boundary	n/a	n/a	n/a
35.391	0.498	n/a	boundary	n/a	n/a	n/a
35.544	n/a	n/a	S  1	Fixation	n/a	n/a
35.649	1.01	n/a	boundary	n/a	n/a	n/a
35.907	0.754	n/a	boundary	n/a	n/a	n/a
36.669	0.754	n/a	boundary	n/a	n/a	n/a
36.908	n/a	n/a	S104	CUE: 231	n/a	n/a
37.596	n/a	n/a	S  4	Up Button	n/a	n/a
37.87	n/a	n/a	S201	FB: Win	n/a	n/a
37.939	0.498	n/a	boundary	n/a	n/a	n/a
38.197	1.01	n/a	boundary	n/a	n/a	n/a
