onset	duration	sample	value	trial_type	response_time	stim_file
271.346	n/a	n/a	R 12	STATUS	n/a	n/a
272.402	n/a	n/a	S  1	Fixation	n/a	n/a
273.084	n/a	n/a	S  9	STATUS	n/a	n/a
273.084	n/a	n/a	R  6	STATUS	n/a	n/a
273.68	n/a	n/a	S  4	Up Button	n/a	n/a
273.832	n/a	n/a	S  8	STATUS	n/a	n/a
273.832	n/a	n/a	R 12	STATUS	n/a	n/a
274.888	n/a	n/a	S  1	Fixation	n/a	n/a
275.56	n/a	n/a	S 10	STATUS	n/a	n/a
275.56	n/a	n/a	R  6	STATUS	n/a	n/a
276.148	n/a	n/a	S  4	Up Button	n/a	n/a
276.45	n/a	n/a	S  8	STATUS	n/a	n/a
276.45	n/a	n/a	R 12	STATUS	n/a	n/a
277.506	n/a	n/a	S  1	Fixation	n/a	n/a
278.238	n/a	n/a	S  6	STATUS	n/a	n/a
278.238	n/a	n/a	R  6	STATUS	n/a	n/a
279.124	n/a	n/a	S  3	Left Button	n/a	n/a
279.476	n/a	n/a	S  9	STATUS	n/a	n/a
279.476	n/a	n/a	R 12	STATUS	n/a	n/a
280.532	n/a	n/a	S  1	Fixation	n/a	n/a
281.314	n/a	n/a	S  8	STATUS	n/a	n/a
281.314	n/a	n/a	R  6	STATUS	n/a	n/a
282.368	n/a	n/a	S  2	Right Button	n/a	n/a
282.68	n/a	n/a	S  8	STATUS	n/a	n/a
282.68	n/a	n/a	R 12	STATUS	n/a	n/a
283.736	n/a	n/a	S  1	Fixation	n/a	n/a
284.398	n/a	n/a	S  7	STATUS	n/a	n/a
284.398	n/a	n/a	R  6	STATUS	n/a	n/a
285.196	n/a	n/a	S  3	Left Button	n/a	n/a
285.528	n/a	n/a	S  9	STATUS	n/a	n/a
285.528	n/a	n/a	R 12	STATUS	n/a	n/a
286.584	n/a	n/a	S  1	Fixation	n/a	n/a
287.326	n/a	n/a	S  9	STATUS	n/a	n/a
287.326	n/a	n/a	R  6	STATUS	n/a	n/a
287.884	n/a	n/a	S  3	Left Button	n/a	n/a
288.236	n/a	n/a	S  9	STATUS	n/a	n/a
288.236	n/a	n/a	R 12	STATUS	n/a	n/a
289.292	n/a	n/a	S  1	Fixation	n/a	n/a
290.142	n/a	n/a	S  8	STATUS	n/a	n/a
290.142	n/a	n/a	R  6	STATUS	n/a	n/a
290.72	n/a	n/a	S  4	Up Button	n/a	n/a
291.012	n/a	n/a	S  9	STATUS	n/a	n/a
291.012	n/a	n/a	R 12	STATUS	n/a	n/a
292.068	n/a	n/a	S  1	Fixation	n/a	n/a
292.84	n/a	n/a	S  7	STATUS	n/a	n/a
292.84	n/a	n/a	R  6	STATUS	n/a	n/a
293.444	n/a	n/a	S  3	Left Button	n/a	n/a
293.726	n/a	n/a	S  9	STATUS	n/a	n/a
293.726	n/a	n/a	R 12	STATUS	n/a	n/a
294.782	n/a	n/a	S  1	Fixation	n/a	n/a
295.524	n/a	n/a	S  9	STATUS	n/a	n/a
295.524	n/a	n/a	R  6	STATUS	n/a	n/a
296.236	n/a	n/a	S  3	Left Button	n/a	n/a
296.428	n/a	n/a	S  8	STATUS	n/a	n/a
296.428	n/a	n/a	R 12	STATUS	n/a	n/a
297.484	n/a	n/a	S  1	Fixation	n/a	n/a
298.296	n/a	n/a	S 10	STATUS	n/a	n/a
298.296	n/a	n/a	R  6	STATUS	n/a	n/a
299.132	n/a	n/a	S  2	Right Button	n/a	n/a
299.314	n/a	n/a	S  9	STATUS	n/a	n/a
299.314	n/a	n/a	R 12	STATUS	n/a	n/a
300.37	n/a	n/a	S  1	Fixation	n/a	n/a
301.182	n/a	n/a	S  8	STATUS	n/a	n/a
301.182	n/a	n/a	R  6	STATUS	n/a	n/a
301.652	n/a	n/a	S  4	Up Button	n/a	n/a
301.904	n/a	n/a	S  9	STATUS	n/a	n/a
301.904	n/a	n/a	R 12	STATUS	n/a	n/a
302.96	n/a	n/a	S  1	Fixation	n/a	n/a
303.802	n/a	n/a	S  8	STATUS	n/a	n/a
303.802	n/a	n/a	R  6	STATUS	n/a	n/a
304.22	n/a	n/a	S  4	Up Button	n/a	n/a
304.452	n/a	n/a	S  8	STATUS	n/a	n/a
304.452	n/a	n/a	R 12	STATUS	n/a	n/a
305.508	n/a	n/a	S  1	Fixation	n/a	n/a
305.579	0.498	n/a	boundary	n/a	n/a	n/a
305.792	n/a	n/a	S  8	STATUS	n/a	n/a
305.792	n/a	n/a	R  6	STATUS	n/a	n/a
306.414	n/a	n/a	S  4	Up Button	n/a	n/a
306.596	n/a	n/a	S  9	STATUS	n/a	n/a
306.596	n/a	n/a	R 12	STATUS	n/a	n/a
307.652	n/a	n/a	S  1	Fixation	n/a	n/a
308.374	n/a	n/a	S  9	STATUS	n/a	n/a
308.374	n/a	n/a	R  6	STATUS	n/a	n/a
309.198	n/a	n/a	S  3	Left Button	n/a	n/a
309.49	n/a	n/a	S  9	STATUS	n/a	n/a
309.49	n/a	n/a	R 12	STATUS	n/a	n/a
310.546	n/a	n/a	S  1	Fixation	n/a	n/a
