onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.962	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
1.145	0.89	n/a	boundary	n/a	n/a	n/a
7.437	0.57	n/a	boundary	n/a	n/a	n/a
8.159	3.214	n/a	boundary	n/a	n/a	n/a
8.225	0.82	n/a	boundary	n/a	n/a	n/a
9.121	0.82	n/a	boundary	n/a	n/a	n/a
9.195	0.498	n/a	boundary	n/a	n/a	n/a
23.561	1.068	n/a	boundary	n/a	n/a	n/a
24.839	1.34	n/a	boundary	n/a	n/a	n/a
26.297	0.82	n/a	boundary	n/a	n/a	n/a
27.443	8.002	n/a	boundary	n/a	n/a	n/a
27.765	1.07	n/a	boundary	n/a	n/a	n/a
30.947	1.142	n/a	boundary	n/a	n/a	n/a
32.663	1.392	n/a	boundary	n/a	n/a	n/a
38.133	0.568	n/a	boundary	n/a	n/a	n/a
38.457	1.07	n/a	boundary	n/a	n/a	n/a
45.391	1.07	n/a	boundary	n/a	n/a	n/a
46.857	0.82	n/a	boundary	n/a	n/a	n/a
48.325	1.462	n/a	boundary	n/a	n/a	n/a
48.577	0.32	n/a	boundary	n/a	n/a	n/a
48.659	1.32	n/a	boundary	n/a	n/a	n/a
48.903	1.142	n/a	boundary	n/a	n/a	n/a
51.664	n/a	n/a	S  1	Fixation	n/a	n/a
51.763	0.57	n/a	boundary	n/a	n/a	n/a
51.89	n/a	n/a	S104	CUE: 231	n/a	n/a
53.482	n/a	n/a	S 99	No Response	n/a	n/a
53.706	n/a	n/a	S199	FB: No Resp	n/a	n/a
54.78	n/a	n/a	S  1	Fixation	n/a	n/a
55.195	0.57	n/a	boundary	n/a	n/a	n/a
55.486	n/a	n/a	S  4	Up Button	n/a	n/a
55.75	n/a	n/a	S201	FB: Win	n/a	n/a
56.828	n/a	n/a	S  1	Fixation	n/a	n/a
56.983	0.498	n/a	boundary	n/a	n/a	n/a
57.002	n/a	n/a	S101	CUE: 123	n/a	n/a
58.232	n/a	n/a	S  2	Right Button	n/a	n/a
58.488	n/a	n/a	S201	FB: Win	n/a	n/a
59.566	n/a	n/a	S  1	Fixation	n/a	n/a
60.218	n/a	n/a	S105	CUE: 312	n/a	n/a
61.12	n/a	n/a	S  3	Left Button	n/a	n/a
61.376	n/a	n/a	S200	FB: Loss	n/a	n/a
62.452	n/a	n/a	S  1	Fixation	n/a	n/a
63.142	n/a	n/a	S104	CUE: 231	n/a	n/a
64.632	n/a	n/a	S  2	Right Button	n/a	n/a
64.936	n/a	n/a	S201	FB: Win	n/a	n/a
66.02	n/a	n/a	S  1	Fixation	n/a	n/a
66.692	n/a	n/a	S103	CUE: 213	n/a	n/a
68.254	n/a	n/a	S 99	No Response	n/a	n/a
68.568	n/a	n/a	S199	FB: No Resp	n/a	n/a
69.633	0.82	n/a	boundary	n/a	n/a	n/a
69.662	n/a	n/a	S106	CUE: 321	n/a	n/a
70.788	n/a	n/a	S  4	Up Button	n/a	n/a
70.962	n/a	n/a	S200	FB: Loss	n/a	n/a
72.04	n/a	n/a	S  1	Fixation	n/a	n/a
72.76	n/a	n/a	S105	CUE: 312	n/a	n/a
73.536	n/a	n/a	S  3	Left Button	n/a	n/a
73.86	n/a	n/a	S201	FB: Win	n/a	n/a
74.942	n/a	n/a	S  1	Fixation	n/a	n/a
75.652	n/a	n/a	S105	CUE: 312	n/a	n/a
76.184	n/a	n/a	S  3	Left Button	n/a	n/a
76.498	n/a	n/a	S201	FB: Win	n/a	n/a
77.578	n/a	n/a	S  1	Fixation	n/a	n/a
78.308	n/a	n/a	S104	CUE: 231	n/a	n/a
79.212	n/a	n/a	S  4	Up Button	n/a	n/a
79.446	n/a	n/a	S201	FB: Win	n/a	n/a
80.53	n/a	n/a	S  1	Fixation	n/a	n/a
81.24	n/a	n/a	S104	CUE: 231	n/a	n/a
