onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.786	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
0.597	0.844	n/a	boundary	n/a	n/a	n/a
1.541	0.594	n/a	boundary	n/a	n/a	n/a
3.081	0.844	n/a	boundary	n/a	n/a	n/a
3.929	0.69	n/a	boundary	n/a	n/a	n/a
5.969	0.594	n/a	boundary	n/a	n/a	n/a
8.355	0.844	n/a	boundary	n/a	n/a	n/a
9.549	0.594	n/a	boundary	n/a	n/a	n/a
11.091	0.844	n/a	boundary	n/a	n/a	n/a
14.169	0.844	n/a	boundary	n/a	n/a	n/a
15.113	0.844	n/a	boundary	n/a	n/a	n/a
15.961	0.594	n/a	boundary	n/a	n/a	n/a
17.751	1.882	n/a	boundary	n/a	n/a	n/a
18.599	0.844	n/a	boundary	n/a	n/a	n/a
19.543	2.632	n/a	boundary	n/a	n/a	n/a
20.143	0.94	n/a	boundary	n/a	n/a	n/a
20.991	3.074	n/a	boundary	n/a	n/a	n/a
21.493	0.94	n/a	boundary	n/a	n/a	n/a
21.841	0.844	n/a	boundary	n/a	n/a	n/a
23.631	2.632	n/a	boundary	n/a	n/a	n/a
25.421	0.69	n/a	boundary	n/a	n/a	n/a
26.019	2.634	n/a	boundary	n/a	n/a	n/a
30.193	0.344	n/a	boundary	n/a	n/a	n/a
30.445	1.44	n/a	boundary	n/a	n/a	n/a
31.043	0.94	n/a	boundary	n/a	n/a	n/a
31.295	1.786	n/a	boundary	n/a	n/a	n/a
31.564	n/a	n/a	S  1	Fixation	n/a	n/a
32.296	n/a	n/a	S103	CUE: 213	n/a	n/a
33.668	n/a	n/a	S  4	Up Button	n/a	n/a
33.822	n/a	n/a	S200	FB: Loss	n/a	n/a
34.873	0.594	n/a	boundary	n/a	n/a	n/a
35.018	n/a	n/a	S105	CUE: 312	n/a	n/a
36.112	n/a	n/a	S  4	Up Button	n/a	n/a
36.316	n/a	n/a	S200	FB: Loss	n/a	n/a
37.357	0.594	n/a	boundary	n/a	n/a	n/a
37.48	n/a	n/a	S105	CUE: 312	n/a	n/a
39.034	n/a	n/a	S 99	No Response	n/a	n/a
39.198	n/a	n/a	S199	FB: No Resp	n/a	n/a
40.243	0.594	n/a	boundary	n/a	n/a	n/a
40.512	n/a	n/a	S101	CUE: 123	n/a	n/a
41.556	n/a	n/a	S  4	Up Button	n/a	n/a
41.89	n/a	n/a	S201	FB: Win	n/a	n/a
42.129	0.498	n/a	boundary	n/a	n/a	n/a
